IdClub,IdO,IdO_parent
256,3502,2255
257,3523,2203
258,3078,
259,1479,1487
260,204,2211
261,3142,1182
262,2356,4353
263,2678,
264,2902,
265,3567,
266,3183,
267,3838,730
268,489,4353
269,4354,1642
270,4136,
271,3071,1653
272,889,846
273,3157,2897
274,3539,352
275,3278,2227
276,2839,
277,3149,1274
278,1153,2693
279,3750,1410
280,1601,3345
281,2394,786
282,2434,3712
283,1936,
284,407,693
285,3468,
286,2382,4353
287,3057,3658
288,1879,1282
289,4921,4179
290,4172,690
291,1507,2505
292,2276,3970
293,3915,3596
294,4046,1112
295,1039,285
296,3186,4271
297,1656,1366
298,2661,1925
299,3518,4702
300,1584,619
301,1364,2070
302,597,3351
303,1422,
304,173,2773
305,2849,
306,3126,693
307,2587,504
308,733,2012
309,4032,877
310,1607,3547
311,3688,
312,153,4234
313,2179,
314,539,3101
315,1532,
316,3806,1025
317,740,4973
318,1869,4551
319,1121,
320,4170,4179
321,1604,
322,2960,4451
323,2116,1999
324,1506,
325,4196,
326,2662,1410
327,125,4011
328,4841,4798
329,2796,156
330,1129,
331,4902,2756
332,3217,
333,4563,3129
334,343,3816
335,2810,3321
336,2763,1057
337,3076,4238
338,2658,1626
339,2567,1330
340,902,4967
341,1035,
342,3875,2211
343,2237,1349
344,2058,571
345,3531,
346,1934,2967
347,226,2226
348,4584,101
349,2994,4640
350,824,
351,4896,3473
352,4505,4997
353,91,611
354,1935,
355,3733,1765
356,218,4798
357,3288,4271
358,2466,751
359,3784,
360,2951,1665
361,54,3658
362,3121,1487
363,1852,987
364,734,3655
365,249,1250
366,4620,965
367,3589,1121
368,255,327
369,1511,2183
370,3666,
371,4576,
372,2527,
373,4850,2211
374,1699,4430
375,1477,1330
376,419,402
377,3722,4472
378,2431,554
379,2581,2630
380,1389,1773
381,2255,1366
382,786,3366
383,3728,3774
384,4607,3345
385,1814,457
386,1295,518
387,767,143
388,4866,3508
389,1472,1765
390,2149,
391,4476,1279
392,1916,2151
393,3625,1349
394,3786,1647
395,3312,758
396,4706,2021
397,1279,
398,857,4666
399,2706,1848
400,3507,1716
401,4486,1449
402,4033,1716
403,1089,987
404,4544,4474
405,1859,3710
406,1898,
407,4407,1076
408,793,922
409,3697,846
410,3355,3714
411,1588,3081
412,1098,4018
413,3821,1999
414,1982,1478
415,295,
416,3948,518
417,868,2226
418,4742,846
419,296,2021
420,3783,4933
421,2490,312
422,3498,3485
423,1361,1647
424,1605,2203
425,1766,2183
426,230,4451
427,3106,3536
428,2833,3836
429,1596,
430,1092,2505
431,1657,3416
432,3110,
433,3471,2941
434,2316,1779
435,287,2203
436,3798,
437,2151,2036
438,3114,730
439,2026,3911
440,1818,3677
441,2198,3426
442,2290,
443,3432,
444,3830,1389
445,3609,1809
446,1576,2684
447,2571,516
448,222,2620
449,4641,3126
450,769,4288
451,4160,
452,3591,3290
453,276,285
454,1171,
455,3054,922
456,1066,4837
457,4452,1686
458,4431,2337
459,1245,1323
460,1000,
461,4063,2128
462,3721,1809
463,2871,3837
464,4597,1360
465,1712,481
466,3824,4504
467,1753,2870
468,914,3677
469,599,965
470,841,2050
471,2941,642
472,3443,3150
473,722,987
474,1421,1876
475,3965,4191
476,4449,3740
477,2854,4986
478,3407,690
479,649,
480,4747,
481,2675,
482,714,2005
483,2793,
484,2403,2531
485,3895,4238
486,311,3919
487,2118,
488,4155,4427
489,3810,3677
490,1986,512
491,2018,758
492,1143,2098
493,3063,3919
494,451,3284
495,3568,3714
496,3461,4430
497,3812,
498,93,3672
499,2043,1686
500,3943,2122
501,35,2969
502,4967,713
503,3495,4986
504,664,877
505,340,
506,3847,
507,4560,1058
508,2472,582
509,3317,2050
510,2701,1642
511,4458,1779
512,2125,
513,3714,49
514,4738,2808
515,2847,169
516,522,1129
517,4276,
518,3897,2863
519,1169,
520,4903,2505
521,251,1134
522,1641,2855
523,124,
524,2533,2705
525,644,
526,2501,2185
527,1346,1195
528,3999,554
529,3441,
530,2556,2508
531,3447,
532,2110,138
533,873,2539
534,1882,4629
535,63,693
536,180,3714
537,4091,4335
538,1842,3753
539,584,3970
540,1765,2086
541,3261,
542,4588,4745
543,2008,402
544,1075,1134
545,3870,3776
546,982,
547,4281,1937
548,2445,453
549,1597,3547
550,2031,2604
551,2647,3131
552,2973,1925
553,2121,
554,3119,3816
555,1611,1831
556,887,2751
557,2591,3978
558,1915,611
559,3695,240
560,4209,1639
561,3815,
562,4545,2316
563,2496,1743
564,1170,
565,1467,3425
566,1570,
567,4727,1992
568,4371,4260
569,3250,3726
570,345,844
571,1710,
572,3112,4670
573,4352,1330
574,3150,2539
575,592,1662
576,4061,3189
577,3,
578,673,
579,4050,458
580,2946,1626
581,1454,2337
582,440,3982
583,1486,2450
584,2491,3712
585,3032,1134
586,4634,3170
587,3773,1182
588,2193,4687
589,4303,
590,3617,389
591,1587,1698
592,3485,
593,4375,237
594,3818,
595,617,858
596,1740,2005
597,3803,2316
598,4093,1285
599,150,4372
600,203,2302
601,3390,3425
602,3982,
603,4463,328
604,3466,
605,685,
606,4356,1782
607,4646,2799
608,1847,1360
609,4302,3662
610,2421,3201
611,4361,3491
612,1240,45
613,4090,3547
614,2739,3416
615,4242,4642
616,555,1533
617,207,4307
618,698,
619,4894,4576
620,2213,2122
621,3244,2583
622,2056,4986
623,1974,
624,3974,640
625,51,
626,260,4095
627,4564,2202
628,1562,
629,298,611
630,1126,4228
631,2229,45
632,4672,2920
633,3266,4430
634,629,3866
635,3434,3290
636,4821,4372
637,1649,901
638,43,4852
639,2954,
640,1921,3321
641,2558,1116
642,277,3536
643,2078,4032
644,695,
645,3092,415
646,3717,895
647,3455,965
648,3907,2069
649,3194,3111
650,4786,
651,830,3129
652,4299,156
653,3482,273
654,3693,
655,4754,
656,3267,
657,1909,3200
658,4092,4179
659,4103,457
660,4420,1570
661,3310,2227
662,3947,2999
663,4488,516
664,3311,4430
665,2708,4746
666,3715,2122
667,242,
668,3181,1779
669,122,1285
670,608,
671,2183,
672,4146,3890
673,2996,4746
674,1830,1819
675,4924,495
676,1533,3836
677,4951,4214
678,2005,1387
679,865,3250
680,3924,2021
681,2153,1027
682,4119,1357
683,3619,2285
684,3871,
685,127,4869
686,4905,3623
687,114,993
688,3445,3294
689,3845,
690,4724,
691,3887,2308
692,4062,
693,1554,4420
694,4590,2255
695,3953,796
696,4192,3536
697,1178,
698,1287,3547
699,3423,1194
700,2076,3792
701,4145,1698
702,4920,3667
703,4114,
704,4767,
705,1519,
706,1655,
707,1627,954
708,3510,93
709,3772,2308
710,4023,4657
711,729,3836
712,4251,577
713,779,1116
714,133,3425
715,2100,
716,4029,
717,2673,3999
718,2227,388
719,2817,4084
720,3647,4477
721,1793,
722,4069,
723,4700,3290
724,3349,182
725,3090,4095
726,1125,611
727,478,601
728,4856,4933
729,4347,1027
730,2288,4973
731,1321,2221
732,3682,102
733,2592,
734,3933,2012
735,4362,512
736,1036,2944
737,2690,
738,4526,
739,4480,3469
740,41,
741,2570,
742,1660,4477
743,1575,3335
744,1994,3280
745,2299,
746,526,2898
747,2435,4030
748,1093,4474
749,2245,1025
750,3691,3335
751,423,665
752,95,3776
753,4451,
754,4183,4126
755,795,453
756,2799,3424
757,3596,3958
758,660,
759,3376,481
760,4639,4856
761,4455,4126
762,2600,4533
763,80,3694
764,1769,567
765,1085,1642
766,1106,3774
767,3140,4702
768,3242,3712
769,1463,2620
770,4735,
771,1556,758
772,1643,
773,787,3380
774,75,4094
775,724,3321
776,1957,642
777,3392,1716
778,3561,4330
779,4346,182
780,910,45
781,265,138
782,3405,4370
783,3725,2630
784,894,4783
785,2204,
786,3222,1195
787,1559,2981
788,4456,580
789,2617,
790,1226,2337
791,2868,2851
792,812,
793,1701,2967
794,40,601
795,1204,
796,4366,3753
797,3904,4094
798,504,
799,3211,4176
800,1437,4420
801,1378,101
802,1446,3491
803,1640,3351
804,1013,
805,1427,
806,3153,1647
807,3023,3668
808,3348,3769
809,4574,
810,1011,3982
811,426,4372
812,1471,1487
813,2304,
814,1993,2012
815,1324,4420
816,4118,2337
817,420,640
818,2649,2920
819,4124,4238
820,2548,478
821,2554,1229
822,2712,3547
823,1928,1907
824,4243,3058
825,3027,
826,4540,
827,2155,
828,2138,3412
829,4695,1308
830,2568,2624
831,3823,
832,3513,3290
833,4184,1698
834,4598,1282
835,2713,4126
836,2874,2098
837,4134,2714
838,2164,2863
839,680,328
840,1189,4504
841,2710,2108
842,4087,2567
843,2267,15
844,4642,3956
845,1109,3250
846,4794,366
847,476,4472
848,4830,3890
849,548,2604
850,4777,3740
851,1415,3201
852,1792,3956
853,2982,4905
854,2322,4657
855,3277,3769
856,4479,15
857,4322,3964
858,4812,2898
859,3147,4636
860,560,4307
861,716,3250
862,3363,
863,3942,1782
864,3143,4798
865,2540,
866,1309,3020
867,4101,
868,1667,2539
869,3252,1876
870,1989,1025
871,4360,
872,3129,2285
873,2772,3806
874,4051,4290
875,1495,
876,2742,4234
877,3208,2221
878,160,1600
879,3073,1251
880,3060,844
881,1290,3512
882,1369,
883,2458,
884,890,895
885,4766,2183
886,4294,4011
887,4319,4589
888,2057,3774
889,842,4640
890,3361,2941
891,3986,
892,1925,3836
893,1721,3792
894,1134,4954
895,2520,2877
896,4318,
897,1571,4512
898,949,3280
899,2843,
900,2214,3911
901,4571,4556
902,389,2205
903,1249,1904
904,2998,3424
905,1691,3101
906,3667,4825
907,2609,3518
908,4880,
909,157,4673
910,3065,4783
911,2813,
912,4640,965
913,1639,3740
914,2886,285
915,666,2963
916,932,2616
917,1785,388
918,1662,480
919,211,4905
920,541,1170
921,2895,1698
922,2852,2476
923,1664,3147
924,2605,237
925,2802,1033
926,791,2567
927,1441,3512
928,3804,3658
929,3259,186
930,758,713
931,4822,2710
932,1411,987
933,1904,1639
934,1065,4753
935,4978,3513
936,2506,
937,2361,3816
938,3819,2012
939,684,3280
940,4055,4673
941,2704,3816
942,1017,
943,3859,1250
944,3413,156
945,344,3409
946,1474,3335
947,4368,3816
948,4180,2036
949,45,328
950,30,3564
951,1042,3842
952,864,1229
953,3958,
954,470,4095
955,3481,367
956,115,
957,2952,
958,881,4472
959,710,2070
960,2334,
961,4970,
962,1794,2808
963,2160,
964,4515,554
965,1694,1403
966,3694,18
967,1048,2756
968,2109,2408
969,2399,4271
970,3631,
971,1431,3667
972,3661,2128
973,3578,1662
974,1690,2701
975,2029,4370
976,2646,2963
977,509,
978,1403,1937
979,4171,
980,2069,
981,2441,2897
982,4191,389
983,2007,450
984,2130,1343
985,4568,2160
986,1845,1410
987,2585,1330
988,2468,
989,4219,
990,1503,3911
991,3102,
992,495,2624
993,1807,
994,2388,
995,3840,4961
996,2272,1489
997,3676,858
998,4353,3512
999,2146,3351
1000,1280,3604
