idI,IdC
217,4197
218,4998
219,3071
220,1181
221,3984
222,594
223,3226
224,3789
225,493
226,1944
227,3851
228,2419
229,4443
230,2380
231,4860
232,731
233,269
234,4432
235,4828
236,1368
237,3025
238,106
239,3212
240,2802
241,3697
242,3130
243,2432
244,1506
245,4398
246,2373
247,4110
248,1432
249,2481
250,3870
251,3742
252,4225
253,461
254,1940
255,478
256,3427
257,2775
258,2706
259,3471
260,2682
261,1252
262,4463
263,4699
264,3519
265,2494
266,1243
267,3477
268,527
269,1582
270,4314
271,3757
272,2951
273,2645
274,1151
275,2236
276,1206
277,1374
278,2349
279,860
280,3832
281,4262
282,3403
283,3030
284,2319
285,3520
286,617
287,558
288,870
289,3469
290,3733
291,2745
292,3417
293,1341
294,1017
295,4473
296,2732
297,1576
298,531
299,1337
300,3616
301,4922
302,2865
303,1557
304,4512
305,2860
306,4830
307,4269
308,712
309,1328
310,628
311,584
312,2218
313,2873
314,3575
315,1615
316,3591
317,4466
318,1437
319,2879
320,3080
321,4504
322,395
323,4303
324,2920
325,406
326,2116
327,4964
328,1013
329,784
330,2448
331,1977
332,3038
333,3684
334,407
335,2214
336,2884
337,338
338,4195
339,3008
340,1290
341,640
342,4953
343,2426
344,2533
345,2927
346,2157
347,1428
348,2266
349,3907
350,4950
351,606
352,2019
353,2158
354,2738
355,4890
356,2338
357,4445
358,1727
359,3402
360,45
361,418
362,4191
363,4588
364,2482
365,3186
366,3097
367,791
368,4319
369,2731
370,4121
371,2307
372,1825
373,4404
374,239
375,4332
376,888
377,2652
378,2310
379,2291
380,3961
381,1179
382,1202
383,4878
384,1739
385,2500
386,292
387,4239
388,4051
389,2936
390,742
391,173
392,1806
393,778
394,1248
395,2418
396,4479
397,4266
398,91
399,1733
400,2971
401,3687
402,4754
403,3312
404,4102
405,99
406,3771
407,816
408,2156
409,2321
410,4304
411,4261
412,2574
413,3604
414,4545
415,1320
416,2420
417,2334
418,2095
419,1529
420,608
421,708
422,863
423,4254
424,3972
425,4364
426,2800
427,4192
428,3617
429,4358
430,3518
431,3250
432,1868
433,4428
434,880
435,4571
436,4595
437,2393
438,2536
439,1632
440,3998
441,1305
442,954
443,3902
444,4409
445,1710
446,4632
447,2981
448,3936
449,4660
450,661
451,642
452,4506
453,1827
454,2250
455,570
456,3573
457,1269
458,3959
459,4288
460,2786
461,2950
462,126
463,2465
464,1155
465,2008
466,4592
467,349
468,4906
469,718
470,3572
471,884
472,1059
473,3610
474,4198
475,3237
476,4900
477,3530
478,1947
479,4085
480,4397
481,3319
482,401
483,1584
484,3517
485,730
486,3760
487,4395
488,3306
489,4117
490,1735
491,4841
492,2242
493,3294
494,2435
495,1313
496,3333
497,202
498,3926
499,2234
500,449
501,4773
502,3296
503,4349
504,1107
505,651
506,1077
507,4642
508,206
509,2925
510,2548
511,1388
512,1719
513,2790
514,2792
515,3966
516,2213
517,1717
518,533
519,2185
520,1402
521,1904
522,1614
523,1660
524,2907
525,2107
526,4079
527,1084
528,2770
529,3117
530,4435
531,3202
532,4678
533,2891
534,3628
535,4405
536,1321
537,74
538,4380
539,367
540,4629
541,2474
542,2183
543,3143
544,2707
545,3314
546,3475
547,2171
548,26
549,2362
550,2456
551,565
552,653
553,4948
554,2210
555,2499
556,3439
557,1294
558,1322
559,948
560,2372
561,1743
562,4094
563,125
564,4022
565,361
566,2120
567,3696
568,4939
569,4275
570,803
571,3906
572,1738
573,2301
574,2723
575,4971
576,1852
577,4072
578,3241
579,1500
580,1671
581,2628
582,1365
583,3120
584,4346
585,2689
586,930
587,402
588,1693
589,2579
590,908
591,4108
592,3618
593,4854
594,1245
595,448
596,4965
597,1949
598,1858
599,2630
600,4374
601,1983
602,3401
603,3039
604,4753
605,1972
606,3974
607,1842
608,3338
609,135
610,4099
611,593
612,3021
613,2020
614,3367
615,3557
616,3488
617,3658
618,3068
619,2312
620,4820
621,1345
622,1538
623,587
624,3069
625,3958
626,3579
627,2765
628,4914
629,3493
630,638
631,1366
632,998
633,826
634,2205
635,3568
636,4184
637,2248
638,2778
639,3598
640,423
641,1000
642,4203
643,4173
644,457
645,814
646,32
647,2036
648,339
649,1810
650,217
651,2244
652,2021
653,4247
654,2691
655,304
656,920
657,559
658,3954
659,2069
660,1268
661,1006
662,3373
663,4461
664,3087
665,3667
666,3976
667,455
668,540
669,545
670,500
671,4517
672,4582
673,2635
674,3748
675,2836
676,1855
677,789
678,964
679,2462
680,3194
681,4742
682,2118
683,3454
684,1726
685,563
686,3270
687,1483
688,3228
689,892
690,605
691,260
692,3868
693,309
694,2490
695,161
696,4596
697,1809
698,4740
699,1821
700,974
701,1991
702,1442
703,2580
704,4798
705,3798
706,4788
707,3116
708,1890
709,377
710,1191
711,1737
712,58
713,2022
714,3013
715,272
716,1309
717,2762
718,4150
719,2842
720,592
721,1912
722,3063
723,4456
724,823
725,385
726,2581
727,271
728,4033
729,3860
730,1153
731,1002
732,2489
733,1361
734,374
735,3049
736,465
737,2978
738,750
739,2010
740,3164
741,1770
742,1149
743,2545
744,1257
745,4876
746,3773
747,4651
748,146
749,4480
750,3411
751,105
752,4249
753,4689
754,760
755,257
756,1785
757,2283
758,769
759,2140
760,4804
761,4622
762,2350
763,1921
764,1263
765,419
766,1050
767,1260
768,1247
769,1803
770,3857
771,1049
772,4983
773,390
774,3462
775,154
776,4347
777,1707
778,3321
779,3552
780,3546
781,2809
782,1645
783,2876
784,808
785,3064
786,2824
787,1749
788,4936
789,2847
790,1325
791,3899
792,2408
793,2181
794,2090
795,1839
796,2386
797,356
798,3425
799,2754
800,1594
801,3836
802,1630
803,560
804,3409
805,1484
806,4766
807,4875
808,2137
809,1567
810,736
811,1189
812,3677
813,1595
814,1436
815,2539
816,1455
817,595
818,1425
819,3802
820,2945
821,515
822,3059
823,3930
824,2058
825,4911
826,2890
827,4029
828,3970
829,656
830,1010
831,3531
832,4519
833,63
834,1822
835,1347
836,618
837,2451
838,4923
839,4060
840,1283
841,1877
842,3
843,4004
844,4082
845,1115
846,2615
847,3073
848,2946
849,50
850,4206
851,2279
852,1773
853,3566
854,1064
855,1210
856,3236
857,1110
858,2305
859,1128
860,3990
861,2832
862,670
863,3078
864,1650
865,615
866,2
867,4352
868,2523
869,1569
870,1509
871,2834
872,4359
873,4075
874,4100
875,2846
876,3605
877,1786
878,3022
879,258
880,3209
881,914
882,2634
883,3151
884,1124
885,472
886,3170
887,2065
888,3919
889,4619
890,3536
891,2505
892,1624
893,2909
894,4182
895,3797
896,3967
897,3516
898,3499
899,1187
900,474
901,751
902,83
903,4307
904,1314
905,3927
906,702
907,4077
908,1747
909,4812
910,2077
911,1996
912,641
913,1580
914,1271
915,2265
916,278
917,711
918,2473
919,4570
920,3098
921,4144
922,3746
923,2931
924,936
925,1954
926,4984
927,2134
928,2466
929,4002
930,4516
931,190
932,4800
933,4316
934,3822
935,2042
936,392
937,64
938,741
939,986
940,483
941,912
942,4825
943,2410
944,3133
945,709
946,2267
947,3233
948,537
949,443
950,4656
951,3535
952,57
953,2434
954,555
955,3526
956,4866
957,591
958,1935
959,4277
960,2496
961,3532
962,4208
963,2268
964,4959
965,1166
966,802
967,4814
968,3354
969,2230
970,3848
971,2133
972,3570
973,4552
974,787
975,4315
976,409
977,684
978,1417
979,2252
980,3347
981,3460
982,2975
983,1323
984,1875
985,3010
986,168
987,629
988,2510
989,1990
990,992
991,4792
992,1958
993,2105
994,4834
995,1480
996,4790
997,281
998,4617
999,2229
1000,2753
1001,2679
1002,1281
1003,4381
1004,1558
1005,1805
1006,2940
1007,2585
1008,3588
1009,968
1010,4126
1011,4440
1012,3720
1013,2354
1014,1142
1015,1203
1016,2594
1017,952
1018,1273
1019,1426
1020,2921
1021,3398
1022,426
1023,4988
1024,4566
1025,1711
1026,2670
1027,3653
1028,3276
1029,2992
1030,1067
1031,4982
1032,3951
1033,3932
1034,913
1035,2774
1036,224
1037,3793
1038,1174
1039,665
1040,4537
1041,4954
1042,1776
1043,746
1044,3266
1045,4260
1046,1900
1047,2389
1048,3831
1049,2430
1050,3289
1051,513
1052,4449
1053,248
1054,430
1055,3612
1056,4777
1057,4302
1058,2555
1059,635
1060,3706
1061,1851
1062,3222
1063,4251
1064,2704
1065,1853
1066,2589
1067,3443
1068,3821
1069,3180
1070,4786
1071,481
1072,2513
1073,4963
1074,4526
1075,3542
1076,4323
1077,4618
1078,2551
1079,1112
1080,4063
1081,2041
1082,2328
1083,4371
1084,4985
1085,182
1086,2957
1087,1528
1088,2121
1089,2114
1090,1647
1091,3177
1092,2202
1093,1307
1094,1919
1095,2047
1096,3805
1097,3596
1098,1732
1099,1001
1100,3770
1101,1135
1102,874
1103,412
1104,4401
1105,3084
1106,697
1107,4771
1108,4058
1109,3256
1110,4450
1111,3083
1112,897
1113,1012
1114,3192
1115,11
1116,4748
1117,1429
1118,2480
1119,4929
1120,3626
1121,4839
1122,2733
1123,1950
1124,550
1125,4047
1126,691
1127,379
1128,2012
1129,2438
1130,2127
1131,1913
1132,102
1133,290
1134,2227
1135,2254
1136,2681
1137,4282
1138,2471
1139,179
1140,989
1141,3003
1142,3470
1143,180
1144,2187
1145,1690
1146,4457
1147,1335
1148,299
1149,2573
1150,4663
1151,2820
1152,480
1153,4325
1154,1047
1155,4744
1156,2787
1157,577
1158,1655
1159,2424
1160,2401
1161,2383
1162,2593
1163,4518
1164,2895
1165,4062
1166,3622
1167,667
1168,4968
1169,2562
1170,2106
1171,3105
1172,2335
1173,820
1174,4975
1175,631
1176,1343
1177,1173
1178,514
1179,2861
1180,4511
1181,262
1182,529
1183,4264
1184,4769
1185,1504
1186,4464
1187,4693
1188,1701
1189,215
1190,1699
1191,4024
1192,2449
1193,1751
1194,1024
1195,1643
1196,1698
1197,107
1198,3096
1199,1090
1200,3672
1201,6
1202,3305
1203,204
1204,2304
1205,1046
1206,3269
1207,2024
1208,3174
1209,4187
1210,333
1211,644
1212,3883
1213,2100
1214,282
1215,1034
1216,4223
1217,949
1218,3641
1219,3776
1220,1288
1221,790
1222,4078
1223,4497
1224,1765
1225,1994
1226,2911
1227,851
1228,4308
1229,1304
1230,5000
1231,2568
1232,985
1233,1450
1234,163
1235,4805
1236,2290
1237,504
1238,1910
1239,1448
1240,3609
1241,355
1242,3227
1243,2018
1244,2333
1245,17
1246,4774
1247,1427
1248,508
1249,2177
1250,2741
1251,3893
1252,3450
1253,1829
1254,4343
1255,554
1256,4597
1257,2232
1258,2131
1259,3274
1260,347
1261,754
1262,1055
1263,969
1264,4503
1265,4470
1266,2406
1267,1394
1268,285
1269,2293
1270,3589
1271,4032
1272,506
1273,3489
1274,926
1275,1418
1276,4521
1277,2199
1278,467
1279,3788
1280,2721
1281,2113
1282,3829
1283,1722
1284,3163
1285,4424
1286,469
1287,3994
1288,160
1289,2086
1290,16
1291,4897
1292,1755
1293,1899
1294,3657
1295,4739
1296,1979
1297,3024
1298,1277
1299,797
1300,9
1301,4009
1302,866
1303,597
1304,4170
1305,3996
1306,2323
1307,761
1308,4539
1309,312
1310,1923
1311,200
1312,4006
1313,2270
1314,946
1315,3238
1316,2259
1317,1242
1318,4093
1319,1022
1320,1280
1321,133
1322,2664
1323,2840
1324,4891
1325,1079
1326,4961
1327,1797
1328,2720
1329,2575
1330,2396
1331,27
1332,4682
1333,703
1334,3944
1335,87
1336,1549
1337,4003
1338,3539
1339,1339
1340,3468
1341,4165
1342,1849
1343,41
1344,2934
1345,4227
1346,1754
1347,3348
1348,2854
1349,899
1350,66
1351,2030
1352,3522
1353,3175
1354,18
1355,2311
1356,1168
1357,2976
1358,1284
1359,3914
1360,3197
1361,815
1362,218
1363,4951
1364,3865
1365,3055
1366,1042
1367,4439
1368,1157
1369,2261
1370,726
1371,4231
1372,2669
1373,4140
1374,938
1375,3451
1376,2983
1377,4887
1378,4625
1379,1088
1380,4345
1381,4949
1382,3007
1383,1845
1384,1101
1385,1020
1386,4235
1387,1507
1388,24
1389,967
1390,3345
1391,763
1392,3595
1393,1605
1394,270
1395,228
1396,1844
1397,2875
1398,4680
1399,2062
1400,473
1401,2932
1402,4574
1403,535
1404,853
1405,4755
1406,3027
1407,3765
1408,3290
1409,3472
1410,4894
1411,4087
1412,520
1413,3892
1414,243
1415,4561
1416,867
1417,4916
1418,1571
1419,2503
1420,3456
1421,1517
1422,999
1423,2747
1424,2033
1425,1716
1426,4507
1427,1473
1428,847
1429,4151
1430,1515
1431,4475
1432,2284
1433,1367
1434,43
1435,1813
1436,3486
1437,4370
1438,4796
1439,1568
1440,2878
1441,2962
1442,4883
1443,3370
1444,1573
1445,3813
1446,652
1447,3218
1448,2735
1449,1752
1450,3232
1451,2190
1452,3952
1453,1613
1454,1228
1455,869
1456,2894
1457,3623
1458,1802
1459,371
1460,1706
1461,2211
1462,2515
1463,4686
1464,1430
1465,2318
1466,2111
1467,525
1468,4910
1469,4044
1470,1014
1471,1122
1472,4550
1473,541
1474,1496
1475,1792
1476,3668
1477,2973
1478,25
1479,151
1480,2371
1481,3484
1482,748
1483,1299
1484,732
1485,2256
1486,1644
1487,129
1488,2537
1489,1848
1490,1683
1491,4589
1492,945
1493,1999
1494,4014
1495,400
1496,2882
1497,1602
1498,2281
1499,3310
1500,4869
1501,4806
1502,3245
1503,3637
1504,2125
1505,3428
1506,2538
1507,1379
1508,1971
1509,3898
1510,4928
1511,521
1512,3833
1513,362
1514,1831
1515,387
1516,4244
1517,2829
1518,2616
1519,4541
1520,572
1521,1903
1522,237
1523,3210
1524,1642
1525,82
1526,3871
1527,1076
1528,3772
1529,1945
1530,1510
1531,3279
1532,2583
1533,341
1534,3393
1535,3904
1536,3352
1537,2146
1538,624
1539,1520
1540,4421
1541,3062
1542,352
1543,905
1544,3047
1545,2142
1546,518
1547,4703
1548,4626
1549,1730
1550,2998
1551,444
1552,2671
1553,3253
1554,2700
1555,3494
1556,1541
1557,3991
1558,3183
1559,1826
1560,3465
1561,2887
1562,4039
1563,2825
1564,3376
1565,4369
1566,3331
1567,2831
1568,327
1569,877
1570,3082
1571,2626
1572,4502
1573,3663
1574,3002
1575,677
1576,616
1577,765
1578,643
1579,1298
1580,839
1581,2984
1582,1031
1583,3322
1584,2492
1585,650
1586,4710
1587,2955
1588,3350
1589,4131
1590,4159
1591,4238
1592,1396
1593,2960
1594,3414
1595,3041
1596,2845
1597,1920
1598,779
1599,4462
1600,2198
1601,1863
1602,164
1603,3510
1604,3627
1605,2942
1606,543
1607,2005
1608,1804
1609,579
1610,1194
1611,2694
1612,1113
1613,1530
1614,4194
1615,801
1616,425
1617,2547
1618,4467
1619,2112
1620,340
1621,2640
1622,2954
1623,2638
1624,3855
1625,4436
1626,2889
1627,4762
1628,316
1629,1319
1630,3842
1631,2642
1632,4711
1633,437
1634,3682
1635,3645
1636,632
1637,2212
1638,3703
1639,4538
1640,3230
1641,1353
1642,1462
1643,1219
1644,3408
1645,1204
1646,561
1647,4357
1648,1762
1649,1672
1650,3404
1651,2979
1652,484
1653,1278
1654,1389
1655,2103
1656,328
1657,3953
1658,2919
1659,835
1660,311
1661,3710
1662,3159
1663,2899
1664,1009
1665,4649
1666,4399
1667,1575
1668,4157
1669,3856
1670,4782
1671,3005
1672,3357
1673,3189
1674,2799
1675,4628
1676,1791
1677,759
1678,4733
1679,1638
1680,2224
1681,1740
1682,3928
1683,1760
1684,2514
1685,522
1686,4133
1687,3263
1688,1544
1689,3224
1690,1927
1691,4218
1692,2153
1693,676
1694,1380
1695,488
1696,2392
1697,1578
1698,1537
1699,4952
1700,2235
1701,2629
1702,4687
1703,625
1704,1748
1705,2985
1706,613
1707,4746
1708,3447
1709,178
1710,3514
1711,1217
1712,1144
1713,2587
1714,499
1715,3272
1716,4601
1717,4057
1718,301
1719,1209
1720,131
1721,3920
1722,672
1723,84
1724,1301
1725,4410
1726,4267
1727,4183
1728,4562
1729,3125
1730,2007
1731,4723
1732,291
1733,3755
1734,4719
1735,4046
1736,4844
1737,818
1738,4408
1739,1982
1740,1163
1741,2805
1742,1856
1743,3912
1744,14
1745,2123
1746,1393
1747,666
1748,2862
1749,4880
1750,1349
1751,3301
1752,1249
1753,446
1754,800
1755,259
1756,3528
1757,2339
1758,4704
1759,2207
1760,2915
1761,4707
1762,440
1763,2761
1764,1562
1765,4510
1766,3141
1767,2813
1768,4175
1769,516
1770,4360
1771,2896
1772,4594
1773,88
1774,441
1775,4438
1776,683
1777,2783
1778,2803
1779,2306
1780,460
1781,845
1782,2599
1783,1104
1784,2722
1785,1478
1786,4135
1787,90
1788,1131
1789,2777
1790,1373
1791,142
1792,3295
1793,1753
1794,937
1795,350
1796,879
1797,1543
1798,3787
1799,2612
1800,2848
1801,4338
1802,1138
1803,3369
1804,1564
1805,1745
1806,4353
1807,4886
1808,1695
1809,1861
1810,957
1811,2253
1812,1565
1813,3647
1814,1889
1815,1692
1816,2191
1817,2914
1818,476
1819,4904
1820,678
1821,1097
1822,1673
1823,1185
1824,4139
1825,1704
1826,2937
1827,1896
1828,3017
1829,842
1830,2684
1831,4603
1832,3032
1833,3725
1834,841
1835,1103
1836,144
1837,4715
1838,482
1839,3496
1840,139
1841,1475
1842,3155
1843,4757
1844,4944
1845,4548
1846,1044
1847,1620
1848,3584
1849,162
1850,2320
1851,4668
1852,662
1853,950
1854,3240
1855,4394
1856,2982
1857,1808
1858,1653
1859,4125
1860,637
1861,2000
1862,4639
1863,2698
1864,468
1865,4505
1866,4189
1867,582
1868,4292
1869,2572
1870,72
1871,4365
1872,4832
1873,2712
1874,2159
1875,4040
1876,1870
1877,2348
1878,2460
1879,3384
1880,1416
1881,3838
1882,111
1883,3377
1884,3423
1885,3960
1886,1477
1887,4826
1888,2196
1889,2282
1890,433
1891,3999
1892,2801
1893,2766
1894,1664
1895,3380
1896,1224
1897,727
1898,739
1899,132
1900,3231
1901,4305
1902,2143
1903,2083
1904,2520
1905,4290
1906,3285
1907,4027
1908,4708
1909,2844
1910,886
1911,3343
1912,194
1913,935
1914,1472
1915,2228
1916,3608
1917,1119
1918,4995
1919,4499
1920,2668
1921,4701
1922,1040
1923,1120
1924,4673
1925,734
1926,4934
1927,1081
1928,1881
1929,2953
1930,130
1931,4146
1932,2666
1933,1201
1934,3740
1935,3053
1936,3421
1937,256
1938,1408
1939,4376
1940,1019
1941,3173
1942,621
1943,3739
1944,4824
1945,3191
1946,4600
1947,4584
1948,2028
1949,3412
1950,308
1951,4855
1952,1182
1953,3555
1954,1713
1955,2351
1956,3383
1957,956
1958,1352
1959,4299
1960,3054
1961,4749
1962,776
1963,918
1964,4013
1965,4811
1966,432
1967,283
1968,404
1969,2833
1970,4459
1971,4095
1972,171
1973,2661
1974,3887
1975,3511
1976,3576
1977,1324
1978,2188
1979,738
1980,136
1981,1419
1982,3426
1983,4706
1984,829
1985,3407
1986,4
1987,2997
1988,4427
1989,1499
1990,3415
1991,165
1992,240
1993,4882
1994,3541
1995,1457
1996,4366
1997,2716
1998,1621
1999,3795
2000,420
2001,1532
2002,4815
2003,4320
2004,1132
2005,4229
2006,1705
2007,2577
2008,619
2009,4732
2010,3040
2011,2695
2012,2409
2013,2506
2014,4280
2015,1720
2016,3196
2017,2701
2018,3481
2019,909
2020,2601
2021,3430
2022,4341
2023,1939
2024,28
2025,2263
2026,234
2027,1626
2028,1435
2029,4669
2030,1029
2031,3304
2032,4411
2033,65
2034,4705
2035,4721
2036,1199
2037,226
2038,2592
2039,2139
2040,408
2041,3342
2042,953
2043,375
2044,1032
2045,2614
2046,1771
2047,982
2048,2502
2049,4096
2050,4564
2051,1265
2052,1146
2053,4778
2054,3646
2055,564
2056,3234
2057,581
2058,2240
2059,334
2060,1799
2061,4333
2062,2269
2063,4646
2064,2554
2065,4209
2066,284
2067,310
2068,3791
2069,209
2070,2274
2071,3104
2072,3601
2073,152
2074,274
2075,600
2076,3259
2077,1798
2078,984
2079,1276
2080,1348
2081,3204
2082,2794
2083,817
2084,3753
2085,3330
2086,4074
2087,410
2088,1617
2089,2388
2090,660
2091,1422
2092,47
2093,451
2094,2812
2095,4536
2096,186
2097,965
2098,3507
2099,1193
2100,2445
2101,3728
2102,1777
2103,489
2104,2853
2105,4232
2106,1975
2107,3307
2108,4667
2109,807
2110,3625
2111,1823
2112,3220
2113,3280
2114,4801
2115,3882
2116,156
2117,3745
2118,1357
2119,4558
2120,4785
2121,169
2122,1649
2123,2518
2124,1895
2125,1300
2126,3362
2127,3808
2128,1362
2129,1216
2130,1096
2131,3136
2132,4842
2133,276
2134,852
2135,715
2136,4043
2137,2768
2138,1590
2139,753
2140,3982
2141,3286
2142,657
2143,538
2144,4760
2145,2527
2146,4821
2147,3820
2148,3712
2149,2806
2150,3252
2151,3418
2152,1386
2153,4535
2154,1356
2155,4387
2156,3113
2157,3329
2158,4587
2159,898
2160,3167
2161,4942
2162,3636
2163,3592
2164,3607
2165,2793
2166,1924
2167,2949
2168,2552
2169,4283
2170,388
2171,1677
2172,36
2173,3363
2174,2841
2175,2977
2176,2084
2177,211
2178,3434
2179,544
2180,2025
2181,2173
2182,4636
2183,4382
2184,4372
2185,247
2186,4230
2187,4747
2188,3124
2189,1481
2190,1237
2191,2060
2192,3033
2193,4979
2194,329
2195,1581
2196,1354
2197,3815
2198,2367
2199,2752
2200,266
2201,2222
2202,2705
2203,2170
2204,3698
2205,4429
2206,3924
2207,3371
2208,1862
2209,648
2210,2067
2211,416
2212,4741
2213,2495
2214,4761
2215,1145
2216,1451
2217,534
2218,2653
2219,3364
2220,4035
2221,2355
2222,4145
2223,1819
2224,4068
2225,4795
2226,796
2227,3176
2228,649
2229,4163
2230,4676
2231,3655
2232,3722
2233,2578
2234,280
2235,2525
2236,2404
2237,4852
2238,4972
2239,1262
2240,4555
2241,3702
2242,700
2243,61
2244,589
2245,121
2246,4849
2247,766
2248,4493
2249,622
2250,4120
2251,3148
2252,1857
2253,370
2254,3142
2255,614
2256,4822
2257,4996
2258,4694
2259,4207
2260,3505
2261,3390
2262,3700
2263,324
2264,3244
2265,396
2266,2633
2267,1221
2268,3931
2269,1318
2270,1355
2271,943
2272,4425
2273,2690
2274,970
2275,1876
2276,3207
2277,548
2278,3869
2279,4147
2280,1963
2281,780
2282,2904
2283,782
2284,2991
2285,2085
2286,1989
2287,1598
2288,2769
2289,744
2290,216
2291,3474
2292,112
2293,2357
2294,2522
2295,1397
2296,110
2297,2767
2298,4697
2299,1514
2300,4297
2301,4899
2302,4847
2303,4455
2304,2509
2305,2611
2306,38
2307,4474
2308,97
2309,2044
2310,3711
2311,2400
2312,757
2313,4097
2314,1734
2315,4599
2316,4420
2317,2322
2318,3523
2319,221
2320,3819
2321,3205
2322,1948
2323,2184
2324,1965
2325,2071
2326,1208
2327,4281
2328,495
2329,53
2330,3435
2331,2138
2332,4941
2333,1715
2334,4240
2335,4016
2336,854
2337,1255
2338,4444
2339,3786
2340,4137
2341,346
2342,2459
2343,2644
2344,2004
2345,1197
2346,1531
2347,4389
2348,646
2349,2908
2350,3344
2351,331
2352,332
2353,4691
2354,2838
2355,4226
2356,1306
2357,3705
2358,3971
2359,4460
2360,2751
2361,2880
2362,2052
2363,710
2364,2561
2365,2967
2366,1433
2367,3448
2368,2098
2369,3094
2370,4113
2371,1708
2372,1403
2373,4666
2374,2618
2375,4850
2376,4049
2377,988
2378,4127
2379,861
2380,2366
2381,1606
2382,4340
2383,4403
2384,4086
2385,3949
2386,682
2387,3818
2388,2923
2389,4809
2390,699
2391,2344
2392,205
2393,3565
2394,1116
2395,1105
2396,885
2397,3445
2398,4643
2399,330
2400,4386
2401,4196
2402,4868
2403,3885
2404,2736
2405,3254
2406,2147
2407,1513
2408,1540
2409,3734
2410,4767
2411,2697
2412,1559
2413,4090
2414,4664
2415,1501
2416,2972
2417,3692
2418,1636
2419,1391
2420,3969
2421,1779
2422,3134
2423,4041
2424,4243
2425,3929
2426,3876
2427,3020
2428,2850
2429,1872
2430,1424
2431,2070
2432,2504
2433,185
2434,4181
2435,1287
2436,1401
2437,3775
2438,705
2439,2337
2440,3178
2441,2710
2442,3886
2443,4114
2444,2458
2445,3736
2446,4604
2447,2677
2448,466
2449,4250
2450,4496
2451,1933
2452,4468
2453,1293
2454,1560
2455,1586
2456,1016
2457,4783
2458,4554
2459,4211
2460,212
2461,378
2462,3185
2463,3490
2464,1330
2465,3139
2466,4829
2467,1588
2468,3941
2469,1291
2470,3452
2471,4657
2472,4076
2473,4765
2474,599
2475,2068
2476,3444
2477,150
2478,345
2479,2650
2480,3292
2481,3835
2482,3400
2483,1238
2484,2040
2485,3506
2486,4877
2487,2076
2488,1873
2489,2624
2490,78
2491,365
2492,1057
2493,232
2494,4031
2495,3884
2496,1359
2497,381
2498,3985
2499,4293
2500,833
