IdO,nom_orga,type_orga,IdT
559,Global Group,Guilde,2141
560,Royal Partners,Club,1240
561,Horizon Partners,Club,1369
562,Prestige Industries,Loge,498
563,Global Consulting,Cercle,1040
564,Royal Services,Association,2079
565,Elite Solutions,Club,3043
566,Global Solutions,Association,2919
567,Horizon Industries,Association,4706
568,Elite Partners,Club,4217
569,Global Partners,Club,2455
570,Alliance Solutions,Association,2400
571,Alliance Group,Guilde,4251
572,Royal Partners,Club,2756
573,Horizon Solutions,Association,4831
574,Elite Services,Association,2476
575,Royal Solutions,Guilde,2035
576,Royal Consulting,Association,2227
577,Elite Industries,Loge,4114
578,Global Partners,Club,2445
579,Royal Services,Cercle,1585
580,Prestige Industries,Association,310
581,Royal Group,Guilde,4364
582,Elite Partners,Association,3008
583,Prestige Group,Association,3832
584,Horizon Consulting,Association,2513
585,Horizon Solutions,Association,4816
586,Elite Solutions,Club,460
587,Global Services,Guilde,1741
588,Prestige Group,Ordre,3151
589,Royal Group,Club,486
590,Royal Consulting,Guilde,4106
591,Royal Group,Club,849
592,Elite Services,Club,1145
593,Elite Solutions,Association,3687
594,Alliance Industries,Club,4962
595,Royal Group,Loge,483
596,Horizon Services,Association,4695
597,Prestige Group,Loge,4938
598,Elite Group,Guilde,915
599,Global Services,Guilde,1627
600,Prestige Industries,Fraternité,8
601,Alliance Partners,Association,1978
602,Horizon Partners,Association,4030
603,Prestige Services,Club,1640
604,Prestige Consulting,Association,4710
605,Alliance Consulting,Guilde,1958
606,Elite Services,Club,742
607,Prestige Solutions,Club,3603
608,Alliance Services,Club,2132
609,Royal Industries,Guilde,170
610,Prestige Consulting,Loge,2937
611,Prestige Solutions,Guilde,2370
612,Prestige Industries,Guilde,1800
613,Prestige Consulting,Cercle,4371
614,Prestige Consulting,Association,165
615,Horizon Industries,Loge,3504
616,Royal Services,Association,236
617,Global Partners,Confrérie,4843
618,Elite Solutions,Club,1197
619,Alliance Industries,Association,2784
620,Royal Consulting,Guilde,3632
621,Horizon Group,Club,2104
622,Prestige Services,Loge,2872
623,Elite Industries,Association,4508
624,Alliance Group,Association,2855
625,Royal Solutions,Club,572
626,Prestige Industries,Loge,2554
627,Royal Services,Club,4038
628,Elite Group,Loge,335
629,Royal Services,Ordre,3817
630,Prestige Partners,Loge,739
631,Elite Industries,Guilde,4093
632,Alliance Solutions,Cercle,2202
633,Royal Partners,Association,2007
634,Global Services,Guilde,1262
635,Horizon Industries,Cercle,2071
636,Elite Services,Confrérie,176
637,Royal Partners,Cercle,3596
638,Global Consulting,Loge,2367
639,Prestige Industries,Club,3431
640,Global Consulting,Club,1057
641,Prestige Solutions,Loge,2730
642,Horizon Industries,Club,4941
643,Elite Consulting,Loge,976
644,Elite Industries,Association,1886
645,Royal Group,Club,2968
646,Elite Industries,Club,176
647,Prestige Partners,Loge,1497
648,Elite Industries,Guilde,4088
649,Prestige Industries,Club,2383
650,Global Group,Club,1811
651,Royal Industries,Association,2784
652,Royal Services,Association,3475
653,Global Partners,Association,51
654,Royal Group,Association,4692
655,Prestige Industries,Association,28
656,Global Solutions,Guilde,3759
657,Prestige Services,Cercle,4044
658,Royal Consulting,Guilde,4749
659,Horizon Consulting,Confrérie,240
660,Horizon Group,Loge,2409
661,Global Solutions,Association,3988
662,Prestige Partners,Guilde,2765
663,Royal Consulting,Association,10
664,Prestige Services,Guilde,432
665,Global Industries,Club,4876
666,Elite Consulting,Association,3251
667,Royal Consulting,Club,4281
668,Prestige Group,Loge,2527
669,Horizon Group,Club,227
670,Elite Group,Guilde,1656
671,Elite Group,Club,2672
672,Alliance Solutions,Loge,897
673,Alliance Consulting,Club,3567
674,Royal Group,Association,2536
675,Royal Partners,Fraternité,4687
676,Global Industries,Confrérie,4890
677,Royal Consulting,Confrérie,2966
678,Horizon Industries,Association,2882
679,Alliance Industries,Loge,4670
680,Elite Services,Confrérie,4158
681,Prestige Partners,Association,780
682,Horizon Solutions,Club,3443
683,Alliance Partners,Cercle,2664
684,Prestige Consulting,Guilde,1113
685,Alliance Consulting,Club,1656
686,Royal Partners,Club,3452
687,Prestige Consulting,Cercle,1524
688,Royal Group,Loge,4289
689,Prestige Partners,Association,3461
690,Horizon Services,Loge,3210
691,Global Group,Loge,4433
692,Horizon Industries,Confrérie,4553
693,Alliance Group,Guilde,277
694,Royal Partners,Association,196
695,Alliance Partners,Association,834
696,Elite Services,Fraternité,58
697,Alliance Consulting,Confrérie,434
698,Horizon Industries,Guilde,4799
699,Horizon Consulting,Cercle,4850
700,Alliance Consulting,Guilde,3242
701,Elite Partners,Guilde,4980
702,Global Services,Guilde,1105
703,Global Consulting,Association,1228
704,Elite Consulting,Club,3288
705,Horizon Solutions,Guilde,182
706,Prestige Consulting,Association,4010
707,Alliance Consulting,Association,3134
708,Elite Consulting,Guilde,4720
709,Elite Partners,Loge,899
710,Elite Consulting,Club,554
711,Prestige Group,Guilde,1112
712,Royal Consulting,Association,4965
713,Elite Solutions,Club,3563
714,Global Group,Association,4142
715,Elite Partners,Club,2099
716,Horizon Group,Guilde,4491
717,Elite Group,Association,4446
718,Prestige Group,Club,620
719,Prestige Partners,Confrérie,4146
720,Elite Consulting,Confrérie,4544
721,Horizon Solutions,Club,3197
722,Elite Consulting,Guilde,2304
723,Prestige Industries,Loge,1522
724,Horizon Partners,Club,180
725,Horizon Partners,Fraternité,4784
726,Elite Group,Guilde,3440
727,Elite Industries,Club,19
728,Alliance Solutions,Club,4634
729,Royal Industries,Club,4871
730,Horizon Solutions,Guilde,3506
731,Alliance Group,Club,1631
732,Global Solutions,Club,2090
733,Horizon Industries,Guilde,635
734,Prestige Industries,Association,804
735,Alliance Industries,Association,1618
736,Prestige Services,Association,3512
737,Horizon Industries,Association,211
738,Elite Group,Ordre,847
739,Horizon Group,Loge,4476
740,Global Solutions,Guilde,1005
741,Horizon Consulting,Loge,4856
742,Royal Consulting,Association,119
743,Alliance Services,Ordre,2894
744,Royal Solutions,Club,1910
745,Alliance Solutions,Club,3396
746,Royal Partners,Club,3254
747,Alliance Group,Club,754
748,Elite Industries,Club,695
749,Horizon Consulting,Loge,2487
750,Alliance Services,Association,4641
751,Royal Group,Loge,285
752,Elite Industries,Association,2220
753,Global Group,Loge,3314
754,Prestige Group,Association,2228
755,Alliance Services,Club,2185
756,Royal Partners,Guilde,547
757,Prestige Solutions,Loge,4159
758,Horizon Group,Association,1208
759,Global Industries,Cercle,1906
760,Horizon Solutions,Club,3855
761,Alliance Partners,Association,3063
762,Global Consulting,Association,2689
763,Prestige Services,Club,1673
764,Royal Services,Association,1398
765,Royal Solutions,Cercle,3269
766,Elite Services,Club,1352
767,Elite Services,Ordre,1957
768,Global Solutions,Club,3150
769,Horizon Services,Club,701
770,Royal Solutions,Association,3555
771,Global Group,Club,913
772,Alliance Group,Loge,4704
773,Global Industries,Club,1928
774,Alliance Partners,Guilde,4584
775,Prestige Industries,Club,2973
776,Elite Group,Club,3821
777,Horizon Partners,Association,3823
778,Royal Services,Guilde,3710
779,Alliance Consulting,Association,4501
780,Royal Group,Club,4447
781,Prestige Partners,Club,3589
782,Horizon Partners,Cercle,507
783,Prestige Services,Association,2059
784,Global Industries,Association,3922
785,Prestige Services,Confrérie,4033
786,Global Industries,Association,80
787,Royal Consulting,Club,2475
788,Alliance Group,Association,1404
789,Prestige Services,Club,1627
790,Alliance Solutions,Association,200
791,Prestige Solutions,Association,928
792,Elite Consulting,Loge,1733
793,Global Partners,Guilde,2166
794,Global Industries,Guilde,429
795,Prestige Industries,Club,4848
796,Elite Partners,Guilde,3614
797,Global Services,Club,2947
798,Elite Industries,Club,4384
799,Elite Solutions,Association,4071
800,Elite Group,Confrérie,4681
801,Alliance Group,Club,1939
802,Horizon Industries,Club,938
803,Prestige Services,Confrérie,4927
804,Horizon Services,Guilde,2776
805,Global Consulting,Club,1406
806,Global Partners,Club,862
807,Royal Industries,Loge,4942
808,Alliance Group,Club,4701
809,Prestige Consulting,Club,2799
810,Elite Solutions,Cercle,2354
811,Elite Industries,Association,4806
812,Global Partners,Club,1548
813,Prestige Partners,Association,2239
814,Alliance Services,Confrérie,726
815,Alliance Partners,Confrérie,1503
816,Horizon Group,Club,2528
817,Prestige Services,Club,4777
818,Horizon Group,Association,4826
819,Alliance Partners,Club,3541
820,Prestige Group,Club,221
821,Global Group,Guilde,4495
822,Royal Solutions,Guilde,677
823,Global Services,Club,1210
824,Elite Partners,Guilde,1895
825,Global Industries,Club,2686
826,Horizon Industries,Association,1872
827,Elite Group,Confrérie,2209
828,Global Partners,Loge,1393
829,Elite Solutions,Cercle,295
830,Prestige Solutions,Cercle,2467
831,Prestige Industries,Guilde,736
832,Alliance Group,Fraternité,1854
833,Horizon Group,Fraternité,1693
834,Global Industries,Association,2545
835,Elite Partners,Loge,4885
836,Horizon Industries,Loge,1690
837,Elite Services,Club,2387
838,Alliance Solutions,Club,214
839,Global Group,Guilde,3583
840,Alliance Group,Loge,3466
841,Horizon Partners,Club,1315
842,Elite Group,Club,713
843,Royal Industries,Guilde,723
844,Prestige Partners,Loge,694
845,Global Group,Loge,1901
846,Horizon Consulting,Loge,4324
847,Global Consulting,Association,3612
848,Global Partners,Fraternité,2381
849,Elite Partners,Ordre,3065
850,Alliance Partners,Club,3715
851,Alliance Industries,Guilde,2520
852,Elite Group,Guilde,3183
853,Alliance Services,Association,806
854,Alliance Solutions,Association,1255
855,Alliance Consulting,Cercle,892
856,Elite Industries,Club,2289
857,Elite Consulting,Association,2444
858,Prestige Solutions,Association,1837
859,Horizon Partners,Club,1678
860,Prestige Industries,Fraternité,2887
861,Alliance Consulting,Cercle,3248
862,Elite Solutions,Loge,2608
863,Prestige Partners,Association,2655
864,Global Industries,Association,4231
865,Horizon Solutions,Club,571
866,Alliance Consulting,Cercle,3275
867,Prestige Partners,Club,4108
868,Royal Services,Guilde,1788
869,Prestige Services,Club,3314
870,Global Solutions,Association,2922
871,Global Industries,Club,811
872,Prestige Consulting,Guilde,2692
873,Global Consulting,Cercle,1205
874,Alliance Industries,Guilde,3998
875,Prestige Industries,Guilde,4655
876,Elite Solutions,Loge,1590
877,Elite Solutions,Club,3930
