IdClub,IdO,IdO_parent
146,1786,2625
147,3398,2287
148,163,2199
149,423,
150,1802,
151,1222,2197
152,1344,1569
153,235,1855
154,1384,2827
155,4992,2009
156,3683,
157,233,4653
158,4141,1748
159,3045,1560
160,2143,1830
161,1719,2009
162,3130,2165
163,3554,2712
164,3701,2721
165,1038,629
166,3356,
167,3207,2836
168,771,1531
169,3869,716
170,3734,3399
171,987,4272
172,1991,4543
173,3251,4056
174,1304,4702
175,2903,1795
176,1379,1520
177,611,4860
178,2996,3433
179,861,4748
180,181,507
181,3567,1212
182,846,13
183,2685,2256
184,4862,
185,4155,
186,4853,3065
187,3871,
188,2969,1000
189,3287,
190,1262,732
191,595,3197
192,902,
193,419,3736
194,1454,2692
195,308,1554
196,4696,1749
197,3230,783
198,734,4158
199,1334,1693
200,383,
201,4619,
202,4945,4672
203,2073,1819
204,2127,1415
205,4579,
206,2501,3087
207,2520,2055
208,4269,299
209,3042,3622
210,4203,
211,2189,2004
212,3431,4442
213,831,1965
214,496,4126
215,2508,4276
216,2357,
217,3048,
218,1154,4166
219,1705,2518
220,4288,
221,3685,2367
222,2804,2657
223,2205,338
224,2030,661
225,3598,
226,4044,3438
227,1403,1372
228,4424,1339
229,1495,3546
230,3116,
231,1680,752
232,2479,3890
233,1682,1919
234,2460,4392
235,869,
236,1427,2561
237,1346,716
238,1318,1138
239,4213,2083
240,1643,1155
241,3025,3180
242,4990,3766
243,2242,1858
244,3745,1320
245,3875,4416
246,1640,1685
247,4118,2334
248,1937,907
249,3709,3797
250,3278,3247
251,4681,2695
252,2237,3247
253,1019,4764
254,1714,4174
255,4144,4179
256,185,1803
257,825,3654
258,4787,4015
259,3647,
260,3568,1133
261,4590,2419
262,1453,
263,3814,564
264,1440,2248
265,1611,3635
266,3846,2097
267,4895,236
268,3735,
269,3739,2561
270,3862,
271,4174,606
272,1068,85
273,4672,
274,1132,
275,2618,
276,2874,2518
277,1052,3320
278,998,
279,254,
280,1807,907
281,1276,4996
282,1053,1830
283,2773,4184
284,3069,4753
285,1091,3519
286,1709,4225
287,2539,
288,3833,
289,1824,1842
290,4277,776
291,81,1504
292,1331,1149
293,1602,1372
294,3478,1287
295,3988,1214
296,3969,1286
297,3637,1096
298,3314,
299,3996,1560
300,3304,4225
301,2095,
302,355,2116
303,1002,2665
304,1008,
305,4613,420
306,4625,4602
307,1408,
308,1903,1209
309,161,
310,3584,3510
311,4569,3629
312,694,
313,4782,
314,2176,1366
315,2261,3906
316,2664,626
317,907,
318,3007,4488
319,3161,
320,2604,
321,2285,4073
322,1249,
323,1230,3704
324,1126,442
325,3917,
326,2899,3676
327,2269,2969
328,2450,
329,4311,3186
330,1928,489
331,2372,
332,3511,3180
333,2188,3320
334,2279,
335,173,975
336,2350,
337,3366,523
338,1370,2860
339,4901,
340,4108,3797
341,394,1994
342,3066,1874
343,693,3748
344,2999,
345,4509,1029
346,781,118
347,517,525
348,3858,4356
349,2772,3063
350,4333,
351,653,4722
352,4457,2673
353,1043,299
354,4021,
355,3014,2558
356,1225,1965
357,1429,523
358,4872,2990
359,1943,2441
360,1526,2020
361,3547,1578
362,542,4292
363,3485,373
364,2175,394
365,247,4892
366,4114,4353
367,2842,3911
368,4555,
369,3972,2569
370,334,
371,3807,4126
372,1274,
373,1288,2847
374,1664,1847
375,1347,2055
376,3479,1685
377,2498,4319
378,719,2847
379,3059,
380,2446,2469
381,2793,
382,1742,755
383,1020,1494
384,4036,4286
385,601,
386,500,
387,3472,2844
388,2636,2672
389,4271,1372
390,4349,1781
391,3367,2550
392,4920,1226
393,229,1737
394,2534,3748
395,1436,1529
396,2346,232
397,989,3707
398,2313,2538
399,3382,4764
400,2910,3186
401,2358,4163
402,4652,1569
403,976,
404,479,1192
405,446,1220
406,4786,3604
407,2588,748
408,556,3366
409,4461,3118
410,384,4697
411,2223,2896
412,2001,4892
413,934,2366
414,617,4225
415,2204,1994
416,1740,
417,836,1361
418,1513,2715
419,4531,2165
420,2644,4595
421,469,
422,2543,696
423,2466,4855
424,2156,1288
425,2289,
426,1059,2256
427,273,3186
428,2834,2223
429,4643,900
430,3712,1533
431,2135,2097
432,465,2557
433,2977,
434,1817,3743
435,3092,183
436,167,740
437,4980,3794
438,4486,1519
439,3064,2878
440,1000,2084
441,2378,2673
442,1838,2848
443,4237,2011
444,4583,661
445,240,1613
446,2228,817
447,3043,3378
448,4629,
449,1270,3389
450,2692,3008
451,401,3824
452,3784,
453,4679,1817
454,4355,1096
455,2039,2727
456,3365,
457,967,1081
458,1677,2223
459,4018,4487
460,4123,2668
461,4514,3859
462,1895,3438
463,321,
464,1617,2500
465,2390,608
466,489,2636
467,4061,1372
468,4025,4125
469,4172,4499
470,3892,2332
471,38,
472,4647,356
473,3245,3839
474,280,752
475,3503,4023
476,4101,3635
477,1060,2460
478,2382,3937
479,1749,2862
480,3351,2396
481,1099,
482,1054,
483,3164,4672
484,3861,
485,108,969
486,4813,4715
487,3402,4353
488,2017,1112
489,1797,4461
490,4943,721
491,3885,4847
492,3721,3456
493,1793,361
494,3179,
495,1110,4353
496,2418,1724
497,1967,3399
498,4161,425
499,1635,4680
500,1186,4331
501,2351,4764
502,2937,1096
503,4102,3202
504,3766,3629
505,1898,3824
506,1140,628
507,4626,1133
508,3281,1937
509,3957,4518
510,3266,
511,3763,3607
512,2673,4692
513,4777,
514,4519,4630
515,2227,3558
516,1780,3134
517,3662,4624
518,293,3107
519,1778,1718
520,457,2054
521,499,1611
522,4866,4979
523,86,4314
524,1909,
525,1836,902
526,4156,2860
527,4169,
528,4436,590
529,1415,4877
530,98,3240
531,3941,3948
532,4087,4105
533,4235,4024
534,27,
535,533,1022
536,664,2875
537,2856,
538,4581,3136
539,3545,1874
540,2400,715
541,2344,1025
542,1874,4234
543,695,4450
544,1207,2715
545,335,2990
546,612,1274
547,2721,
548,2333,4574
549,773,2060
550,2302,547
551,794,542
552,1521,
553,2949,4269
554,1892,4130
555,1475,
556,4734,721
557,1989,
558,2260,2367
559,3203,4586
560,221,2948
561,2061,1194
562,4227,3373
563,4225,2334
564,2684,411
565,422,
566,3877,4758
567,188,4234
568,3303,292
569,2005,279
570,447,2091
571,1554,1806
572,4588,4982
573,1904,2626
574,865,737
575,1736,2948
576,779,398
577,1239,
578,219,975
579,3771,1773
580,4178,
581,1119,3136
582,619,292
583,4728,3711
584,1860,642
585,2341,
586,2625,4053
587,2185,2797
588,588,1589
589,4043,1589
590,4617,3127
591,625,3548
592,3929,4715
593,299,
594,3939,1708
595,777,5
596,3519,
597,4593,3209
598,1365,2559
599,224,292
600,4009,
601,1657,2665
602,778,507
603,1062,1506
604,1683,827
605,2701,3839
606,3742,
607,2853,3433
608,2845,1186
609,2551,2273
610,1829,109
611,1792,
612,4886,2776
613,871,1137
614,3544,4868
615,2154,1136
616,1432,
617,2069,1807
618,3572,
619,92,4072
620,2936,
621,4261,147
622,2252,
623,1279,2122
624,1350,3482
625,36,4279
626,3006,4855
627,4450,1578
628,4791,2079
629,856,934
630,4104,1286
631,1027,1564
632,2322,36
633,811,2606
634,4817,
635,4452,
636,171,3529
637,1873,1398
638,3720,1
639,3936,3190
640,2239,3316
641,2829,1659
642,3234,3822
643,1813,2694
644,2512,
645,379,
646,4902,41
647,450,
648,471,411
649,827,
650,4576,448
651,2100,3564
652,4259,2677
653,3914,4187
654,2908,1901
655,1417,4958
656,2938,3072
657,993,3767
658,4469,114
659,3599,137
660,4385,2485
661,159,4648
662,1428,3312
663,2712,4943
664,3550,3152
665,1718,973
666,4148,4518
667,1085,4002
668,2332,3366
669,4900,1624
670,2066,2791
671,2611,
672,3301,
673,978,921
674,3968,3711
675,4966,3903
676,1221,
677,4582,2256
678,2800,1291
679,3373,2441
680,2873,784
681,2454,2548
682,2291,3785
683,2064,2995
684,501,3517
685,3473,3955
686,1538,915
687,4053,1020
688,1720,1786
689,1411,
690,2713,4272
691,4056,3017
692,2956,
693,4666,2062
694,2898,4820
695,4863,2694
696,1724,1250
697,2547,3782
698,1183,3456
699,332,4781
700,1774,4037
701,1906,4260
702,2752,2181
703,3474,2673
704,3486,367
705,550,1844
706,4717,1823
707,4688,3046
708,4971,2995
709,2629,3529
710,720,2948
711,4405,776
712,1985,4892
713,196,4117
714,1055,1022
715,4444,
716,4731,1544
717,3143,170
718,648,3273
719,958,91
720,1036,1675
721,3809,1516
722,1668,1217
723,1690,
724,2152,2471
725,4725,3197
726,2404,4900
727,2922,3485
728,4710,1790
729,1661,991
730,4121,800
731,4308,1519
732,3973,4024
733,3874,1032
734,4768,4159
735,4964,4134
736,2973,
737,692,
738,3411,1194
739,296,3119
740,3286,732
741,3038,3107
742,134,3477
743,1628,
744,1137,
745,283,4758
746,495,2962
747,184,2972
748,1418,2518
749,3241,4702
750,2689,1937
751,1741,1837
752,2706,1116
753,4399,900
754,1233,4930
755,2389,
756,3828,1025
757,488,3174
758,4882,1146
759,702,3208
760,4079,1428
761,3131,4249
762,766,2712
763,61,
764,4792,1022
765,3262,1466
766,1884,2597
767,4526,
768,2262,1286
769,2306,3536
770,1616,
771,4438,1320
772,2770,2739
773,463,4648
774,2888,1008
775,2200,2496
776,4663,2734
777,3830,
778,2683,420
779,337,
780,2083,3782
781,775,4555
782,2034,
783,392,
784,1213,4356
785,1308,
786,914,2884
787,456,4356
788,4434,64
789,583,
790,2850,
791,707,2498
792,4501,
793,4515,4876
794,1404,
795,2526,
796,1243,4487
797,4096,
798,718,1305
799,1029,4820
800,3139,
801,4134,1279
802,1614,1594
803,2164,1830
804,1586,4351
805,4325,3637
806,699,2302
807,3905,2672
808,1984,
809,2635,1573
810,4537,4270
811,389,1022
812,3980,3927
813,3517,4461
814,4915,2548
815,152,941
816,226,168
817,133,1823
818,3285,588
819,3740,1718
820,4621,1694
821,1026,864
822,3749,3626
823,3864,1519
824,3670,67
825,4420,
826,3661,118
827,4015,1831
828,3425,1279
829,4158,1375
830,3574,2373
831,543,
832,4667,1787
833,809,3496
834,168,3535
835,2907,
836,688,
837,3114,1819
838,2399,
839,3753,4302
840,2928,4766
841,3540,2646
842,475,361
843,2718,531
844,4369,2672
845,4296,2694
846,117,
847,4219,
848,4937,84
849,4023,2559
850,145,
851,4376,1122
852,3098,1685
853,1441,
854,4934,
855,1153,2796
856,755,4939
857,503,840
858,2451,2723
859,635,4187
860,1317,4053
861,2912,
862,3063,3209
863,2623,137
864,4198,3205
865,676,4158
866,466,2626
867,3805,2023
868,4451,302
869,508,4876
870,3507,
871,4124,3965
872,3672,2962
873,2139,
874,3808,3399
875,3120,3485
876,2815,2287
877,191,
878,160,4101
879,4260,2595
880,1999,
881,4072,
882,2167,
883,1058,
884,3645,4450
885,1291,
886,78,1858
887,1905,2687
888,1704,2673
889,131,3022
890,1845,
891,1377,
892,2995,4959
893,2319,
894,3448,
895,3188,
896,3698,
897,1962,84
898,3093,
899,698,2195
900,969,732
901,643,3269
902,4507,
903,2540,2502
904,4128,2302
905,4371,425
906,3886,3197
907,2885,4126
908,3700,
909,4218,
910,3569,1391
911,1387,2969
912,3435,4837
913,3531,5
914,362,3743
915,518,4721
916,4942,1001
917,4741,3959
918,1004,4784
919,4968,3859
920,2564,
921,986,642
922,1343,3510
923,4690,4752
924,1612,1564
925,1115,293
926,284,3269
927,116,
928,710,1916
929,3674,
930,4570,1965
931,468,4349
932,2209,737
933,4961,19
934,3535,1099
935,427,4672
936,4294,
937,1777,1646
938,4416,991
939,1378,
940,203,4124
941,4049,1652
942,1050,2147
943,1842,1299
944,569,1375
945,1224,
946,2394,1662
947,3217,1531
948,2186,4853
949,2855,2738
950,4482,2561
951,866,753
952,4858,3743
953,66,3270
954,537,3197
955,4468,1720
956,410,1998
957,178,1779
958,2863,569
959,2901,3065
960,2697,1361
961,269,1593
962,3711,1941
963,93,4450
964,1338,4916
965,4282,2259
966,1816,4146
967,1971,4659
968,3984,4900
969,30,
970,371,3240
971,584,2972
972,2123,1494
973,4887,
974,365,1144
975,3605,661
976,220,523
977,1392,4672
978,1067,2091
979,9,133
980,1442,3977
981,2976,1209
982,2626,2665
983,2798,1685
984,3185,1760
985,2250,4228
986,2373,2011
987,4113,1339
988,385,3196
989,1877,4892
990,3057,
991,1517,3941
992,4166,3485
993,4764,3206
994,4595,4764
995,4856,1375
996,259,4295
997,4000,
998,3494,
999,3470,507
1000,2013,3501
1001,2499,158
1002,1872,4892
1003,4842,2113
1004,2362,
1005,1649,2143
1006,2742,1659
1007,3422,4351
1008,3318,420
1009,1995,1570
1010,3964,614
1011,4703,3022
1012,2045,4953
1013,3381,2116
1014,314,
1015,1796,2332
1016,2166,3052
1017,215,
1018,3352,1190
1019,338,2827
1020,2081,3250
1021,4454,2595
1022,3841,
1023,2149,1733
1024,1493,4392
1025,282,1146
1026,929,
1027,4290,
1028,2376,
1029,2339,4967
1030,3629,137
1031,765,293
1032,4095,2106
1033,3937,
1034,290,1787
1035,2704,1516
1036,3150,1319
1037,2900,470
1038,2819,633
1039,4636,1937
1040,4665,1727
1041,4727,
1042,4505,3026
1043,4489,
1044,4367,3382
1045,1228,2896
1046,2734,4847
1047,3051,1569
1048,46,2569
1049,4704,3665
1050,2710,2715
1051,819,4488
1052,1702,93
1053,2281,1737
1054,2519,
1055,774,3802
1056,2452,2111
1057,1080,2896
1058,2774,4249
1059,2927,
1060,4100,170
1061,2790,1976
1062,2077,3066
1063,2277,3455
1064,2131,
1065,3851,2113
1066,1158,1585
1067,2050,3454
1068,4214,3971
1069,3529,991
1070,4052,2062
1071,1662,
1072,1452,4894
1073,1478,2561
1074,4241,1787
1075,2379,3121
1076,3146,4847
1077,1162,1649
1078,4313,934
1079,660,
1080,2720,2995
1081,442,4936
1082,1074,83
1083,4060,4104
1084,2301,1080
1085,900,4165
1086,1066,2170
1087,2047,3025
1088,4181,3392
1089,2444,1785
1090,4807,1009
1091,3903,3057
1092,2090,
1093,3135,
1094,3854,4037
1095,1501,2687
1096,4400,3328
1097,655,1795
1098,90,3017
1099,4981,1029
1100,2843,4586
1101,4552,1649
1102,2458,4586
1103,1565,1192
1104,3383,3658
1105,4775,755
1106,1253,
1107,2561,3383
1108,120,2288
1109,2767,4943
1110,1894,1787
1111,2055,840
1112,1504,2206
1113,2878,4692
1114,920,4555
1115,1897,4411
1116,452,
1117,4091,13
1118,4916,4855
1119,816,3795
1120,1024,3107
1121,2121,4711
1122,1107,1544
1123,3944,
1124,4365,1190
1125,4959,1416
1126,267,1136
1127,4350,
1128,2640,
1129,3924,3839
1130,1594,2538
1131,4938,2394
1132,2029,2569
1133,2420,4279
1134,3326,
1135,4022,2548
1136,561,
1137,2311,2154
1138,863,3250
1139,3168,1770
1140,2042,
1141,4042,
1142,2060,1004
1143,3570,
1144,2556,1538
1145,4828,2173
1146,731,2740
1147,760,2075
1148,2832,1144
1149,4495,4430
1150,2371,21
1151,3086,3118
1152,2257,3888
1153,2954,
1154,26,3501
1155,1871,1643
1156,2746,2622
1157,136,1760
1158,789,
1159,2671,2122
1160,246,442
1161,4832,4272
1162,3158,3383
1163,4111,
1164,3666,
1165,3380,1361
1166,4076,3986
1167,3953,1649
1168,2610,
1169,1637,2893
1170,3866,2173
1171,2606,
1172,139,
1173,3019,
1174,3948,3704
1175,2355,
1176,3810,3662
1177,607,2485
1178,3994,
1179,1922,3180
1180,890,223
1181,2546,1702
1182,839,1916
1183,994,
1184,679,1194
1185,3216,1817
1186,896,4950
1187,2779,1790
1188,3039,
1189,4556,1428
1190,1444,1611
1191,2883,1466
1192,4650,3190
1193,252,2020
1194,4592,3582
1195,4175,
1196,357,
1197,498,2173
1198,4322,1631
1199,3078,4979
1200,4520,2143
1201,4738,1137
1202,1717,188
1203,2991,2880
1204,4631,3773
1205,3562,
1206,3714,
1207,3475,3604
1208,3561,3428
1209,602,1442
1210,1939,3501
1211,2220,3071
1212,1803,1847
1213,1940,3711
1214,515,
1215,2522,2290
1216,1522,3649
1217,4897,3785
1218,1351,232
1219,2755,
1220,1888,4722
1221,2594,3655
1222,2593,
1223,4953,1415
1224,1329,4659
1225,3291,
1226,3659,4179
1227,3327,
1228,3717,692
1229,3624,3859
1230,486,749
1231,2605,4930
1232,3680,1417
1233,2489,
1234,4217,756
1235,4360,3859
1236,2889,783
1237,1426,
1238,3619,2469
1239,4250,3083
1240,4280,3782
1241,4435,289
1242,56,
1243,3618,
1244,2691,4212
1245,2008,4659
1246,1914,1533
1247,2473,
1248,1390,1569
1249,3406,3561
1250,4377,
1251,3189,
1252,1194,4648
1253,864,1503
1254,3295,1136
1255,4498,715
1256,1242,249
1257,1575,2981
1258,1908,3118
1259,4418,1916
1260,2,2673
1261,4530,4648
1262,3141,1803
1263,786,1554
1264,2643,1250
1265,1890,4058
1266,414,4653
1267,2799,
1268,1437,3107
1269,971,3101
1270,767,36
1271,1464,1
1272,2397,4270
1273,2247,2060
1274,988,
1275,4033,728
1276,618,2456
1277,4765,457
1278,3688,
1279,4183,1785
1280,874,1041
1281,3920,2288
1282,2169,356
1283,1541,3637
1284,302,2654
1285,4909,2953
1286,347,1646
1287,1986,4134
1288,4150,3083
1289,208,1001
1290,3187,2896
1291,2027,1146
1292,2085,4447
1293,996,3482
1294,3293,666
1295,3829,1817
1296,2658,
1297,642,3428
1298,568,3305
1299,3334,4225
1300,4986,797
1301,1353,2709
1302,4391,
1303,3893,
1304,2613,3046
1305,4397,
1306,1544,1344
1307,582,
1308,94,4158
1309,149,
1310,2405,2557
1311,2796,3263
1312,4206,
1313,3622,4278
1314,3242,3585
1315,4485,4820
1316,1607,
1317,2894,1214
1318,3336,
1319,3211,1624
1320,1528,232
1321,2735,3063
1322,2687,4884
1323,2813,2448
1324,3072,
1325,4575,
1326,4029,2654
1327,3107,1209
1328,2924,817
1329,1832,3438
1330,3616,
1331,4830,
1332,2574,1564
1333,2695,
1334,19,3666
1335,2550,
1336,3640,2947
1337,1826,93
1338,3915,
1339,291,1217
1340,4221,2350
1341,2433,3326
1342,3136,3536
1343,3664,2290
1344,3022,1807
1345,1438,1634
1346,4187,
1347,4157,3326
1348,3106,4680
1349,2497,137
1350,214,
1351,3121,
1352,3844,67
1353,24,1593
1354,2422,4276
1355,953,4635
1356,1980,3959
1357,1430,2505
1358,2513,4982
1359,2649,
1360,4876,1965
1361,715,4892
1362,212,
1363,3817,4031
1364,3328,4101
1365,3009,1366
1366,599,2557
1367,2518,696
1368,849,2738
1369,441,1217
1370,4682,
1371,1170,2654
1372,1255,2120
1373,1305,3911
1374,4735,1670
1375,887,3121
1376,2789,3046
1377,534,907
1378,2456,3066
1379,941,147
1380,4073,868
1381,2036,2879
1382,3419,1994
1383,4381,2122
1384,2212,
1385,3508,
1386,2337,3163
1387,4055,
1388,3175,4292
1389,1915,114
1390,2491,2589
1391,821,2288
1392,1584,4320
1393,3802,2045
1394,1285,
1395,4004,367
1396,3224,3267
1397,3515,2606
1398,164,3320
1399,1071,4117
1400,4466,1525
1401,4066,1139
1402,2628,
1403,2877,
1404,4996,3389
1405,4733,
1406,627,751
1407,3428,3927
1408,4380,4311
1409,4532,
1410,2820,790
1411,567,3174
1412,1237,1830
1413,4785,2537
1414,1879,2014
1415,4772,4556
1416,845,4911
1417,3743,2434
1418,962,3955
1419,4045,
1420,1965,1852
1421,2581,2094
1422,408,4015
1423,2345,
1424,2862,3454
1425,3520,
1426,4068,
1427,641,4179
1428,1498,3802
1429,2482,3676
1430,3457,868
1431,405,3407
1432,3100,4878
1433,3633,2646
1434,746,1795
1435,1997,
1436,1801,
1437,1161,
1438,4815,234
1439,677,2619
1440,3737,
1441,1235,1937
1442,3966,4894
1443,2529,
1444,1125,147
1445,4627,2626
1446,1516,
1447,862,744
1448,255,
1449,162,744
1450,3083,370
1451,3747,
1452,1056,1392
1453,2994,2743
1454,1179,304
1455,4270,4784
1456,272,3050
1457,2597,1675
1458,407,375
1459,4088,2496
1460,506,1803
1461,1013,1749
1462,4267,1499
1463,2970,4672
1464,3011,732
1465,1973,4392
1466,2668,1329
1467,403,3937
1468,4976,2672
1469,431,
1470,4146,2456
1471,4401,4855
1472,2926,
1473,3998,1122
1474,3573,188
1475,3321,4543
1476,2947,470
1477,4939,
1478,548,188
1479,2150,
1480,4008,
1481,4737,
1482,834,
1483,3490,4916
1484,2791,1913
1485,2299,2636
1486,4255,3136
1487,2032,3911
1488,1467,1823
1489,4484,2569
1490,2037,
1491,2621,
1492,1656,4442
1493,3907,1807
1494,4835,2981
1495,1268,3428
1496,3536,
1497,1171,
1498,4970,1321
1499,4145,3973
1500,1676,4454
1501,2802,2020
1502,4685,
1503,1181,3071
1504,4633,3101
1505,4774,4766
1506,4903,4555
1507,183,
1508,3870,2155
1509,2231,1146
1510,682,2727
1511,717,3214
1512,2130,
1513,2986,1531
1514,4599,2434
1515,1700,3704
1516,847,
1517,3111,83
1518,175,1847
1519,3103,
1520,2317,1649
1521,3126,4877
1522,1931,3782
1523,4490,3743
1524,4930,1339
1525,451,95
1526,3368,2666
1527,511,3658
1528,558,
1529,3315,1764
1530,1613,2712
1531,4504,4450
1532,1547,
1533,395,3087
1534,3355,2181
1535,3560,3214
1536,1732,1714
1537,541,2511
1538,3255,2142
1539,3727,756
1540,553,3517
1541,4315,3101
1542,464,559
1543,1290,4272
1544,800,3267
1545,1164,
1546,2153,2014
1547,2620,156
1548,2226,4416
1549,3527,211
1550,3439,279
1551,3397,3240
1552,4263,
1553,3772,
1554,877,
1555,4542,4155
1556,4913,1594
1557,2777,2043
1558,3586,1190
1559,3117,2734
1560,2428,
1561,1952,1020
1562,1287,1072
1563,1758,3263
1564,2194,
1565,4142,4823
1566,44,3174
1567,4715,
1568,1699,2290
1569,3999,
1570,727,472
1571,1112,1817
1572,3280,3186
1573,1694,3025
1574,4956,
1575,1843,
1576,1881,883
1577,3504,1299
1578,2113,4179
1579,4366,2622
1580,4557,2692
1581,1206,
1582,3632,1558
1583,3160,1749
1584,2464,1525
1585,4859,4269
1586,4789,2373
1587,1393,1435
1588,4264,
1589,261,2097
1590,1804,
1591,3891,963
1592,3790,
1593,3681,2396
1594,307,
1595,1646,4487
1596,1841,4265
1597,3993,4644
1598,406,3025
1599,2700,6
1600,4564,
1601,3781,3437
1602,4684,4841
1603,768,4770
1604,4847,1624
1605,2278,278
1606,4923,790
1607,1385,4192
1608,3053,2287
1609,3636,3637
1610,2502,1998
1611,4931,
1612,4801,4702
1613,4889,4696
1614,3239,4786
1615,966,4764
1616,2145,
1617,3933,2023
1618,4389,2723
1619,647,1435
1620,4521,67
1621,1182,2094
1622,4723,
1623,955,4977
1624,3097,21
1625,3578,4458
1626,2416,
1627,3313,3328
1628,74,
1629,573,3623
1630,740,3903
1631,4231,1693
1632,3176,2893
1633,470,147
1634,2794,1651
1635,4197,
1636,4467,
1637,497,2034
1638,4601,4099
1639,4447,1724
1640,1367,2511
1641,801,83
1642,3657,912
1643,575,4635
1644,2259,3649
1645,2254,1807
1646,513,2020
1647,1413,4487
1648,4160,4416
1649,3603,
1650,3696,
1651,810,2947
1652,4757,2953
1653,304,4019
1654,3538,1634
1655,143,793
1656,4244,4939
1657,3277,1858
1658,4841,2512
1659,741,4281
1660,687,559
1661,4386,3662
1662,2080,3479
1663,4016,
1664,4894,4911
1665,2207,109
1666,788,2844
