IdP,IdC
4424,4420
4753,4927
1370,2459
2990,3638
3682,3725
2617,937
4688,161
1304,1696
1650,3041
3709,3570
1529,1321
803,4920
3478,2557
949,3241
2631,2822
3108,704
4656,2767
4353,1288
1605,3221
3507,495
557,556
2004,1018
3819,520
3983,457
278,3107
2068,4357
1048,3769
3759,3850
3516,4824
1433,4641
2223,1288
4651,3434
4931,1878
3709,803
4377,2937
922,2168
4947,3905
4615,3335
1376,4891
3459,1380
341,2609
1509,3795
1947,1760
1279,192
1071,1412
1208,2330
695,4294
2718,357
4264,4367
3274,4573
3817,3656
3921,1338
492,4470
1967,2267
838,3750
4718,3703
1984,806
1913,2158
4388,1717
1476,1428
4971,3689
4483,537
3551,3487
1975,2585
128,4719
3542,4043
1207,2542
1802,4740
4069,1628
1517,345
3926,2955
2163,2332
4342,2745
2181,3080
4877,4087
2335,3884
1974,1395
1234,2723
858,2992
2104,3549
4372,1815
3967,1846
2587,1004
4687,2032
387,2435
361,2908
3366,2181
3893,3861
248,3511
244,823
3618,3828
2162,4990
3942,4086
1146,3551
1244,352
2748,112
2909,184
2070,3899
4343,1705
2410,1529
3685,2055
43,4342
1630,3875
4721,3280
973,3527
962,2588
4699,1972
2613,3968
1812,1637
4563,1115
1797,3591
3083,4166
680,1824
1544,2956
4659,3364
3046,1029
4139,1298
1799,4092
1109,791
2198,3309
3080,4347
1411,2500
4664,988
1958,434
2696,3003
1565,1383
2504,3791
1894,2560
1662,593
510,4142
3054,2587
1,2388
223,1587
3338,1797
63,1520
1031,2110
3260,3752
3765,501
4474,3395
160,3496
2243,4269
2799,3889
1488,2630
1219,1114
1603,878
1938,2618
2378,2355
3187,413
3766,2664
2414,1509
794,2802
2239,4592
4104,1923
94,4641
4487,4498
412,1287
487,1527
174,1085
1069,4338
3743,1376
3429,2776
4046,2250
898,4865
1355,4799
1651,3003
2068,618
59,1962
4859,606
4451,3467
2831,4721
4250,4927
858,3448
3029,3517
3890,3040
4529,3161
3616,2326
864,4686
4135,3044
3278,1867
1441,3876
1930,3332
1101,3715
1010,4207
2292,1791
2391,2099
792,2279
4011,4537
1355,22
403,4123
4714,3085
3948,4863
667,2181
974,1339
3733,2935
450,2851
1762,3765
1422,3467
2824,3545
2681,1038
3286,286
962,3557
2448,3166
3971,1879
4846,4028
862,4723
1666,4542
3920,4548
1240,2145
3765,2073
2257,4873
3660,1645
302,4500
3189,4917
3123,3326
68,3970
758,360
1147,2665
1654,4204
2957,982
487,4087
3863,3776
3701,310
4015,1951
3580,1600
673,3841
4991,1225
2476,1241
2520,2497
999,1138
3888,4309
2473,857
3065,4368
2919,4612
169,2351
3975,1185
13,4605
4329,1681
4543,2110
2352,2210
1845,1676
953,1407
2565,4603
3500,3365
860,295
871,1662
4801,1564
21,2332
913,3662
3972,1870
4699,680
1910,3104
4915,2486
1433,141
3328,1903
837,4091
418,4929
1568,2986
1669,3512
1033,3438
3522,1074
4142,480
920,1036
3964,2203
1197,1051
4558,2186
2357,1995
180,4274
4717,746
3657,4480
194,932
3384,2768
1851,3863
1567,2322
4124,1925
4230,1058
3643,2013
946,1812
3851,832
2604,1697
1156,4026
2555,4674
602,4772
262,2391
2425,1304
1381,4768
4200,1544
176,4759
1384,251
3182,210
2626,3282
3642,3993
4277,2634
4167,2271
241,4033
4281,2154
1625,241
2831,697
3860,2959
2108,2212
4957,3167
4585,3756
2768,1907
3637,4576
2171,4207
1874,2396
3622,659
97,1105
1130,4664
3557,3713
2968,1830
84,4726
1002,4528
432,4535
3824,2272
4687,4030
463,870
4442,4501
1023,265
345,4013
3740,4989
3299,1627
4732,2127
4312,398
119,2191
4233,1254
280,4728
3014,2707
787,2549
2295,4625
4023,3424
2540,2323
1115,1572
1983,2982
3348,3488
3163,4383
3556,3771
3386,3945
524,3802
4450,165
4879,3984
2429,3460
2663,4633
4308,3438
4921,4599
2370,3383
2253,860
692,2946
3358,3376
2206,2360
653,4990
2490,4388
801,3436
117,3091
2837,769
1637,1253
123,688
4656,4281
1652,2676
3317,1061
687,2281
1215,4495
411,3316
3734,3828
4998,3534
1472,4821
1503,3285
4062,2322
1948,3911
344,4409
16,3088
3192,1537
86,146
2572,4166
1552,2806
2336,359
2580,1966
2609,1982
955,1639
145,539
4306,350
3722,3802
3249,3075
4674,4250
3404,3602
3115,839
942,332
3365,2542
1007,1079
4588,3876
899,3671
2168,2611
3202,149
4544,3178
2295,432
3369,4180
4523,4691
3169,3057
820,3431
1705,4744
1705,3305
1277,4997
1880,4558
4050,3005
3834,5
2293,2497
4952,756
4766,1824
1245,4832
3694,4641
3701,2830
2329,99
34,1661
1339,3667
488,514
2796,2761
4364,2395
3178,4047
1616,822
4011,2953
4915,915
1973,772
1524,617
232,4399
1337,3417
4329,1791
1748,1748
334,4742
554,1891
3294,481
1186,1878
1439,1752
1621,792
1757,2631
2887,3993
2706,545
1881,2263
4154,4122
4679,1120
4852,788
2260,2397
4921,1093
760,4268
2377,4663
1913,1070
396,490
2738,2967
3148,6
614,2395
1569,4950
3390,2000
4109,4912
2489,4826
2619,3870
3046,4577
3323,2389
4678,49
4721,2019
883,4919
2402,547
4638,756
2605,2171
4597,38
1426,2712
2781,134
4505,2336
3850,791
1453,4760
3558,850
3948,4416
4100,1343
470,4818
4501,3684
2692,4141
4796,3307
3205,3145
3896,4954
2796,3418
3929,2945
4561,2440
4395,485
1608,3248
3172,4126
3267,4470
1976,3941
2826,4427
4433,407
4658,4910
4753,2003
323,3876
2486,3567
4789,2899
2600,988
3193,3733
591,3006
3560,1778
4462,3731
1053,1692
4030,3036
1432,799
1120,4130
3838,2782
4450,4785
1909,1264
2330,4999
3107,3410
1824,4588
4217,3282
3869,3032
2489,2637
2134,3531
3287,2946
701,4285
811,2788
3211,4002
3772,2856
909,1006
3501,358
4179,2599
1274,3843
4870,4768
2974,4548
215,1524
2423,3611
4285,4387
4273,4759
784,524
3834,3344
744,2505
2772,2534
1009,847
3236,4500
4166,451
287,232
1337,3781
4450,4971
2842,3794
637,3461
562,1377
2715,2769
3854,1439
417,2631
193,2841
1078,1969
1341,2593
3431,2505
3623,2630
3106,1448
3900,2802
1720,1900
214,1976
286,579
1324,1437
485,2534
3928,93
2373,2797
3285,2329
2336,100
3900,2321
2283,1480
3697,3075
824,386
2826,4669
345,1719
3792,2597
2334,2411
4024,2602
2238,1852
3238,3850
717,2405
4560,4717
315,1489
2784,1399
3216,1508
2958,2164
2118,4903
1877,3761
4368,883
4388,3288
37,4252
2156,1411
4902,1428
96,3909
3496,3602
2171,4914
3371,4975
4724,4884
259,174
4764,4212
271,3547
1415,37
3591,3126
4976,760
4467,3028
627,816
2066,3149
3946,3374
55,1724
950,4544
1804,503
340,2202
1752,160
4393,3847
1324,529
894,2020
1749,1745
2489,358
4624,3489
3563,4496
2441,4714
201,3186
4837,728
4848,1425
2602,2988
728,4107
4718,2246
3055,983
3551,4188
2530,1721
4848,4016
4356,4382
2068,234
506,1535
1264,4743
631,1163
3460,2152
1155,495
2678,938
1658,1614
3609,918
891,4167
2831,4295
3188,328
1531,3629
4604,2099
859,4779
2948,2070
346,1347
2433,1732
2342,3878
3550,2202
3318,1470
480,2629
1175,4611
427,4406
1089,2528
3357,789
3862,4330
3008,3100
2054,3870
4613,4509
2706,29
849,2318
7,4907
4528,3887
3922,2372
1753,4927
4774,3588
3126,817
4306,1589
441,4266
1334,1955
3742,4588
4497,2610
4204,3450
2647,4497
2267,2203
3854,4992
2351,2649
2463,520
3289,1007
2331,2111
4259,2229
1647,856
3670,1720
3258,4762
1509,3229
2358,2040
682,4939
478,4579
1117,1401
391,1020
303,3548
3704,1060
4108,3918
2295,1694
1885,2930
1823,3633
2148,2165
3311,1446
3586,4662
2426,3566
4841,2411
1433,671
385,4890
1613,557
3576,946
4162,2411
4583,4236
3642,2508
13,4498
736,3692
762,2252
1952,1796
3243,4480
2261,1595
1161,3904
738,1320
3651,4111
4031,4583
1423,3001
3988,1787
3408,4428
3566,446
613,3547
3918,4921
1139,721
2540,4048
4185,1393
2149,3465
4799,2802
4245,577
1195,1930
1919,3575
4535,3106
161,392
956,1577
3554,4222
1640,963
4866,3594
4360,966
520,1393
3858,1934
4670,3853
4992,3398
4483,594
4662,609
4138,2407
3269,2820
1152,4273
1105,3081
4521,3368
4168,1323
1243,457
2498,251
1335,3290
1909,4484
4005,531
4607,4948
4455,1999
1656,348
2120,1685
221,901
898,1710
4615,2031
677,409
1070,4888
768,3973
2688,3599
3686,3022
1058,1165
1827,4982
2902,1899
4404,2983
2868,4885
2328,2187
1916,362
4505,837
362,4517
3020,497
4354,1169
3221,1566
3375,598
4892,898
595,125
844,1821
4897,416
950,1933
4210,4604
1733,3318
4381,1440
4515,995
3205,1005
2101,3544
1885,1594
1981,1539
2372,2173
853,1491
4119,3555
270,4235
2233,3480
907,4740
569,3120
4585,2046
4415,3791
2875,1833
708,1559
526,1834
2640,3534
1408,2190
4461,2107
692,2784
1611,1407
1659,2460
556,1498
1988,382
4262,3473
2974,1697
597,3902
53,3604
2100,1373
921,733
562,2996
4373,3670
4858,2726
1152,4670
585,2116
4964,3896
4825,2366
1114,2875
4347,3994
3163,828
3408,475
1886,391
3246,3926
4017,3225
598,2059
3633,2393
3302,1287
112,4841
2196,3430
3810,3361
2518,4190
2087,4238
467,3973
2604,4261
961,107
2980,1051
4075,376
3684,25
1366,1134
875,2395
4895,2002
2347,2561
1130,1318
1189,3906
2147,1294
3047,65
3504,1262
3949,3678
3791,3635
4586,1978
804,2315
2245,1620
181,4532
2033,1553
367,723
2043,3126
4662,687
2777,3286
2311,2259
3319,1193
115,2384
1642,4587
76,1870
3004,273
4905,1975
2309,124
1556,4854
1310,2551
1539,1476
1656,2079
3525,759
2569,2943
1180,2559
3245,280
1965,4814
4427,638
2501,2862
3302,4165
3429,4826
956,4523
4205,2790
4656,3106
3408,3575
2023,1300
1343,372
4467,1764
3639,2047
4282,4166
484,1832
387,2899
356,1150
2353,1254
457,26
1828,3725
2043,1702
490,3578
4215,3417
2683,3582
2458,756
1913,1020
1056,2442
4628,4508
4245,4467
1535,4018
2079,3663
1250,2867
2345,2819
4505,4278
2708,1476
3990,1990
3288,2716
2669,3031
4621,4084
2828,1759
4285,3458
4279,2475
2555,829
2914,4010
4228,1620
665,648
1251,2510
2525,3478
1933,812
2958,4348
180,364
2789,3382
494,3928
3357,452
2717,4491
2553,2689
4806,147
2530,4731
3422,2480
1481,4809
4902,2835
4068,3072
95,2549
3812,260
2888,3436
3242,2669
4332,2782
3352,2243
3708,2247
2700,4003
1823,3368
4706,1849
4192,3334
2712,1330
675,934
3776,1489
497,4648
3620,1048
3939,4366
4632,1726
3802,1114
1352,2985
1333,1676
2647,895
4498,2625
1821,716
4685,3591
3740,883
4147,4810
1996,3985
2875,4060
4891,480
4574,3351
3048,1
4927,851
4341,292
2232,4941
2701,2746
3737,3781
623,4789
4293,3306
4098,3763
3673,4149
3519,4798
882,412
2438,4369
1769,1359
63,4816
2643,3849
3181,1216
4451,2096
1217,209
2967,202
2359,3943
4933,3585
793,447
3414,1605
3472,2845
739,2134
1380,3396
456,1845
3247,4948
472,2548
1119,1958
2509,3720
4295,615
188,3883
2503,837
3162,3350
2571,3365
3879,3684
1172,915
3263,1758
3753,2663
3623,904
4138,526
2222,2501
2869,2299
2556,3792
1995,1469
846,4349
789,2191
4947,1851
1933,1057
3890,1017
1634,843
465,2181
2531,1360
492,2233
4649,1635
1174,3254
2520,786
4079,2725
4043,3566
618,1829
1656,4926
2053,3561
98,3654
760,858
3186,230
3907,4798
2423,1803
3998,1866
2032,358
2952,1770
4578,1021
4307,1949
1412,4774
4437,925
3636,2414
1906,4278
1795,1294
3549,460
1502,1916
1128,2591
1842,3591
4012,1350
1013,657
2990,2508
3234,2113
2017,1739
4620,3038
3233,1273
1433,2675
3906,4949
1066,3135
4644,4745
3207,4572
2254,1714
3743,2523
2546,3740
56,822
4431,3489
3316,236
4576,1614
1352,2604
3164,3459
4743,1246
2908,4579
775,3927
1443,2433
1145,2317
2716,3137
316,2380
366,538
870,2321
4481,1464
2382,1115
4585,681
2330,318
4089,395
30,1568
574,1313
4071,832
3443,1966
3521,4346
4939,2394
232,1599
658,1219
4064,3492
696,2075
1685,1734
2637,1468
3051,1659
1228,1835
2075,129
3992,2244
4018,1960
2111,4288
670,945
4602,127
1383,3581
2036,2198
4264,516
3037,31
4898,4273
4566,4471
1372,1953
4807,3628
597,2905
4726,211
3197,1634
1814,1910
4279,1525
199,3554
4144,4366
3849,376
212,4920
4843,3919
4140,3702
4624,1160
1364,4485
1536,679
241,2002
246,2863
2395,3567
3804,1986
3693,4067
4176,4776
3911,4587
2335,744
2726,2962
1403,1039
584,3236
1501,3245
1507,1789
591,1648
3739,602
204,2642
4254,3849
1408,2085
1804,2425
3244,1963
1262,4695
619,2948
398,2714
1485,2865
388,942
4564,4125
2214,393
4702,4082
413,4769
1119,4329
1042,4121
4196,4711
1055,3528
1980,2916
4676,42
1855,3988
4120,493
1538,3920
4409,4705
2001,2909
1359,3956
804,4536
758,2055
4654,3049
3223,4580
4210,2204
3313,1102
2870,3754
4473,477
4661,4267
625,1219
3169,162
3386,4050
2152,1287
750,551
1256,4257
2402,2703
287,949
2550,3836
1492,2931
3812,2336
2656,4647
1577,3265
754,3734
2493,1953
1107,4178
1543,4597
1871,2441
2968,4718
3540,2555
2001,3842
4421,1973
2046,4378
2022,2134
3019,47
862,4975
3137,2229
2994,2506
3533,3604
1453,116
742,625
1051,2029
1281,3229
3543,701
3602,2762
4555,1509
2828,2648
2804,2718
473,155
2861,3638
2572,1767
3520,1773
2078,3530
4220,2006
3352,442
771,1765
4805,176
1693,2439
4119,287
255,1718
3372,4161
2437,980
1770,1678
4587,3826
2187,4266
2732,193
572,2349
4585,4112
4264,2510
2323,2253
4679,3651
1127,2235
2816,4066
1230,3605
3575,1798
889,2167
3089,2662
565,2558
4843,1273
3442,1251
2001,1057
2933,4900
678,1110
3327,3107
1285,3342
3639,1542
2728,1444
1419,4980
1146,3201
372,3091
4848,1419
1668,728
4003,3573
2097,1101
3454,3226
3088,1068
75,727
2894,3407
454,1775
3230,3673
2395,2933
4022,4701
604,3968
2790,4629
1341,4131
845,4384
680,3456
3410,1592
4455,2955
2544,412
521,1005
3145,4340
3876,3009
1606,4657
2121,1740
1683,567
3429,2474
730,4764
1954,1351
411,4806
3800,1276
749,3749
328,146
3712,2100
1161,1296
1375,3884
3018,409
338,2592
4792,953
4248,2988
2784,2308
3448,2347
1155,3582
2159,3886
2154,2416
1512,164
4633,4358
1398,4020
4718,757
1037,4285
835,2644
3519,4471
4513,2565
4246,1656
201,1822
4377,300
907,893
2240,4270
2838,704
2369,1273
1335,3645
3363,4375
1701,2695
111,48
948,2206
3384,1581
1472,1035
1853,1096
2782,1399
2841,3472
3511,759
3701,181
2299,1263
3223,2452
3287,727
878,2106
4798,3327
4378,4679
5,434
432,2040
283,1420
2508,1764
3271,4968
3037,1411
4398,3561
2620,2789
3380,1270
4931,3288
1570,2843
1233,2743
1875,49
4352,1486
254,2815
2800,3981
677,2713
4009,2161
1081,924
4270,3228
1334,2472
4925,4800
333,1730
652,612
4441,3253
3597,4721
1063,2857
1686,971
3004,4519
2623,3404
1138,3097
3716,1114
4030,204
2897,375
1082,1797
2848,1925
2207,3313
1386,3573
1781,1578
4850,976
4231,4455
529,4932
4039,4124
2942,3668
2741,4521
3545,3299
1652,2314
2483,4375
1078,3652
4006,2534
3317,4350
4086,1729
2756,158
4914,4300
3241,1967
1135,624
2145,2620
2507,4457
428,4933
1428,3086
1474,568
950,4002
3899,638
3876,1331
1241,221
285,2691
4273,910
2581,635
1193,4870
3421,3429
2558,2250
1793,340
580,1192
2847,4790
807,4908
912,2017
1905,1385
51,2154
1008,4318
1326,2106
542,4481
4481,828
2796,4887
1253,4480
4579,3762
2717,22
1773,1135
2907,3347
4550,4271
2770,1352
884,877
1457,2665
1564,4723
3935,4117
3253,2644
2841,383
4783,929
256,2411
315,1822
1536,756
4608,4279
3652,2855
2521,3817
1229,2495
4351,4053
1584,1697
4629,1120
4038,4246
3605,1972
2167,1480
1419,3725
609,4755
3344,2504
4055,41
375,716
3892,3443
349,83
457,16
3412,3970
140,3821
1936,425
419,4009
1240,4615
1012,4569
3406,4353
1206,1373
4879,1620
3990,4927
3900,175
1645,1540
404,316
1897,2612
3431,3080
2025,3535
4927,1042
2988,2119
224,1439
3777,921
3072,2795
2233,1879
1470,397
743,676
1585,2322
4203,4534
4067,3186
2921,2614
1696,702
3807,4940
972,515
2952,3741
3965,3034
2259,2686
1946,4801
3497,3414
876,3202
3295,4868
2306,1005
2568,160
4989,3538
3179,2191
3936,4720
3171,1643
4803,3002
2177,1072
3551,944
3856,1195
1514,4638
2126,3473
2552,4913
1250,3569
1229,694
4649,3212
1403,1014
1143,2650
1509,4643
1809,812
3468,3786
1633,531
4068,2490
3460,3451
3454,4688
2707,12
194,192
2475,3125
4348,3943
2053,4477
1171,3349
1851,708
2860,3022
497,3560
4599,1364
2597,182
3954,4805
4369,2850
4183,1210
3783,4548
2917,4472
3494,809
2424,3278
565,1379
2998,933
2140,4035
2371,1417
3190,2236
156,1262
2514,1662
4343,1632
2461,4233
2974,2521
2029,1586
2753,4861
4488,1928
1644,1612
2140,2999
265,4023
4265,4838
4015,1136
2502,2578
3569,3548
4422,1765
690,2347
3181,3535
3865,3831
1630,2222
2231,3612
2031,1408
982,3505
4011,1896
3405,2638
3223,4119
1650,620
2692,3313
68,2579
1117,147
2069,788
1441,3057
4542,3261
2544,2125
4715,2421
2146,284
4306,4162
2475,1171
2075,4241
4064,1880
474,1010
4411,318
3670,1272
4013,2062
3667,484
3543,2208
3573,394
4551,4784
3965,3218
634,3296
469,2696
2097,2549
2060,3919
1628,263
1490,3640
4683,1950
3059,774
1452,3413
4615,719
346,4893
1711,3218
4249,509
4232,2058
4064,4110
1973,4393
1489,1492
3955,1622
4789,4367
2316,3504
3235,807
4377,3999
923,552
2237,2051
3079,732
2600,805
159,4119
4152,3509
79,3696
2472,392
2456,416
3339,3240
4515,3859
3586,921
1668,4360
3584,1647
1680,4685
2188,646
3542,1538
1327,67
4306,20
3732,4439
149,4537
573,1107
1788,3815
4149,2225
2521,1275
470,352
4121,2180
1948,1275
1178,3654
765,925
4985,15
4,1279
1787,1996
4342,4976
1513,3116
350,1038
3374,2313
666,2653
2354,4709
1138,2836
2620,2140
2571,1085
4051,4528
2114,2131
4222,2808
2893,1869
3116,110
2173,2891
3358,555
309,4112
3703,2014
3958,3630
4832,2718
2802,717
3551,4278
1193,1757
73,713
1538,4695
2782,4349
4265,2027
1307,2451
4050,4438
715,1065
1364,1357
2649,1091
782,4961
2031,3084
3036,476
279,2558
4587,4256
979,1976
589,1811
892,3462
2363,4386
1751,4954
2328,910
933,4784
86,2156
2367,2612
3155,4369
881,3716
4894,1913
777,2298
3259,3839
1545,3389
1462,155
3378,3389
2817,2837
3327,3100
3605,4786
3123,694
2162,1153
3722,4040
3118,2580
3100,2680
3108,1667
4967,2623
2210,177
2027,620
1420,717
3121,4371
3920,3119
4431,3858
2181,2349
750,1861
1192,3851
3920,2555
709,2660
3490,4185
1278,3475
4869,3819
1794,553
4349,1745
1656,1759
2865,2811
1303,1309
4946,4707
516,4604
960,4376
1536,2780
744,1203
3597,2056
896,1224
4555,694
1793,2771
2782,120
4389,3742
2105,1307
88,3942
4942,1471
4740,4685
3682,4090
947,4287
4402,18
741,2204
905,1961
109,2645
3796,4621
3117,4436
1763,692
1018,3957
3947,655
2436,72
4085,3007
1732,4019
978,3804
4503,2257
2276,2050
1897,1201
4623,343
3417,1980
4430,1236
4455,1490
4146,2239
668,599
2469,3317
1995,38
4999,452
129,17
3856,3228
3894,3977
3496,2527
4520,3322
2468,1691
3463,4184
862,994
4181,951
3564,3982
3852,232
1297,4496
2022,2380
3208,3137
4201,541
840,3857
3001,428
1821,2479
4486,898
3221,2013
373,4177
4255,586
3550,1974
4359,3743
1142,1552
3476,4447
4654,815
1749,562
4486,2677
2606,399
1965,21
3305,2892
967,1919
199,4738
2893,4011
2483,1271
3701,737
3014,3909
2482,2295
2540,4127
1736,1195
300,2929
3105,1198
2912,1727
2267,4600
4943,1307
2483,4214
4295,3731
4433,506
3653,4024
2843,3370
3309,3667
2969,200
3428,191
3586,1116
2209,502
144,2124
2416,3701
3088,4076
2910,684
636,120
1462,246
2387,687
1805,4174
3907,3245
1653,412
2456,4360
962,3662
3797,400
802,902
3273,3859
3890,4991
1043,92
4233,1343
4372,585
4528,3841
4358,480
379,741
854,4327
344,1511
746,4164
4893,4265
3738,3713
3538,3216
4608,1026
3887,4006
1738,269
4723,573
1441,2855
775,3758
3836,794
1906,84
2918,2271
3325,2629
3260,2131
1644,2149
1228,4643
4334,440
4176,4309
3478,962
2652,4059
2209,4830
2766,2267
2646,790
2307,3532
2227,4912
2625,151
2994,83
2902,3134
3695,2402
4543,733
4920,2510
805,664
1945,700
60,1151
4330,852
3026,2733
92,3421
882,1975
4119,1244
3568,984
4130,1209
3836,3805
4593,3147
3581,169
3388,3808
2315,736
1312,671
683,1416
3385,630
829,3746
3641,1924
2393,4843
4052,1981
4295,2490
4425,2033
2823,4943
1923,1582
2500,3446
4415,4989
2206,295
2403,1729
3453,417
1231,1311
3284,4525
1543,645
2005,1057
882,353
4940,2209
4255,4921
3281,2781
3228,3176
485,3703
3645,4542
2864,1064
1252,1072
694,3641
900,3987
1427,3233
1416,1354
531,370
4905,2135
1088,4694
3692,820
58,3961
3648,3336
4911,2037
2471,2966
4048,359
3383,941
2782,1132
1106,3928
3442,4359
340,4475
3100,98
4299,1247
4651,3676
922,1218
1289,4645
96,1182
4615,1989
2983,3009
1165,1207
1370,338
3465,1803
4713,2849
4794,2472
823,3033
2542,3314
4544,4262
2608,792
2947,1956
4494,1386
2829,4888
2027,2444
636,3947
1737,2446
2109,3118
1358,340
1153,555
3630,632
3153,3797
4610,4593
4518,2862
4114,4343
94,4834
3006,4798
2808,3765
751,534
413,69
1360,2988
690,4245
1044,1670
1652,1921
788,1589
4033,1503
1702,1149
4240,1659
4798,4730
3727,4226
4984,2450
3664,4596
2119,1822
4178,2680
1268,204
1275,1914
2965,1122
