IdR,IdP
2870,2187
214,1219
2679,4894
574,1659
3505,3144
4121,2467
2032,331
134,3020
1810,2653
247,2750
3021,363
1613,3777
1338,2926
2274,4534
1772,3189
3260,2363
4996,642
2596,4298
3011,4634
445,396
4374,4419
4169,254
3467,868
476,1356
4557,4163
3224,3838
4686,3099
1664,235
4423,4805
2654,3575
176,495
2249,2355
3216,2212
2342,1349
621,1503
1251,2112
1415,3278
870,4765
3810,3221
428,2169
3811,3480
2960,317
4704,3579
4392,3110
4455,3496
3370,2497
1429,960
2266,1947
2682,3589
4747,2851
2071,1100
794,556
3151,2004
105,1825
3399,4591
1384,1868
1944,3627
1069,4811
2548,3953
3327,3668
4859,578
1559,3579
2390,3140
2098,105
2318,4642
1983,4276
1985,3414
1204,3135
70,2175
2988,2904
4219,4050
1715,3640
1394,1738
2092,1847
4493,3750
4339,125
325,2668
4588,4828
3160,3003
2990,1662
3535,2910
4399,3449
2696,2857
3286,1494
1347,3682
2502,434
4931,2447
1309,4381
1928,416
3984,3757
1663,2434
3965,2443
4209,3800
1696,3353
799,4399
4740,3730
2854,2422
1682,3560
77,4413
2654,3498
4393,3603
4127,1549
2709,1453
929,4596
227,752
2161,562
4724,74
3283,2199
3027,1757
48,2152
2611,2261
934,3197
2969,3856
414,2671
1810,1234
133,3954
4778,2097
1287,2982
317,4229
1310,2170
3296,3480
3653,3846
4794,488
494,2433
2491,1291
3392,1976
2755,4837
1563,4326
587,1332
2327,172
3464,4476
3582,1483
1139,3130
592,899
3456,4935
4531,1232
1790,679
1568,1183
1925,2820
960,2195
1535,627
265,3163
665,305
3836,3579
1914,4068
347,2228
4808,3154
4975,4696
1620,2800
1770,1863
319,2169
4976,551
433,3332
2074,2260
2140,94
3948,2635
4762,1146
1196,4464
3177,3789
2846,1653
3762,2422
3988,3572
3544,3688
1347,887
3727,2047
2200,2684
3586,4830
1734,915
2759,1382
2359,1079
3713,4408
4554,2948
1561,2188
4288,3887
3211,2708
920,1007
2353,3301
4657,4618
3520,2177
2346,4386
4386,82
4933,4599
4666,4425
4581,114
1195,3749
320,1779
2535,2842
1532,3347
4300,346
1054,618
4690,4922
216,3441
1236,4526
4717,3612
836,4230
3517,4007
2607,381
3328,3168
1939,3586
4641,1102
824,289
1180,1497
666,2464
2603,3118
888,565
2568,3285
4235,3472
698,2911
834,994
4525,4759
4776,3079
255,3975
3399,2127
4612,1389
1396,1812
2273,3163
1034,4192
2675,3876
4131,1975
639,2090
2212,2926
155,4877
2032,4831
1858,4883
2843,2965
1760,731
920,1018
4172,4121
1371,3328
2354,2942
1096,986
1203,1837
1005,1074
3408,4105
913,2606
4775,619
1427,2245
4845,1602
1363,386
3372,4447
2269,2539
2935,2015
1594,4541
1269,999
3589,629
1943,1309
2891,4169
4232,1718
2010,2452
913,471
2949,4560
3431,4887
3996,2502
3567,1090
1807,569
1682,1654
1927,979
516,1792
1905,2983
4046,3032
4504,469
2208,3851
2046,4727
2359,2077
4846,4229
2274,981
525,4708
4771,3927
1647,124
1630,4477
1243,765
3624,3055
495,2873
1441,3424
1084,1518
4136,1915
4784,1348
1179,1105
3907,3613
3697,2422
549,4102
4319,1167
3681,3921
168,1952
3982,2658
3489,92
1911,860
1627,1
4752,2602
842,3271
1043,692
4062,520
74,1496
1448,434
2024,3144
3104,1996
1778,714
3385,3132
2227,4947
2539,2873
2545,4755
262,1003
719,4905
773,3242
4515,612
388,3394
1368,4808
1185,4223
4990,2885
837,629
2329,3951
14,4298
3133,2952
49,77
1205,4225
4587,4164
3499,1223
1829,327
1084,822
1242,1431
4536,1334
1604,1003
79,2672
2305,4875
561,411
4973,4837
317,966
3807,4480
4737,1643
1068,3413
884,510
1959,4617
4959,2519
4663,3848
1803,4031
3708,776
558,1180
773,4072
3712,3682
3530,1304
1790,4064
2979,2267
1324,887
2766,3302
4594,1002
4769,1962
2214,1930
4711,1438
4331,1200
1999,2785
1636,128
3818,2268
2272,550
299,3015
1956,3552
1880,304
3412,3590
959,4710
4252,3886
3550,3395
3444,2837
3096,421
3136,4949
2752,3915
4090,530
4252,1070
1809,1783
996,3620
623,4307
3624,3579
1999,3758
109,3995
1611,2216
3110,4434
3001,1891
584,3678
3853,4708
1293,3421
4781,2894
3849,3293
4124,2892
1418,1700
4155,4956
3293,3479
3023,3004
4793,591
2603,3887
2350,4006
4871,2283
4836,4198
678,3916
1108,3675
983,3146
3481,3596
4661,4096
1535,817
3175,1934
793,4863
3101,1348
3654,3348
4806,3296
585,1403
1628,2172
1569,2830
1856,1151
2125,1214
1471,3867
4823,2382
3897,1820
1941,1923
341,2592
359,4757
1427,1845
4429,3470
3859,4693
921,1943
852,2178
2853,4362
3235,394
3751,833
3507,376
4563,455
4760,2896
2801,1655
223,3290
3222,2262
1839,4082
163,1637
2900,4219
2835,2754
1587,4756
3686,4057
4072,1915
1785,3950
3427,4892
3500,3833
568,3068
3434,1710
4375,217
2462,3232
4677,3349
4026,2514
614,168
152,4434
3260,1230
764,4962
1999,777
3109,2806
2651,1365
4068,3591
263,712
3087,247
3277,3329
2179,3928
1685,685
1369,727
169,274
1915,789
2599,3896
3662,2333
262,636
1211,2190
4133,4383
2722,3143
1233,3567
2307,2833
3417,203
2909,3854
4942,3166
2041,1866
2208,638
2701,297
417,4855
162,4399
2975,1409
4392,2628
1567,1424
442,2671
149,3103
4501,4212
3884,4207
3332,1439
459,4050
1480,1343
2286,3673
3413,3847
1198,3382
1740,4462
1358,2216
2782,2986
4113,4310
3024,2040
4545,1229
3881,374
2289,3153
685,2301
4612,1166
743,4460
270,1196
361,3286
2852,2348
392,123
1275,2415
2340,3115
1852,4070
3064,1186
3176,1307
1933,2124
686,2081
820,2095
2522,63
3108,124
984,2420
1863,4633
3307,1435
773,4052
4997,1274
2261,4358
2097,2032
2902,1161
3126,4352
3949,965
2361,4265
345,4732
513,456
3149,3732
2991,117
1831,2157
3915,1681
4270,4893
566,4901
1730,2132
3015,1617
1371,4158
1503,390
73,3022
2249,3805
1817,231
1972,2788
3191,4853
44,3568
3524,1784
2365,4584
3163,1996
2735,4464
2213,977
3535,4848
4712,673
1823,2284
3015,3847
1201,1491
4454,3077
4318,3843
135,1437
3346,4032
2294,2117
4340,2448
4386,2570
3538,3888
804,744
1510,4053
2369,872
2388,4700
178,121
3478,191
516,1837
1886,2961
722,1725
3940,2180
1270,3150
1571,4178
1323,4225
266,5
4849,4029
4135,882
2679,2561
2918,4100
3141,1461
1788,1633
340,2384
4751,86
2934,2544
3693,830
3454,3546
2393,2449
151,8
2532,877
1820,3076
4671,182
3131,590
2387,4499
3489,1904
4246,4515
2780,2664
2316,3856
4303,1646
3667,3862
4074,2433
711,3123
1581,2072
585,1384
1661,1102
3727,4423
1928,4946
2878,3799
2955,3681
1005,45
4624,3049
758,2238
3796,60
2460,3587
4562,3946
3724,187
4729,4452
3852,2450
2736,231
2464,2775
632,2537
4496,4040
4482,4748
935,4445
1704,4898
3199,2087
2085,4368
3404,1204
3359,2870
510,2864
1160,4831
3092,593
3177,2569
1494,3102
1519,4575
4854,2709
3574,333
2143,1617
3201,3097
2485,3692
1347,2170
1650,3281
3249,3410
784,4513
1485,3875
3194,4481
797,2746
1852,167
2241,3110
938,57
4822,1684
2162,1078
3461,2636
1413,2387
577,1021
3027,3341
3883,4426
256,4140
4925,1297
3787,1434
2993,4403
1473,3211
449,3978
653,2220
1333,2708
1765,4575
439,4568
3382,2618
4756,3762
3234,1630
1528,2174
3670,795
1271,794
4315,4168
4433,1135
2319,1871
3237,933
3130,3838
2738,391
769,259
2372,2363
1190,4094
34,2218
4283,4032
4930,371
4663,4120
2738,4408
1643,2067
4135,4537
2443,480
773,4118
3693,873
4623,2397
1175,1325
1989,205
517,2557
1048,1925
27,4650
4537,332
3476,1947
4631,390
1903,4555
2897,1858
759,1884
3132,1382
1634,4375
3789,738
482,1080
4126,1666
729,723
379,4747
2149,1914
4507,1624
2630,3796
1615,3501
3080,4425
1742,249
2040,3982
1995,113
1390,1583
3161,56
4358,2743
4745,4216
679,2994
4723,4313
3711,2840
530,4654
3681,284
2904,4544
4198,4295
1816,1412
3841,4952
1917,2903
2326,4207
1892,3678
4337,2268
4516,3137
3747,2458
3790,2434
1547,4244
3182,1954
2413,2045
4082,4466
4935,451
1898,764
4567,1387
3583,1857
4227,2235
2059,1312
1734,1199
1219,4210
2168,1740
2960,511
4962,4580
1684,13
3004,2356
798,3562
4767,2724
1908,2614
3221,4843
2136,3055
808,3554
2919,1726
2999,690
4149,652
2060,2198
1404,1553
4329,3342
2580,204
642,2478
4127,2703
4172,1442
2848,4583
883,2177
4072,3926
3175,2663
2060,4413
1082,1076
155,2727
363,3323
2347,2556
2608,3532
3853,3333
4414,1703
867,4332
261,1841
2127,3987
4753,4648
771,1793
1667,346
496,94
4052,251
858,3764
2583,2041
3836,780
2052,3972
2325,4037
4760,2118
1999,3730
11,2982
3420,1534
1247,1527
1725,3447
1994,2123
1523,1250
1528,516
401,1133
3689,4371
1529,2302
2056,700
3411,2475
2885,3625
4537,4200
175,806
184,1448
4285,2366
2992,750
2353,3344
4355,3011
3575,4273
998,388
3722,217
5000,4895
4467,2458
4439,613
4343,838
603,3
584,4126
4118,3990
4131,3213
4747,3470
2132,1826
241,811
2950,4930
2104,3912
3951,3486
1083,3699
578,948
2671,1271
3677,2088
4555,2429
2585,4055
1515,558
1923,4672
2624,807
1565,1374
1566,2120
4114,2376
1208,4571
3473,2808
864,903
2319,4917
205,140
4000,1578
27,4040
4553,3898
2720,1383
622,817
3092,1224
2394,2304
2603,3344
2157,240
3524,268
2912,4697
4211,3258
3498,1716
1908,3318
4898,1227
457,3617
1780,3870
2079,2259
856,472
13,2007
2653,2724
1255,4830
655,3231
722,3299
1365,3580
1416,2018
506,4103
3924,3729
3117,328
1515,544
4869,4542
3983,2721
2368,4087
1473,4128
2616,3194
1253,4345
1134,2616
187,3360
2800,3742
2583,1827
182,1777
297,2124
1672,2490
3288,3813
1222,4695
841,3397
1533,4486
3177,1588
2722,1267
6,1925
2687,4878
1005,4114
676,2491
994,3652
2163,1686
203,126
602,2348
4393,3259
1848,1743
496,4851
3063,1024
3362,1432
4340,4
3447,4520
1873,3756
493,2771
1616,4453
2064,2050
3522,193
3206,1230
2335,2894
4174,1228
3375,4272
2045,1744
4868,3883
3847,1530
710,432
3261,767
868,4487
828,2455
2743,1406
4119,3598
4077,1561
2691,2899
2038,902
684,4999
1500,4326
3268,410
1665,2668
2971,3209
991,713
3187,57
344,3777
4676,2762
3816,2502
1755,55
3243,1323
487,458
1371,899
3022,1308
1901,1338
2104,4732
364,533
1992,407
3268,2258
2852,3246
1049,2210
4165,3859
500,2565
3755,2794
3917,4152
3683,238
1426,4344
651,2429
2367,4485
2913,1997
4686,4070
2964,3177
3190,4641
220,4331
4699,1659
2016,741
3437,4073
4864,1900
3022,1303
3984,71
60,3128
73,3722
3663,3530
3495,3826
4094,1796
2721,521
4447,3401
525,4770
3468,3032
1914,1830
1065,2681
3013,3114
2156,2524
3827,2754
2528,3359
2900,3653
2736,4541
993,3755
3255,361
2176,1929
2046,4299
4486,4486
3742,4839
832,289
1586,418
801,2603
4145,4172
2637,4181
3831,3008
4637,2540
1908,3794
571,3848
1590,1074
3301,240
4540,3114
1730,1466
4775,4965
331,842
4028,349
4888,2293
1473,1970
4259,4100
2425,588
1079,12
3673,2538
1515,4961
1846,3274
3645,1458
291,1124
2765,66
3271,3150
1590,1518
1348,3176
3623,1657
3107,860
3413,1657
4809,3095
287,3692
1333,270
2851,874
971,387
21,1086
2602,3630
1819,2583
234,2418
323,1600
826,2558
4942,4674
760,277
693,2622
287,2863
304,1860
1259,2512
2677,4416
1200,715
4015,2954
485,1846
384,661
1564,2482
1458,4560
4235,1349
4244,1478
214,2798
1452,3463
2732,4517
2215,3168
1152,764
3672,1854
4836,692
1216,1399
3075,2234
3461,4284
106,434
837,2399
88,1292
2550,3679
1344,1755
2195,3141
1598,1250
2795,222
870,4503
1608,1778
3984,1471
2874,3536
592,2965
171,916
3376,489
76,3995
4549,3248
483,4946
3534,4649
1090,781
3398,1864
2081,4222
316,2686
3343,2630
4944,2868
3075,4171
2737,1197
330,730
4153,3247
2449,2272
2379,2613
1146,1863
1237,2070
4501,4817
173,4128
4665,653
3332,3941
1317,3268
3679,1715
1383,4391
4524,1490
3804,1898
2102,3576
2734,2887
1739,4417
514,4544
2517,3747
1532,10
2419,137
3196,380
3959,2738
1963,147
4729,3880
237,1965
3008,3381
2909,4252
3616,489
1961,2474
4503,1555
1950,2629
1189,93
2759,4409
4357,3231
1630,4968
2682,199
4292,1013
3097,832
331,3487
4077,1836
4918,2137
4355,1723
2698,708
2903,916
2606,3215
1010,1674
1770,375
4117,4629
1636,3165
2960,4770
2279,1372
2099,3394
4209,337
2979,4195
3808,3560
4058,4524
3819,1487
1090,631
1981,3275
3389,1650
2916,4344
2335,1519
457,4331
2095,63
4529,4309
358,4993
259,142
2732,502
1884,4658
3508,2549
595,2703
3874,4018
2151,2756
1729,880
513,2740
4154,4496
3318,1412
1644,3062
3004,2576
596,1533
4924,4290
2965,1241
4821,168
1725,3901
4881,2583
369,3831
4867,509
2030,2183
194,2901
877,295
1119,145
1108,2882
3967,4385
4741,3059
2785,43
4136,1572
4246,7
4667,3846
3622,1542
1121,1939
2152,3760
4960,4782
4632,835
1692,2108
2476,4957
2439,962
2249,4242
3783,4346
3922,2775
4885,1042
42,2143
3335,1573
2051,3319
2203,1079
4857,2866
1070,3856
941,1412
4959,1444
1423,4092
134,180
1122,4238
4334,3665
1927,2579
1703,2062
506,4858
1680,659
4773,3881
2021,1079
2708,1512
4346,394
4992,4961
2235,4481
4409,4273
394,4544
4282,2872
2472,1917
1822,2501
4308,3048
3820,1949
3948,1290
1301,4539
1345,3839
703,1617
478,4985
3677,2272
1379,1661
1168,1093
1544,1529
4758,3452
4907,455
3869,2719
4261,2029
2457,146
1971,3539
506,1708
1795,4196
4358,79
4148,1454
1621,4697
4287,4806
2700,3996
1504,3206
2055,1741
94,1323
4261,2757
3792,2105
3186,3672
2078,2391
428,3246
4541,4097
3507,61
2909,3220
4042,3965
3526,3484
1521,2997
3751,1210
4690,3415
3659,946
3154,3307
4206,3744
965,1777
2124,2338
3132,1724
547,1783
4144,3777
244,2962
4464,357
658,595
3355,4415
1957,3578
3609,4597
1110,448
4597,55
4756,4798
1129,4388
998,4407
2860,1406
838,4746
461,4020
1281,751
2915,3306
4288,974
4056,4247
696,4769
4016,363
2050,3917
1529,1528
3262,790
3417,2733
3831,3028
2005,3075
844,4277
4090,705
293,2353
2339,4773
3628,4970
1763,2299
3355,87
2282,4525
2345,1204
2545,3714
3415,4211
4940,844
3302,559
2232,3337
4183,327
785,1450
3383,3570
1584,3948
465,3247
2203,3737
2570,1643
3807,3293
2604,2454
1563,4071
4721,1613
3473,1454
335,4617
1665,3714
391,476
3835,2728
2651,2047
723,4018
4611,4583
2024,4423
1248,4810
4900,1552
1272,1105
3331,3723
1679,105
1529,1821
377,2158
1293,3296
1793,2334
125,1523
1484,1750
4513,1677
4797,277
2081,85
3045,2738
1272,1266
2603,773
135,1904
213,3105
3972,1880
579,3607
887,182
1277,1100
3961,1186
397,542
4062,1346
1175,2152
1472,1530
2998,2122
4051,1361
20,1108
1425,2039
1414,2638
3731,3244
1954,3490
2426,1904
2001,4703
1058,262
3632,4410
866,1141
600,2385
3069,346
4691,24
796,4190
4567,4112
368,2497
3301,2421
560,520
1988,1212
581,30
1499,4624
4594,1629
147,2299
4505,3231
3175,4869
2075,1327
3687,3520
3295,2529
1611,1954
1920,3485
626,2307
3441,4048
828,69
2722,1216
1220,4508
656,1189
442,671
3327,3371
1266,2004
1803,294
3658,4539
3314,4244
614,2758
4518,4552
3812,4855
1014,4796
4105,1445
282,231
2711,2387
1873,4474
3201,3164
3380,4801
3436,2405
4382,4107
4346,4186
853,568
1878,141
3768,2481
1209,4808
2822,3618
3570,4367
3243,4279
2649,1751
4928,1079
2583,2816
4347,2153
1240,673
3765,4769
2573,2474
4089,4593
2006,2079
1192,761
2887,3270
2155,3264
1009,146
639,1041
1886,305
738,1117
303,2843
1487,3728
3105,2002
3822,4705
2029,323
4357,3682
2854,1973
2617,1272
108,4968
2347,2014
935,1796
2990,1690
1401,584
1337,299
1867,66
4733,4628
2611,4169
3285,690
4871,3352
1795,3653
2192,782
4672,1009
2251,249
3108,1410
968,4535
4086,4401
3414,2103
1979,3881
2543,1884
2694,2704
4566,2395
4882,3636
1152,138
2949,2006
2382,4887
974,962
2485,3821
4311,285
4826,3295
620,2184
3680,4639
3751,3987
4515,1173
12,4493
3523,4717
3337,3261
1707,2447
1116,2535
1775,356
4311,4078
2772,2681
975,4685
527,3884
762,4090
483,2912
2262,3654
4387,2251
1799,2871
2213,389
658,1870
1066,4397
1112,2113
3859,2552
4268,2671
337,2413
2223,524
2615,3310
930,648
4355,3071
1737,789
4612,1845
4348,2702
2173,727
4734,3914
104,2287
1120,620
4989,1371
3798,2624
734,4593
3021,1031
3520,3624
3788,2221
1000,4121
3765,921
1846,1476
2997,1552
355,470
479,1587
3039,2969
4726,283
2771,3613
2011,3546
3373,305
3000,4213
21,646
2284,1506
916,3592
3926,1194
1810,3021
4345,1025
1688,3960
2753,2220
483,2406
1447,2574
2366,3605
3893,3170
3477,2372
2704,3882
4990,3782
841,2088
3548,2156
988,1713
4385,4746
2286,4722
4003,3264
628,2622
2642,3561
4470,2121
1893,825
1341,1094
3877,1913
269,3983
3519,3508
295,3611
4663,4392
2063,4903
2724,383
68,3640
918,484
499,6
366,1973
4791,1597
3127,440
1386,418
64,3356
3705,152
2155,2872
2337,466
1735,1611
1408,386
2660,4609
908,402
3295,3941
1008,475
1962,2925
3209,2818
3487,1595
4569,1193
3254,2358
2958,2415
2998,1110
3177,89
3740,1755
920,3391
2161,2501
4459,832
3322,3343
2389,1183
2174,2953
4996,61
2420,4240
2147,3036
4993,4753
3495,1807
3879,3100
4326,2804
1187,3875
1888,1227
2016,481
1377,296
3819,2054
2105,2848
867,1369
4614,4131
4581,4270
1537,1571
4966,1825
871,1488
224,3970
1682,201
4873,615
2974,4067
2513,2332
2288,2854
4983,1827
4875,1248
2963,2250
127,241
1603,383
4778,4974
1036,2385
3194,2102
3134,4126
4310,4821
161,4960
4744,18
1431,2500
4646,4106
1568,1901
2272,4957
1713,1387
1573,1018
1380,3801
3858,3381
1448,1170
165,4465
1281,2935
2724,1435
2663,152
4714,4369
2721,1526
4146,969
309,4235
43,4081
2239,1390
1249,1277
2845,4264
504,865
4411,3801
2670,3401
2437,3581
2959,3247
4752,3644
59,501
3157,4622
4632,2260
4710,3325
3465,3341
1839,2249
969,555
3283,1505
4906,4696
1228,4368
426,4588
3006,1584
4736,2259
2741,4609
1360,2332
104,237
4219,2280
1338,1963
2246,119
3469,4654
1640,1370
165,4004
4070,2889
687,4714
3921,4783
2351,659
3277,2146
1660,4747
2141,2881
1213,3222
3937,863
569,1333
1958,2399
3233,2647
136,1925
818,4972
1065,2428
1369,968
1775,3378
3358,1295
190,206
4458,2679
3453,4039
719,66
2452,2633
3787,4853
4946,1226
1576,4598
1633,4460
3915,4465
3095,727
2561,2456
1290,1104
724,3850
4882,2886
187,2871
2252,3642
4701,2883
2241,4201
1012,3525
2776,748
4601,3421
4358,372
4840,4576
118,1117
4606,3258
458,681
2763,1234
1813,2439
3735,4837
1301,449
4272,1628
302,4395
4341,4379
715,1390
2681,4959
1636,3437
4927,185
3319,97
4039,1022
908,2854
1266,1676
3529,4339
1935,703
3126,279
2924,2780
4029,2061
3242,4631
3417,1529
763,242
2409,201
3787,4146
3389,222
4947,3167
771,3641
4118,1615
264,1053
3535,429
3383,2177
4256,2511
3524,466
4680,1234
1203,4255
2356,1533
1685,2520
1259,987
4516,936
3574,3692
1390,818
4433,1872
1396,2992
1423,1111
4920,733
2498,4789
4394,1375
4496,2083
2305,1022
2917,878
619,2215
2291,1728
4573,4829
3605,4358
3241,3915
1864,3839
3962,251
369,2260
582,3
418,4078
4247,2797
4915,1968
2484,1540
712,1041
3827,2454
2928,3533
2442,3004
2300,4013
4950,4438
4593,115
2798,3501
337,4678
35,1734
3045,4374
3841,2994
2193,2431
2384,2616
695,2925
518,671
2522,3634
2570,2922
4199,4552
3727,2384
3007,3539
2691,293
209,10
4440,1784
4945,3174
1140,4719
2955,290
3437,833
3604,1210
2173,4787
2189,3155
3274,1599
4539,3226
2365,1979
941,1222
4985,3854
2519,549
3910,4284
2711,4832
1866,2019
2127,1501
4073,4978
923,2527
2799,4111
290,3157
4030,2543
4072,1526
4843,3733
2349,207
4416,3212
2009,3276
3652,32
3273,4710
686,4727
5,3267
4557,3905
3480,3004
4591,3910
1245,1114
2897,2648
4030,4767
2227,3996
3601,3432
3050,333
3512,29
4864,1093
166,4625
4597,3121
4968,2712
1665,2459
2285,2534
4969,2595
2511,2838
1836,3920
705,403
3025,4153
1255,2334
2515,4176
3843,3355
4416,281
2908,3506
2013,4601
4613,4228
3736,1770
2367,2874
2985,3213
2243,2125
4399,3166
730,2435
2571,1137
1532,496
3038,1789
1986,3363
2464,2189
511,2000
1163,2974
3046,3281
2366,2789
2789,64
3379,2084
4127,3428
662,4242
392,1637
2301,599
1645,2877
638,2486
879,4670
3533,3090
686,676
3992,1576
473,816
4270,1806
4065,4188
1,1483
4211,4257
398,3416
4209,1290
2914,1216
4072,446
1702,3329
2301,625
3271,4441
845,4333
3188,1601
3303,4964
4348,1439
1659,3261
3395,1383
4861,4088
4710,4881
2874,149
545,1078
3864,4226
1143,575
4607,3540
3424,487
3183,4198
4054,1631
1783,3340
4840,3947
4507,1011
3860,319
2890,3490
2073,566
1842,1898
1300,947
1532,1961
4082,1394
2515,452
810,1918
3511,412
4834,3024
3836,1199
1103,2815
640,1559
3905,647
4577,1117
2530,3534
3822,3054
2087,293
2088,4029
4545,30
2463,1122
1857,3940
710,3912
1797,4211
2379,2037
4058,4383
1714,1195
3718,30
529,2149
4099,1283
2420,3692
1453,1294
206,1775
4312,3493
1718,1730
2833,1761
3467,698
602,800
1542,1985
3846,1881
1614,467
2081,4141
3226,3926
3727,4784
3520,775
1653,603
1806,1102
3456,3171
1205,198
246,37
1480,1324
3588,531
1051,4427
4910,2754
3631,2975
1689,2847
1760,2657
2882,2623
1024,4419
3931,185
4785,786
4671,1065
791,4882
2677,1609
1224,4507
2025,2974
2864,2917
4006,596
1118,3979
85,3136
1276,1922
836,2303
3268,2117
1900,802
1046,1347
1585,3287
2016,3299
4832,909
3485,47
918,4795
64,4986
2505,896
4949,577
2202,686
3224,1751
2782,959
2234,2046
2125,4048
1620,4528
138,1454
446,4613
3594,3887
2488,519
4153,4160
2813,925
771,4427
3985,220
912,156
4592,2557
3849,206
911,1025
4041,794
2020,2083
1650,1119
3135,3612
38,652
2159,3951
1278,3923
4314,9
1060,3078
2539,2339
3841,4575
2642,4621
2430,3269
3000,2159
3070,905
3003,4244
3590,3201
3074,2725
1845,42
993,2620
2580,3549
3405,2024
977,1749
2076,1977
221,1893
378,3041
2521,2789
3054,6
1099,2321
1531,553
2101,4337
841,3166
2710,2400
3328,4330
3820,3112
2285,4360
1430,699
2334,1596
1659,3553
4282,1792
2538,944
1893,2780
444,1789
1179,2700
1428,1409
738,3013
3960,4296
4040,4133
3475,1044
1873,443
3252,3573
1843,2488
4491,3316
1197,3815
4772,1492
2330,481
4041,1589
1052,2420
2973,1059
2451,1885
4176,1711
2843,1615
4462,4057
4454,3236
2104,3010
2343,3914
4309,1514
2475,2308
1952,2003
2579,3570
3321,2346
3419,4816
248,3814
4967,2944
4426,2250
4223,650
1401,364
4207,3562
622,2487
3851,2967
2161,3131
1803,4310
4975,3890
1088,4418
3719,1
3183,3549
1178,4993
1593,1216
540,1431
323,4270
4822,3042
2833,3439
2263,4686
3219,2039
4889,3696
3527,2396
1896,4024
4830,3072
1428,2099
1894,3215
2419,1052
759,3532
453,3620
2175,4117
3680,4884
4777,1672
2239,1432
405,3907
2265,3151
4688,4204
450,1872
3778,230
4522,1938
4407,2000
4695,621
1435,2997
4852,3703
3460,3500
1180,3756
2923,1190
2183,987
2065,1656
3334,4390
4768,3342
672,2497
4103,3050
549,704
4256,339
935,1027
4457,238
