IdG,IdR
248,1994
249,14
250,2661
251,1828
252,4459
253,963
254,2490
255,1107
256,3763
257,4481
258,4257
259,1901
260,4347
261,4686
262,4972
263,1881
264,4404
265,154
266,4726
267,345
268,2169
269,4319
270,4699
271,734
272,1203
273,2771
274,1344
275,4725
276,4659
277,3167
278,1188
279,2629
280,618
281,4210
282,681
283,2366
284,1942
285,1215
286,151
287,1800
288,3298
289,1190
290,4642
291,368
292,4973
293,4871
294,1481
295,4160
296,3600
297,2007
298,3474
299,127
300,2395
301,1966
302,5
303,2964
304,4480
305,4395
306,4542
307,1531
308,3858
309,4118
310,3480
311,2385
312,3023
313,2995
314,3453
315,2346
316,1254
317,3277
318,3697
319,4989
320,1235
321,1126
322,1592
323,307
324,26
325,4825
326,1454
327,569
328,4854
329,682
330,1237
331,1703
332,1729
333,3733
334,1261
335,3317
336,2395
337,4659
338,3327
339,2601
340,1663
341,149
342,3490
343,3465
344,4610
345,3897
346,4447
347,861
348,2032
349,3239
350,535
351,4953
352,1803
353,2170
354,3751
355,4088
356,442
357,578
358,2606
359,4440
360,1472
361,2589
362,962
363,4288
364,4779
365,2525
366,108
367,3445
368,1291
369,1837
370,1261
371,3119
372,4344
373,4453
374,2281
375,4391
376,2994
377,2503
378,1439
379,3944
380,253
381,3386
382,3677
383,4583
384,2172
385,4021
386,1749
387,2731
388,134
389,3902
390,2394
391,116
392,2598
393,308
394,1231
395,1088
396,4820
397,3506
398,2925
399,2665
400,486
401,4885
402,155
403,2664
404,2926
405,3693
406,2509
407,4371
408,3680
409,2721
410,4466
411,2268
412,2174
413,1873
414,3226
415,1065
416,2690
417,2287
418,2556
419,40
420,1791
421,182
422,4193
423,4519
424,2617
425,2138
426,2706
427,2566
428,4873
429,1344
430,4666
431,4462
432,1641
433,2288
434,1116
435,4517
436,3605
437,2780
438,4601
439,4400
440,2579
441,2811
442,109
443,2532
444,1514
445,4842
446,3558
447,4574
448,3580
449,1177
450,3424
451,4072
452,2095
453,4752
454,1328
455,2514
456,4297
457,4266
458,2289
459,2672
460,873
461,381
462,1896
463,38
464,1130
465,2011
466,3716
467,2855
468,2421
469,244
470,4958
471,2782
472,2159
473,2744
474,844
475,1291
476,1284
477,2420
478,4995
479,4931
480,862
481,1875
482,669
483,1437
484,1901
485,2188
486,2519
487,4984
488,4296
489,667
490,911
491,2914
492,2745
493,719
494,1918
495,4428
496,102
497,4833
498,3429
499,2573
500,4440
501,3845
502,3570
503,1388
504,4297
505,4129
506,3946
507,797
508,3518
509,4877
510,3666
511,4022
512,2646
513,1489
514,628
515,2299
516,1072
517,2305
518,843
519,386
520,901
521,2066
522,3473
523,2378
524,4584
525,2021
526,1945
527,2809
528,2941
529,3913
530,2932
531,1301
532,4837
533,1601
534,3668
535,3456
536,1809
537,3931
538,471
539,4096
540,2816
541,189
542,3068
543,2808
544,61
545,1300
546,1661
547,769
548,3875
549,2761
550,4291
551,4406
552,410
553,2108
554,1973
555,1979
556,2823
557,4921
558,3727
559,3471
560,1784
561,460
562,4460
563,2216
564,3051
565,3064
566,2586
567,2425
568,1294
569,4607
570,2164
571,2020
572,4662
573,4454
574,1303
575,2146
576,805
577,1938
578,2489
579,4088
580,3942
581,4864
582,3209
583,4542
584,322
585,173
586,1934
587,4249
588,4279
589,1428
590,3263
591,3909
592,1044
593,4576
594,3462
595,2834
596,1890
597,171
598,4080
599,3336
600,3105
601,3206
602,2639
603,4898
604,2040
605,3025
606,2047
607,3930
608,4337
609,4399
610,2460
611,194
612,1463
613,1265
614,542
615,786
616,4168
617,3412
618,4551
619,3067
620,1337
621,2594
622,2267
623,60
624,4169
625,1400
626,2635
627,3114
628,2467
629,4877
630,608
631,3475
632,3405
633,249
634,2068
635,2202
636,2771
637,375
638,254
639,3335
640,3552
641,594
642,4029
643,4399
644,399
645,2921
646,1476
647,1825
648,1450
649,925
650,123
651,4882
652,4656
653,1288
654,4460
655,3917
656,1197
657,4156
658,2371
659,1859
660,1479
661,1842
662,1179
663,3098
664,4126
665,2842
666,159
667,1321
668,4704
669,1209
670,1980
671,1971
672,852
673,3308
674,3457
675,3692
676,2530
677,2183
678,778
679,2472
680,1358
681,571
682,1175
683,2207
684,2337
685,3537
686,2878
687,1945
688,494
689,2138
690,4271
691,3269
692,2236
693,3143
694,2001
695,3359
696,1422
697,1912
698,1875
699,1961
700,3848
701,438
702,1500
703,317
704,4388
705,737
706,1916
707,4174
708,3325
709,4418
710,282
711,877
712,2131
713,3091
714,1305
715,2131
716,3578
717,4694
718,3920
719,2087
720,173
721,1886
722,859
723,4860
724,2194
725,3007
726,2397
727,1317
728,4591
729,388
730,256
731,546
732,3988
733,1299
734,519
735,3994
736,2686
737,3637
738,507
739,3022
740,1625
741,920
742,1771
743,1213
744,1302
745,129
746,1164
747,225
748,3104
749,3863
750,2145
751,3591
752,3216
753,2122
754,4554
755,1630
756,3432
757,4399
758,3165
759,889
760,253
761,1248
762,2054
763,2729
764,4357
765,3600
766,3263
767,28
768,4969
769,276
770,2090
771,882
772,420
773,3246
774,2377
775,954
776,2182
777,2708
778,3691
779,1212
780,4123
781,1901
782,4203
783,1508
784,4995
785,2670
786,3521
787,2808
788,118
789,3938
790,2048
791,1670
792,2502
793,440
794,4987
795,357
796,4049
797,2103
798,1904
799,1323
800,3051
801,3506
802,1775
803,3686
804,2399
805,2052
806,213
807,2220
808,3490
809,3168
810,2986
811,3504
812,2974
813,4485
814,4613
815,4178
816,419
817,2910
818,1999
819,2641
820,3461
821,3341
822,2811
823,2006
824,3697
825,1217
826,430
827,1254
828,1830
829,2821
830,2523
831,1305
832,4525
833,1956
834,4565
835,3384
836,50
837,347
838,516
839,1140
840,1351
841,2133
842,3665
843,1579
844,1003
845,4146
846,1605
847,1702
848,2112
849,2154
850,1087
851,2306
852,4282
853,3335
854,1329
855,4780
856,395
857,3804
858,4131
859,4133
860,2043
861,4907
862,386
863,1623
864,1673
865,2626
866,2430
867,1176
868,3755
869,3127
870,255
871,3529
872,3788
873,2670
874,2228
875,4836
876,732
877,4482
878,570
879,4381
880,1603
881,4089
882,1302
883,279
884,4177
885,2133
886,2257
887,4365
888,3998
889,1026
890,2122
891,226
892,3958
893,4026
894,2016
895,2730
896,4117
897,3782
898,1220
899,187
900,71
901,1337
902,3427
903,4536
904,2729
905,2716
906,2011
907,4279
908,997
909,223
910,3174
911,1817
912,4127
913,1315
914,3120
915,1839
916,709
917,2144
918,160
919,2909
920,2922
921,739
922,1606
923,3287
924,1016
925,3974
926,2332
927,60
928,4227
929,56
930,2611
931,2205
932,1560
933,4884
934,3181
935,2094
936,3948
937,1686
938,960
939,4134
940,4206
941,1068
942,4610
943,668
944,4740
945,705
946,2531
947,462
948,2731
949,970
950,4912
951,1902
952,4711
953,3034
954,4748
955,2074
956,3516
957,4824
958,2320
959,4360
960,1760
961,3397
962,2089
963,1744
964,4210
965,23
966,3705
967,1980
968,3602
969,3720
970,392
971,3257
972,3284
973,4322
974,1077
975,68
976,1574
977,2282
978,1385
979,3769
980,3701
981,4415
982,3759
983,267
984,4914
985,1273
986,3253
987,2177
988,1700
989,2688
990,4015
991,4146
992,1086
993,977
994,3226
995,4506
996,3556
997,2028
998,988
999,2025
1000,2827
1001,4679
1002,3252
1003,457
1004,1350
1005,2065
1006,4415
1007,1051
1008,1627
1009,238
1010,4994
1011,4652
1012,1351
1013,464
1014,3180
1015,3844
1016,1002
1017,3944
1018,1112
1019,3445
1020,1601
1021,4151
1022,3434
1023,3514
1024,1063
1025,4696
1026,1638
1027,2466
1028,3169
1029,2464
1030,4045
1031,42
1032,4079
1033,1669
1034,4140
1035,3715
1036,638
1037,4446
1038,2546
1039,4022
1040,281
1041,1977
1042,3146
1043,473
1044,248
1045,3101
1046,3227
1047,4460
1048,561
1049,886
1050,3039
1051,4918
1052,1590
1053,1865
1054,874
1055,3976
1056,1244
1057,4745
1058,4083
1059,3708
1060,3935
1061,297
1062,2127
1063,1977
1064,1554
1065,14
1066,2481
1067,4001
1068,3652
1069,4980
1070,2625
1071,649
1072,565
1073,1315
1074,753
1075,425
1076,4404
1077,109
1078,397
1079,2811
1080,816
1081,1814
1082,4959
1083,271
1084,4199
1085,1581
1086,3350
1087,4142
1088,1048
1089,2104
1090,3769
1091,4160
1092,1643
1093,2226
1094,1616
1095,2339
1096,2147
1097,1994
1098,1704
1099,4573
1100,4027
1101,1165
1102,4695
1103,2611
1104,3549
1105,2829
1106,1725
1107,2489
1108,2750
1109,4937
1110,4944
1111,3563
1112,2072
1113,2098
1114,2074
1115,1097
1116,2576
1117,2851
1118,3305
1119,4426
1120,3718
1121,4823
1122,674
1123,3186
1124,69
1125,4121
1126,3900
1127,4712
1128,2247
1129,3644
1130,1477
1131,2049
1132,1567
1133,1573
1134,2334
1135,2273
1136,194
1137,338
1138,1381
1139,4841
1140,2644
1141,1784
1142,2330
1143,1344
1144,3523
1145,2622
1146,4736
1147,3171
1148,1912
1149,4652
1150,3797
1151,4952
1152,1414
1153,3310
1154,2189
1155,1729
1156,4722
1157,3777
1158,2039
1159,3939
1160,3151
1161,1809
1162,4313
1163,2064
1164,2046
1165,1728
1166,4922
1167,364
1168,2903
1169,3492
1170,1099
1171,4533
1172,2082
1173,2202
1174,796
1175,127
1176,4013
1177,2391
1178,3255
1179,4403
1180,433
1181,869
1182,1207
1183,3467
1184,4893
1185,1977
1186,575
1187,3204
1188,2517
1189,4378
1190,2607
1191,3522
1192,2261
1193,1802
1194,3937
1195,2488
1196,2296
1197,4900
1198,3216
1199,1881
1200,3208
1201,949
1202,2785
1203,908
1204,3624
1205,3196
1206,137
1207,1528
1208,1614
1209,540
1210,1228
1211,3452
1212,742
1213,3429
1214,4759
1215,2642
1216,679
1217,3862
1218,761
1219,2153
1220,2087
1221,1762
1222,711
1223,2417
1224,3650
1225,3851
1226,12
1227,2869
1228,4784
1229,4885
1230,4604
1231,2974
1232,245
1233,350
1234,2211
1235,3001
1236,840
1237,3153
1238,3581
1239,4242
1240,4864
1241,4331
1242,3256
1243,1780
1244,3949
1245,2006
1246,1074
1247,1930
1248,1285
1249,4608
1250,3195
1251,3127
1252,3515
1253,2591
1254,3911
1255,134
1256,1726
1257,2077
1258,1352
1259,3307
1260,1933
1261,2632
1262,4438
1263,520
1264,3997
1265,342
1266,3594
1267,3547
1268,902
1269,3463
1270,1706
1271,4202
1272,2271
1273,3877
1274,3825
1275,45
1276,3213
1277,4603
1278,3794
1279,414
1280,3305
1281,2226
1282,4880
1283,2024
1284,1361
1285,4685
1286,1489
1287,1298
1288,1604
1289,2621
1290,4283
1291,3666
1292,136
1293,3202
1294,4708
1295,4176
1296,922
1297,1099
1298,1076
1299,3394
1300,4795
1301,4059
1302,2629
1303,2009
1304,2594
1305,2368
1306,4939
1307,1819
1308,1916
1309,85
1310,1539
1311,3297
1312,3010
1313,3013
1314,3272
1315,2718
1316,4405
1317,1476
1318,969
1319,4966
1320,779
1321,3485
1322,2861
1323,4430
1324,2569
1325,2177
1326,2051
1327,2228
1328,4207
1329,2443
1330,2468
1331,3262
1332,4532
1333,2971
1334,1617
1335,2631
1336,3435
1337,1214
1338,2265
1339,3386
1340,4820
1341,4564
1342,251
1343,4622
1344,1337
1345,3295
1346,4729
1347,166
1348,3853
1349,1550
1350,2223
1351,4063
1352,1324
1353,4567
1354,775
1355,3487
1356,1789
1357,4014
1358,2936
1359,70
1360,2876
1361,366
1362,2650
1363,4383
1364,3809
1365,4292
1366,1388
1367,1289
1368,3912
1369,2887
1370,1105
1371,419
1372,4616
1373,3965
1374,4568
1375,475
1376,1075
1377,4867
1378,1039
1379,1316
1380,456
1381,1408
1382,357
1383,2554
1384,135
1385,4798
1386,4492
1387,4596
1388,4065
1389,3042
1390,4249
1391,3041
1392,1026
1393,758
1394,3621
1395,1989
1396,4728
1397,5000
1398,2345
1399,4950
1400,1448
1401,3502
1402,3168
1403,3533
1404,4398
1405,1176
1406,2922
1407,171
1408,2830
1409,586
1410,2081
1411,2064
1412,1364
1413,3623
1414,1619
1415,283
1416,4948
1417,398
1418,3374
1419,2078
1420,2976
1421,839
1422,3705
1423,931
1424,565
1425,2127
1426,3117
1427,2546
1428,4285
1429,1107
1430,1762
1431,437
1432,1018
1433,3787
1434,3362
1435,876
1436,1096
1437,3562
1438,91
1439,1896
1440,1188
1441,2061
1442,2912
1443,241
1444,3783
1445,392
1446,1313
1447,4451
1448,4721
1449,2355
1450,3857
1451,1346
1452,460
1453,4561
1454,949
1455,3307
1456,1244
1457,414
1458,1306
1459,4837
1460,928
1461,669
1462,3273
1463,217
1464,2851
1465,1107
1466,765
1467,1122
1468,1444
1469,2518
1470,4708
1471,2893
1472,4333
1473,596
1474,4478
1475,3132
1476,450
1477,415
1478,2118
1479,4611
1480,4759
1481,4935
1482,2178
1483,2153
1484,673
1485,39
1486,1862
1487,4790
1488,4063
1489,2852
1490,1915
1491,4407
1492,2648
1493,1303
1494,4291
1495,2900
1496,1369
1497,4313
1498,3413
1499,4549
1500,3552
1501,808
1502,3130
1503,2473
1504,3103
1505,3647
1506,2301
1507,892
1508,3953
1509,3
1510,4425
1511,1697
1512,1884
1513,2886
1514,1395
1515,1383
1516,2777
1517,1063
1518,1132
1519,2674
1520,106
1521,996
1522,2854
1523,2012
1524,3360
1525,736
1526,1284
1527,2708
1528,1726
1529,505
1530,2340
1531,3192
1532,697
1533,2599
1534,692
1535,4572
1536,4683
1537,4714
1538,248
1539,3638
1540,1813
1541,291
1542,1860
1543,1573
1544,3025
1545,1326
1546,1286
1547,3301
1548,723
1549,2803
1550,4571
1551,1584
1552,78
1553,3759
1554,1586
1555,3329
1556,930
1557,1125
1558,2919
1559,1145
1560,3293
1561,3199
1562,1495
1563,4371
1564,4849
1565,1847
1566,4120
1567,2670
1568,3639
1569,655
1570,3215
1571,4288
1572,812
1573,2019
1574,2705
1575,3782
1576,1816
1577,1691
1578,1654
1579,4740
1580,3192
1581,1782
1582,1519
1583,2569
1584,60
1585,807
1586,1822
1587,3006
1588,393
1589,3994
1590,2967
1591,349
1592,4645
1593,155
1594,2191
1595,3227
1596,3035
1597,2187
1598,219
1599,2628
1600,3096
1601,1240
1602,3856
1603,814
1604,3358
1605,4236
1606,4387
1607,3376
1608,237
1609,346
1610,2458
1611,4097
1612,2596
1613,3795
1614,3019
1615,1448
1616,1771
1617,365
1618,2507
1619,956
1620,4792
1621,3926
1622,4840
1623,3826
1624,1567
1625,32
1626,2379
1627,616
1628,4883
1629,1301
1630,1889
1631,461
1632,132
1633,4472
1634,4294
1635,1675
1636,3728
1637,678
1638,386
1639,1239
1640,2069
1641,1049
1642,40
1643,2566
1644,1214
1645,646
1646,2537
1647,618
1648,608
1649,163
1650,1595
1651,261
1652,4286
1653,1325
1654,4274
1655,1328
1656,1759
1657,2969
1658,4653
1659,1646
1660,4979
1661,4732
1662,960
1663,2610
1664,238
1665,4577
1666,1001
1667,3138
1668,677
1669,488
1670,4796
1671,780
1672,4126
1673,3517
1674,2686
1675,2889
1676,695
1677,3837
1678,2262
1679,1674
1680,2627
1681,1274
1682,3235
1683,2247
1684,3077
1685,627
1686,2400
1687,993
1688,4128
1689,1762
1690,4718
1691,526
1692,1938
1693,3534
1694,911
1695,4073
1696,238
1697,1575
1698,4656
1699,2249
1700,2807
1701,2898
1702,3130
1703,3062
1704,2592
1705,1613
1706,18
1707,3689
1708,1585
1709,1805
1710,1752
1711,4669
1712,3943
1713,2331
1714,2816
1715,2471
1716,1785
1717,765
1718,2553
1719,4809
1720,2504
1721,473
1722,3289
1723,4912
1724,2782
1725,3406
1726,1242
1727,1275
1728,2496
1729,2582
1730,1745
1731,3915
1732,2219
1733,141
1734,4813
1735,1319
1736,3423
1737,69
1738,665
1739,3408
1740,3620
1741,3526
1742,2251
1743,94
1744,1107
1745,2420
1746,3693
1747,4110
1748,1409
1749,2376
1750,1856
1751,1228
1752,1309
1753,654
1754,2299
1755,1905
1756,1016
1757,1857
1758,1001
1759,1702
1760,1215
1761,690
1762,1887
1763,3393
1764,878
1765,2115
1766,3738
1767,1593
1768,10
1769,3824
1770,1808
1771,1912
1772,4629
1773,891
1774,3311
1775,1315
1776,4332
1777,3942
1778,23
1779,3100
1780,3577
1781,1180
1782,3544
1783,3845
1784,1479
1785,197
1786,4175
1787,2095
1788,1891
1789,4152
1790,4856
1791,4766
1792,2816
1793,3552
1794,4143
1795,3533
1796,4985
1797,720
1798,4751
1799,1401
1800,562
1801,1412
1802,3361
1803,1140
1804,4153
1805,4921
1806,3160
1807,176
1808,4012
1809,562
1810,4654
1811,783
1812,1050
1813,3020
1814,2823
1815,2866
1816,2366
1817,215
1818,4063
1819,949
1820,1407
1821,2994
1822,3795
1823,1290
1824,2465
1825,3071
1826,2774
1827,4346
1828,3603
1829,3807
1830,1513
1831,1373
1832,4257
1833,2969
1834,608
1835,1460
1836,4593
1837,3339
1838,3287
1839,2477
1840,1950
1841,4544
1842,2739
1843,56
1844,1076
1845,1401
1846,1538
1847,1479
1848,2433
1849,4438
1850,2486
1851,3999
1852,200
1853,1654
1854,1450
1855,2446
1856,2704
1857,3610
1858,1469
1859,17
1860,4209
1861,1826
1862,3131
1863,4577
1864,437
1865,2127
1866,1528
1867,2855
1868,1043
1869,4129
1870,2826
1871,1154
1872,941
1873,1851
1874,2165
1875,1021
1876,2726
1877,2791
1878,1787
1879,1105
1880,218
1881,2823
1882,4191
1883,293
1884,4829
1885,3258
1886,2863
1887,2340
1888,2932
1889,140
1890,4133
1891,4772
1892,4409
1893,1243
1894,3837
1895,4110
1896,602
1897,3401
1898,2255
1899,3426
1900,1211
1901,2900
1902,3477
1903,4837
1904,249
1905,3038
1906,2539
1907,363
1908,146
1909,1505
1910,512
1911,245
1912,4577
1913,3774
1914,498
1915,4378
1916,1813
1917,3996
1918,695
1919,2255
1920,3389
1921,4981
1922,2556
1923,341
1924,2902
1925,44
1926,280
1927,2760
1928,4472
1929,1150
1930,733
1931,4631
1932,949
1933,13
1934,947
1935,2387
1936,1671
1937,1797
1938,4026
1939,505
1940,822
1941,337
1942,2790
1943,1140
1944,3765
1945,1884
1946,3362
1947,4284
1948,2345
1949,3469
1950,4491
1951,1986
1952,2195
1953,2955
1954,2808
1955,4796
1956,3836
1957,4792
1958,4351
1959,3298
1960,1467
1961,2584
1962,1008
1963,4904
1964,4070
1965,365
1966,1572
1967,2226
1968,1009
1969,4259
1970,4790
1971,4616
1972,581
1973,1950
1974,1587
1975,4111
1976,1201
1977,3691
1978,2359
1979,1393
1980,2771
1981,569
1982,203
1983,2813
1984,4201
1985,1896
1986,4472
1987,1475
1988,826
1989,4719
1990,4946
1991,3319
1992,3186
1993,2251
1994,2037
1995,4530
1996,2360
1997,4913
1998,2854
1999,812
2000,717
2001,438
2002,1633
2003,2070
2004,488
2005,2561
2006,2320
2007,2845
2008,2785
2009,4330
2010,3975
2011,867
2012,2899
2013,2156
2014,2388
2015,4489
2016,3666
2017,2714
2018,4026
2019,4509
2020,888
2021,3241
2022,351
2023,4011
2024,165
2025,1754
2026,1608
2027,2573
2028,1283
2029,22
2030,4194
2031,4737
2032,4465
2033,2522
2034,533
2035,856
2036,3168
2037,1480
2038,3490
2039,3967
2040,1692
2041,1775
2042,3832
2043,4835
2044,1930
2045,1540
2046,132
2047,4204
2048,2800
2049,2223
2050,3473
2051,3971
2052,3747
2053,502
2054,6
2055,3472
2056,1739
2057,4692
2058,2001
2059,4067
2060,2604
2061,1450
2062,3043
2063,3379
2064,1661
2065,289
2066,1198
2067,2243
2068,108
2069,2761
2070,68
2071,4225
2072,4523
2073,908
2074,4122
2075,1001
2076,4763
2077,4205
2078,4149
2079,862
2080,3254
2081,1623
2082,2963
2083,1693
2084,891
2085,3350
2086,3561
2087,1095
2088,1363
2089,1751
2090,1115
2091,595
2092,72
2093,876
2094,2126
2095,3628
2096,1948
2097,2454
2098,1053
2099,244
2100,1643
2101,82
2102,1296
2103,4387
2104,2246
2105,1686
2106,1821
2107,4581
2108,1719
2109,216
2110,1632
2111,2479
2112,2771
2113,3574
2114,4686
2115,3796
2116,270
2117,4289
2118,4797
2119,3661
2120,4134
2121,2176
2122,2137
2123,2900
2124,62
2125,3275
2126,3664
2127,2460
2128,4899
2129,2303
2130,2465
2131,247
2132,3601
2133,1049
2134,1456
2135,2838
2136,3820
2137,692
2138,4322
2139,1102
2140,4759
2141,3437
2142,1976
2143,1832
2144,4119
2145,493
2146,4188
2147,1824
2148,1386
2149,3567
2150,2968
2151,2120
2152,1605
2153,4254
2154,4249
2155,1559
2156,768
2157,1307
2158,2345
2159,2661
2160,3402
2161,4730
2162,3906
2163,1089
2164,1552
2165,1047
2166,390
2167,648
2168,400
2169,1378
2170,172
2171,1453
2172,3372
2173,648
2174,4770
2175,107
2176,1335
2177,952
2178,4312
2179,2518
2180,2321
2181,3687
2182,2199
2183,4408
2184,947
2185,1269
2186,490
2187,233
2188,1812
2189,2627
2190,2570
2191,4969
2192,583
2193,3760
2194,367
2195,3001
2196,2262
2197,4437
2198,4622
2199,3850
2200,2956
2201,2149
2202,928
2203,2161
2204,2618
2205,490
2206,1239
2207,2703
2208,1314
2209,791
2210,1900
2211,3503
2212,2334
2213,3415
2214,2656
2215,2908
2216,4765
2217,3068
2218,2936
2219,2094
2220,4193
2221,4901
2222,2596
2223,3608
2224,331
2225,2325
2226,4738
2227,2607
2228,4288
2229,2699
2230,3318
2231,646
2232,245
2233,3921
2234,2821
2235,2820
2236,3203
2237,4095
2238,557
2239,2912
2240,2101
2241,2861
2242,4586
2243,2595
2244,3980
2245,3943
2246,1400
2247,4987
2248,2477
2249,2540
2250,3076
2251,2481
2252,4878
2253,1813
2254,438
2255,4052
2256,203
2257,4186
2258,2275
2259,3306
2260,1917
2261,3899
2262,1571
2263,2254
2264,2289
2265,3765
2266,395
2267,3173
2268,3531
2269,2439
2270,2940
2271,282
2272,2273
2273,2868
2274,2631
2275,1012
2276,1363
2277,3022
2278,3721
2279,1772
2280,475
2281,4799
2282,63
2283,1227
2284,4167
2285,1701
2286,584
2287,3278
2288,1204
2289,3381
2290,4105
2291,2095
2292,2240
2293,3907
2294,1870
2295,4064
2296,4700
2297,1095
2298,1429
2299,3588
2300,3212
2301,300
2302,4315
2303,528
2304,2467
2305,3236
2306,1628
2307,453
2308,465
2309,4214
2310,2675
2311,3088
2312,1602
2313,1383
2314,3493
2315,1510
2316,3758
2317,412
2318,3673
2319,4227
2320,3002
2321,2888
2322,1754
2323,3105
2324,2682
2325,1054
2326,1143
2327,2339
2328,275
2329,284
2330,2153
2331,2019
2332,872
2333,1202
2334,1393
2335,3501
2336,197
2337,2397
2338,4869
2339,4839
2340,3337
2341,4479
2342,772
2343,1893
2344,4638
2345,665
2346,1171
2347,1622
2348,4177
2349,4165
2350,1004
2351,1837
2352,3429
2353,1369
2354,4770
2355,877
2356,1004
2357,1199
2358,1620
2359,3546
2360,3292
2361,19
2362,747
2363,1288
2364,1844
2365,2434
2366,1800
2367,4699
2368,4342
2369,1730
2370,1313
2371,4695
2372,327
2373,188
2374,2466
2375,3555
2376,2572
2377,784
2378,3029
2379,501
2380,3432
2381,4705
2382,563
2383,1852
2384,4043
2385,942
2386,341
2387,1252
2388,30
2389,1956
2390,1864
2391,516
2392,4452
2393,4157
2394,2191
2395,1188
2396,351
2397,4114
2398,2928
2399,4709
2400,3020
2401,3475
2402,945
2403,2516
2404,681
2405,4198
2406,3118
2407,543
2408,3394
2409,3234
2410,1458
2411,702
2412,2287
2413,3384
2414,917
2415,2728
2416,2575
2417,710
2418,2179
2419,1148
2420,1310
2421,2935
2422,2868
2423,788
2424,1550
2425,3790
2426,1740
2427,2285
2428,4790
2429,590
2430,4449
2431,2246
2432,1638
2433,1452
2434,258
2435,4351
2436,2604
2437,4020
2438,220
2439,2632
2440,475
2441,4594
2442,1520
2443,2149
2444,4585
2445,1920
2446,167
2447,632
2448,1123
2449,1379
2450,1146
2451,2367
2452,1524
2453,2290
2454,272
2455,34
2456,3310
2457,4506
2458,3280
2459,4970
2460,3866
2461,3018
2462,1289
2463,2948
2464,1293
2465,4018
2466,1985
2467,4639
2468,366
2469,1652
2470,1397
2471,4139
2472,4896
2473,4124
2474,4468
2475,255
2476,2708
2477,3784
2478,178
2479,4973
2480,2202
2481,1753
2482,2849
2483,4954
2484,3982
2485,2379
2486,3612
2487,4197
2488,4397
2489,2231
2490,240
2491,166
2492,4545
2493,1806
2494,974
2495,4761
2496,2625
2497,882
2498,1995
2499,579
2500,309
2501,3763
2502,2569
2503,3328
2504,1020
2505,2589
2506,3716
2507,443
2508,4914
2509,4653
2510,1296
2511,2515
2512,4746
2513,4995
2514,730
2515,3190
2516,1298
2517,735
2518,2463
2519,2069
2520,2869
2521,2491
2522,139
2523,2956
2524,4314
2525,4059
2526,1534
2527,2134
2528,2931
2529,1854
2530,1622
2531,1865
2532,3719
2533,749
2534,3882
2535,4768
2536,606
2537,4125
2538,2340
2539,3788
2540,3920
2541,4832
2542,2880
2543,2291
2544,1770
2545,3131
2546,616
2547,1730
2548,416
2549,4405
2550,3978
2551,4397
2552,311
2553,1572
2554,662
2555,1348
2556,2228
2557,625
2558,4955
2559,1388
2560,2382
2561,3615
2562,643
2563,1092
2564,4711
2565,1127
2566,3195
2567,1724
2568,2261
2569,2246
2570,4483
2571,124
2572,3643
2573,3517
2574,2505
2575,2282
2576,630
2577,2119
2578,2655
2579,2225
2580,118
