IdP,IdL
270,648
271,149
272,1005
273,4529
274,4664
275,
276,159
277,1339
278,
279,4798
280,4338
281,2254
282,1712
283,4221
284,
285,4763
286,3135
287,1681
288,167
289,3495
290,2984
291,1635
292,1612
293,2444
294,2708
295,889
296,3122
297,2929
298,26
299,252
300,4257
301,
302,2910
303,
304,4153
305,4200
306,
307,1866
308,3506
309,
310,3796
311,4629
312,1207
313,213
314,944
315,2735
316,1834
317,2569
318,3215
319,4785
320,596
321,
322,4433
323,257
324,4861
325,2831
326,
327,
328,3915
329,1337
330,4784
331,
332,4710
333,4581
334,2525
335,
336,208
337,
338,3324
339,
340,734
341,3573
342,4873
343,2120
344,
345,
346,2939
347,4244
348,
349,896
350,
351,1390
352,567
353,
354,1222
355,
356,3392
357,2463
358,
359,1722
360,3537
361,3353
362,4953
363,1098
364,9
365,2147
366,1596
367,385
368,
369,3865
370,
371,2890
372,
373,4807
374,1264
375,1188
376,4707
377,462
378,4837
379,4336
380,2010
381,
382,2781
383,1598
384,2739
385,3415
386,4781
387,1709
388,1497
389,2378
390,2508
391,62
392,370
393,1693
394,751
395,4575
396,3569
397,
398,2902
399,3638
400,2556
401,3886
402,4277
403,4597
404,
405,1420
406,1486
407,4491
408,763
409,921
410,1544
411,3656
412,4389
413,1741
414,4980
415,
416,460
417,499
418,2538
419,2883
420,67
421,1306
422,
423,4704
424,4282
425,2627
426,2509
427,3877
428,2433
429,1590
430,
431,
432,959
433,2446
434,361
435,
436,4038
437,
438,3619
439,
440,1907
441,4304
442,277
443,865
444,
445,1600
446,2575
447,690
448,2917
449,
450,
451,
452,2668
453,2763
454,399
455,4453
456,4773
457,1984
458,4544
459,4620
460,4029
461,4145
462,1045
463,3075
464,2283
465,3941
466,3906
467,
468,4308
469,1966
470,938
471,3128
472,4124
473,825
474,1653
475,3543
476,
477,871
478,3824
479,
480,
481,3816
482,1068
483,2347
484,4064
485,4005
486,
487,2804
488,4489
489,4113
490,3821
491,
492,3974
493,1671
494,2287
495,4529
496,2542
497,1877
498,
499,3584
500,
501,4819
502,2959
503,2048
504,1668
505,1721
506,1942
507,4069
508,
509,4394
510,4618
511,
512,3814
513,2405
514,1293
515,4666
516,803
517,1482
518,
519,4410
520,
521,3320
522,2088
523,3547
524,4402
525,3833
526,4317
527,1719
528,1436
529,4054
530,40
531,2528
532,3027
533,2158
534,4187
535,4415
536,1317
537,1689
538,624
539,2157
540,2274
541,1398
542,3678
543,689
544,689
545,
546,1398
547,
548,3211
549,2146
550,
551,
552,
553,4274
554,4086
555,1325
556,
557,644
558,3058
559,4283
560,222
561,2972
562,1064
563,3118
564,1349
565,1610
566,1484
567,4092
568,3520
569,
570,742
571,
572,3758
573,4338
574,1252
575,4276
576,1651
577,
578,2715
579,767
580,4640
581,1318
582,
583,2445
584,3464
585,
586,1453
587,2187
588,1106
589,
590,2250
591,2591
592,638
593,2470
594,307
595,
596,1411
597,462
598,1740
599,4706
600,
601,
602,820
603,4070
604,2316
605,1922
606,4256
607,
608,2726
609,2205
610,4890
611,4145
612,9
613,4417
614,
615,3576
616,4423
617,2706
618,840
619,1725
620,1765
621,
622,3068
623,2316
624,1671
625,1339
626,1690
627,3021
628,930
629,4123
630,
631,1066
632,4057
633,2961
634,2778
635,
636,922
637,
638,2477
639,3177
640,4021
641,4998
642,1672
643,1563
644,45
645,4076
646,829
647,1814
648,1757
649,3607
650,2363
651,3373
652,691
653,1906
654,4915
655,1491
656,4002
657,2759
658,4461
659,1597
660,2853
661,1139
662,1957
663,4197
664,3406
665,3204
666,2234
667,4838
668,3182
669,
670,4442
671,4163
672,1790
673,2177
674,1885
675,3192
676,3147
677,
678,2465
679,1211
680,727
681,1382
682,777
683,4114
684,4299
685,4512
686,
687,
688,
689,2913
690,
691,1963
692,
693,1149
694,
695,4470
696,100
697,
698,107
699,3083
700,4261
701,3693
702,1553
703,3067
704,3893
705,2721
706,3663
707,3013
708,1840
709,4119
710,1893
711,382
712,310
713,2907
714,535
715,
716,
717,4783
718,3332
719,
720,985
721,498
722,1748
723,3342
724,1244
725,
726,897
727,113
728,
729,1122
730,2247
731,4269
732,4593
733,3799
734,3177
735,3496
736,
737,2736
738,1269
739,543
740,659
741,3927
742,165
743,149
744,2801
745,2254
746,19
747,3801
748,2069
749,902
750,
751,2390
752,2804
753,
754,
755,531
756,3737
757,2183
758,1726
759,504
760,3837
761,1499
762,351
763,4294
764,3200
765,4425
766,656
767,3673
768,
769,232
770,3990
771,4387
772,3612
773,34
774,2625
775,879
776,35
777,660
778,510
779,
780,10
781,211
782,1407
783,3468
784,717
785,4193
786,598
787,542
788,4781
789,4550
790,2081
791,418
792,2331
793,3326
794,4742
795,
796,2803
797,2093
798,1174
799,
800,
801,2545
802,1039
803,2599
804,1045
805,3953
806,3914
807,3820
808,1998
809,4438
810,850
811,4737
812,
813,3010
814,4516
815,3091
816,
817,1656
818,3054
819,
820,
821,
822,599
823,1006
824,1207
825,3604
826,2509
827,592
828,
829,1667
830,599
831,1889
832,1191
833,4257
834,602
835,1506
836,4689
837,837
838,88
839,2511
840,1136
841,958
842,3890
843,4482
844,4889
845,3929
846,
847,1272
848,3829
849,617
850,
851,568
852,2764
853,4511
854,1319
855,4243
856,2708
857,4232
858,4910
859,1435
860,
861,2973
862,3954
863,3086
864,3046
865,565
866,3095
867,4964
868,2223
869,1679
870,3758
871,4681
872,2538
873,3003
874,2145
875,470
876,4952
877,72
878,
879,2176
880,3394
881,4883
882,4125
883,1652
884,
885,3631
886,453
887,
888,979
889,567
890,2188
891,2819
892,2434
893,4741
894,578
895,
896,764
897,4086
898,1287
899,3569
900,4991
901,
902,2306
903,3689
904,
905,836
906,810
907,1677
908,3324
909,3537
910,1674
911,
912,3829
913,1781
914,1550
915,4236
916,2091
917,1035
918,189
919,4052
920,
921,3246
922,838
923,3695
924,811
925,2382
926,1175
927,996
928,3880
929,3923
930,982
931,
932,86
933,
934,1281
935,2592
936,4345
937,1622
938,2037
939,
940,2590
941,
942,1805
943,1089
944,669
945,3729
946,2913
947,989
948,2225
949,3957
950,1492
951,70
952,439
953,1535
954,3955
955,92
956,3819
957,
958,4157
959,4404
960,2076
961,719
962,430
963,1173
964,2577
965,4568
966,
967,130
968,1844
969,4841
970,422
971,4507
972,737
973,4892
974,3335
975,4563
976,1331
977,3223
978,621
979,143
980,
981,1345
982,2921
983,1952
984,3651
985,4932
986,
987,4739
988,1447
989,816
990,3331
991,3640
992,4719
993,2575
994,4972
995,3292
996,1901
997,933
998,4605
999,2159
1000,814
1001,3019
1002,2636
1003,1982
1004,754
1005,
1006,4167
1007,3052
1008,4292
1009,2952
1010,4652
1011,2363
1012,1028
1013,1437
1014,3818
1015,226
1016,4494
1017,4525
1018,4101
1019,1784
1020,3561
1021,3866
1022,1154
1023,3136
1024,19
1025,4923
1026,4235
1027,
1028,3158
1029,
1030,3287
1031,
1032,
1033,992
1034,3614
1035,3280
1036,4194
1037,590
1038,2616
1039,1145
1040,1686
1041,3210
1042,4287
1043,1054
1044,4342
1045,
1046,3418
1047,2163
1048,
1049,4239
1050,
1051,1378
1052,801
1053,384
1054,4101
1055,4422
1056,3638
1057,
1058,3995
1059,4252
1060,768
1061,3829
1062,4376
1063,128
1064,321
1065,4278
1066,2517
1067,1525
1068,
1069,
1070,437
1071,
1072,2609
1073,
1074,
1075,1412
1076,853
1077,2840
1078,
1079,85
1080,1626
1081,162
1082,1264
1083,1072
1084,4528
1085,55
1086,2607
1087,3429
1088,3009
1089,4642
1090,2208
1091,4239
1092,4176
1093,728
1094,
1095,1412
1096,2265
1097,111
1098,3420
1099,3102
1100,4324
1101,4508
1102,4565
1103,3584
1104,3712
1105,664
1106,3019
1107,
1108,4687
1109,569
1110,
1111,1396
1112,296
1113,3332
1114,
1115,
1116,3435
1117,4046
1118,601
1119,
1120,3813
1121,4616
1122,1555
1123,3432
1124,4495
1125,
1126,336
1127,
1128,2986
1129,2984
1130,3506
1131,93
1132,1317
1133,
1134,650
1135,218
1136,
1137,3268
1138,2711
1139,819
1140,3741
1141,
1142,2014
1143,3686
1144,1243
1145,372
1146,2541
1147,
1148,2436
1149,646
1150,2709
1151,1407
1152,3785
1153,3768
1154,4718
1155,537
1156,2106
1157,1288
1158,3226
1159,4062
1160,2116
1161,4359
1162,1314
1163,2026
1164,2881
1165,2798
1166,603
1167,3660
1168,183
1169,3569
1170,2112
1171,
1172,1824
1173,75
1174,
1175,2569
1176,685
1177,4197
1178,4349
1179,669
1180,4115
1181,2445
1182,4299
1183,837
1184,3930
1185,3636
1186,287
1187,4432
1188,2793
1189,111
1190,2526
1191,2338
1192,626
1193,1692
1194,4560
1195,
1196,3465
1197,3174
1198,3196
1199,3422
1200,2409
1201,
1202,486
1203,853
1204,3439
1205,269
1206,851
1207,
1208,4341
1209,2371
1210,1035
1211,
1212,3443
1213,3018
1214,3177
1215,4999
1216,441
1217,184
1218,3818
1219,4964
1220,4546
1221,4731
1222,4770
1223,403
1224,1456
1225,1960
1226,976
1227,2937
1228,1805
1229,4180
1230,4030
1231,3099
1232,2925
1233,2585
1234,1285
1235,855
1236,1759
1237,2915
1238,2840
1239,2954
1240,4242
1241,1855
1242,3675
1243,2533
1244,4104
1245,
1246,2706
1247,2736
1248,3107
1249,3967
1250,3867
1251,
1252,418
1253,4515
1254,3865
1255,
1256,4628
1257,313
1258,2553
1259,3254
1260,2419
1261,2432
1262,
1263,3428
1264,3411
1265,302
1266,1305
1267,
1268,852
1269,200
1270,1671
1271,
1272,2394
1273,
1274,213
1275,3028
1276,3126
1277,1214
1278,1241
1279,
1280,4084
1281,
1282,
1283,852
1284,2903
1285,3637
1286,4685
1287,
1288,
1289,2885
1290,
1291,2256
1292,2092
1293,694
1294,687
1295,4429
1296,82
1297,1436
1298,3788
1299,
1300,916
1301,4236
1302,
1303,1121
1304,3028
1305,1077
1306,4466
1307,4481
1308,3675
1309,4460
1310,
1311,2589
1312,3997
1313,4275
1314,3404
1315,1555
1316,848
1317,475
1318,2041
1319,1586
1320,193
1321,3324
1322,
1323,1599
1324,
1325,1258
1326,4802
1327,1800
1328,3844
1329,3343
1330,
1331,3731
1332,3354
1333,4599
1334,4287
1335,2945
1336,1250
1337,478
1338,1854
1339,1822
1340,1232
1341,2242
1342,94
1343,
1344,1326
1345,4587
1346,960
1347,
1348,2292
1349,4485
1350,3987
1351,2348
1352,2386
1353,
1354,4926
1355,4021
1356,
1357,
1358,2854
1359,3076
1360,1443
1361,2345
1362,3363
1363,1802
1364,2764
1365,40
1366,4711
1367,4859
1368,3176
1369,2774
1370,4013
1371,4559
1372,4878
1373,1349
1374,
1375,4839
1376,
1377,1045
1378,3515
1379,
1380,3109
1381,1084
1382,4096
1383,
1384,2420
1385,2027
1386,3782
1387,4194
1388,4687
1389,3999
1390,2098
1391,2622
1392,
1393,2394
1394,189
1395,2695
1396,1264
1397,349
1398,2777
1399,4968
1400,3196
1401,223
1402,2243
1403,2017
1404,758
1405,980
1406,1168
1407,1279
1408,
1409,4280
1410,2800
1411,370
1412,115
1413,1143
1414,4006
1415,993
1416,4749
1417,2363
1418,1870
1419,1372
1420,2522
1421,
1422,1591
1423,3863
1424,1083
1425,1245
1426,4901
1427,2197
1428,
1429,
1430,1884
1431,
1432,4784
1433,1401
1434,2133
1435,1368
1436,3022
1437,2798
1438,249
1439,923
1440,
1441,831
1442,1217
1443,792
1444,189
1445,1850
1446,4780
1447,1803
1448,2277
1449,48
1450,3510
1451,4797
1452,3279
1453,1216
1454,3942
1455,
1456,502
1457,3348
1458,3057
1459,935
1460,3599
1461,2773
1462,3297
1463,
1464,2069
1465,3755
1466,639
1467,4232
1468,4359
1469,
1470,3169
1471,3692
1472,794
1473,
1474,4472
1475,3957
1476,
1477,1118
1478,1931
1479,1210
1480,3857
1481,3068
1482,1267
1483,4969
1484,
1485,2726
1486,3308
1487,387
1488,
1489,3160
1490,4083
1491,4095
1492,2042
1493,
1494,1856
1495,540
1496,3628
1497,4534
1498,1251
1499,2367
1500,436
1501,1383
1502,3669
1503,
1504,635
1505,3169
1506,4489
1507,3273
1508,1641
1509,2815
1510,1731
1511,1144
1512,3174
1513,
1514,1329
1515,779
1516,2413
1517,
1518,
1519,547
1520,3528
1521,3963
1522,1043
1523,4510
1524,4042
1525,2928
1526,1764
1527,891
1528,1256
1529,1075
1530,4195
1531,
1532,4194
1533,4255
1534,
1535,2736
1536,3634
1537,2701
1538,465
1539,2279
1540,4500
1541,2323
1542,3698
1543,1796
1544,
1545,
1546,3951
1547,83
1548,132
1549,1809
1550,4525
1551,4376
1552,1247
1553,2228
1554,
1555,3864
1556,687
1557,4772
1558,2923
1559,162
1560,4936
1561,516
1562,2960
1563,1975
1564,321
1565,1939
1566,4629
1567,4666
1568,381
1569,3033
1570,916
1571,4323
1572,2611
1573,1816
1574,
1575,3037
1576,4751
1577,1928
1578,1720
1579,
1580,4818
1581,187
1582,3420
1583,1643
1584,2907
1585,3945
1586,
1587,3024
1588,
1589,1820
1590,3085
1591,519
1592,1570
1593,2143
1594,2624
1595,106
1596,
1597,1397
1598,261
1599,3389
1600,548
1601,2246
1602,2097
1603,2998
1604,1114
1605,4112
1606,710
1607,4259
1608,4251
1609,3159
1610,2533
1611,
1612,4817
1613,
1614,682
1615,
1616,2812
1617,749
1618,3289
1619,2130
1620,1319
1621,3905
1622,4061
1623,3173
1624,
1625,
1626,1133
1627,3469
1628,1488
1629,1596
1630,1770
1631,3865
1632,4821
1633,1394
1634,1633
1635,831
1636,1116
1637,2950
1638,1058
1639,4170
1640,828
1641,3820
1642,2313
1643,2987
1644,3062
1645,2383
1646,4365
1647,3375
1648,4449
1649,2328
1650,1409
1651,3023
1652,3809
1653,
1654,2670
1655,3921
1656,3078
1657,
1658,4363
1659,2808
1660,2471
1661,2544
1662,3577
1663,511
1664,2343
1665,3033
1666,2430
1667,3323
1668,2534
1669,1003
1670,
1671,4844
1672,1653
1673,1512
1674,2778
1675,1178
1676,3742
1677,
1678,465
1679,
1680,2798
1681,4862
1682,1265
1683,4791
1684,2453
1685,
1686,99
1687,2800
1688,2257
1689,3417
1690,2199
1691,
1692,3788
1693,1149
1694,1194
1695,2227
1696,971
1697,2821
1698,4894
1699,4194
1700,3598
1701,
1702,1907
1703,950
1704,2599
1705,1030
1706,1606
1707,3859
1708,1030
1709,865
1710,2148
1711,406
1712,4096
1713,3808
1714,735
1715,3607
1716,887
1717,3327
1718,4115
1719,2826
1720,4277
1721,3197
1722,1800
1723,3957
1724,275
1725,422
1726,3648
1727,3979
1728,2664
1729,
1730,2628
1731,1567
1732,813
1733,866
1734,224
1735,2156
1736,4637
1737,3506
1738,4010
1739,596
1740,2001
1741,
1742,4135
1743,4632
1744,2451
1745,4771
1746,759
1747,2010
1748,2357
1749,4675
1750,850
1751,4992
1752,
1753,
1754,3537
1755,3585
1756,3238
1757,1362
1758,2968
1759,1346
1760,1515
1761,1824
1762,391
1763,1188
1764,
1765,1826
1766,4200
1767,
1768,3954
1769,3596
1770,4522
1771,3573
1772,1888
1773,
1774,1356
1775,3229
1776,
1777,110
1778,3999
1779,
1780,1666
1781,3285
1782,3832
1783,831
1784,3633
1785,247
1786,4685
1787,1875
1788,
1789,2909
1790,1005
1791,3391
1792,718
1793,1738
1794,3640
1795,1526
1796,2717
1797,
1798,4622
1799,2024
1800,2754
1801,4611
1802,
1803,2280
1804,371
1805,4908
1806,4602
1807,2008
1808,357
1809,3568
1810,854
1811,809
1812,3928
1813,1083
1814,3725
1815,1401
1816,1387
1817,496
1818,1144
1819,4699
1820,3378
1821,2007
1822,1120
1823,
1824,
1825,4932
1826,210
1827,2988
1828,4213
1829,1122
1830,3413
1831,1823
1832,
1833,1585
1834,527
1835,2561
1836,28
1837,
1838,
1839,2849
1840,2503
1841,1521
1842,3067
1843,1816
1844,2463
1845,1999
1846,1119
1847,3323
1848,1999
1849,330
1850,
1851,1753
1852,327
1853,2721
1854,2870
1855,3614
1856,121
1857,3894
1858,591
1859,3348
1860,2091
1861,3886
1862,4350
1863,
1864,4990
1865,2579
1866,3395
1867,3914
1868,38
1869,3919
1870,1057
1871,2017
1872,261
1873,4642
1874,3855
1875,355
1876,
1877,
1878,
1879,2149
1880,4579
1881,1036
1882,1203
1883,2352
1884,2483
1885,1295
1886,3593
1887,677
1888,
1889,809
1890,3510
1891,59
1892,3927
1893,
1894,
1895,1423
1896,715
1897,3065
1898,4585
1899,975
1900,
1901,705
1902,911
1903,2377
1904,1285
1905,130
1906,
1907,1355
1908,2599
1909,657
1910,1514
1911,837
1912,1956
1913,1438
1914,3178
1915,
1916,527
1917,3839
1918,
1919,2995
1920,1868
1921,
1922,4854
1923,1204
1924,4749
1925,4409
1926,2684
1927,
1928,3190
1929,481
1930,3551
1931,4579
1932,4089
1933,509
1934,2482
1935,2319
1936,3427
1937,2026
1938,3805
1939,4406
1940,2307
1941,4411
1942,1950
1943,
1944,1856
1945,2987
1946,2398
1947,3452
1948,4626
1949,
1950,1293
1951,4617
1952,
1953,3246
1954,156
1955,4690
1956,
1957,308
1958,3644
1959,2059
1960,2651
1961,4398
1962,3989
1963,703
1964,811
1965,4151
1966,2115
1967,
1968,189
1969,2349
1970,2297
1971,115
1972,222
1973,3162
1974,838
1975,1600
1976,4255
1977,1812
1978,4648
1979,3890
1980,4849
1981,4993
1982,4227
1983,590
1984,2747
1985,4755
1986,2352
1987,4085
1988,2325
1989,3107
1990,
1991,745
1992,2045
1993,2723
1994,586
1995,
1996,3843
1997,4685
1998,4641
1999,4838
2000,1318
2001,4342
2002,3207
2003,3218
2004,4941
2005,3182
2006,3527
2007,676
2008,743
2009,
2010,3126
2011,
2012,4117
2013,2443
2014,874
2015,1893
2016,501
2017,4836
2018,89
2019,3354
2020,1200
2021,3247
2022,4376
2023,
2024,900
2025,
2026,3348
2027,2593
2028,3898
2029,1848
2030,2364
2031,1218
2032,
2033,
2034,2550
2035,4072
2036,2462
2037,3954
2038,1470
2039,
2040,
2041,3582
2042,
2043,3434
2044,4607
2045,2933
2046,
2047,857
2048,3291
2049,3309
2050,
2051,3260
2052,2117
2053,1418
2054,2982
2055,1806
2056,4534
2057,480
2058,1611
2059,4054
2060,4431
2061,2180
2062,1360
2063,3740
2064,
2065,1930
2066,4874
2067,
2068,2323
2069,940
2070,2974
2071,1907
2072,
2073,975
2074,3889
2075,1972
2076,935
2077,4081
2078,740
2079,1522
2080,494
2081,
2082,161
2083,1784
2084,1495
2085,2477
2086,4878
2087,4654
2088,3447
2089,1111
2090,71
2091,3006
2092,
2093,3372
2094,581
2095,
2096,189
2097,2821
2098,1562
2099,2833
2100,2212
2101,2710
2102,
2103,4739
2104,1303
2105,2417
2106,2038
2107,1070
2108,1424
2109,1193
2110,1304
2111,
2112,3181
2113,221
2114,3838
2115,2032
2116,811
2117,4678
2118,2065
2119,
2120,3544
2121,2581
2122,4285
2123,2744
2124,3738
2125,4528
2126,1970
2127,2019
2128,3263
2129,3312
2130,467
2131,2877
2132,4785
2133,3888
2134,490
2135,1277
2136,1517
2137,
2138,336
2139,1852
2140,4346
2141,1694
2142,
2143,1866
2144,3566
2145,381
2146,2302
2147,3675
2148,414
2149,3553
2150,2777
2151,1317
2152,4914
2153,3524
2154,1651
2155,466
2156,
2157,
2158,4095
2159,
2160,4645
2161,4445
2162,4328
2163,4734
2164,4215
2165,1110
2166,
2167,3411
2168,3435
2169,2942
2170,
2171,2453
2172,4968
2173,4102
2174,
2175,2227
2176,192
2177,1335
2178,2845
2179,1868
2180,3033
2181,1286
2182,512
2183,4214
2184,3089
2185,4930
2186,2569
2187,1558
2188,4264
2189,29
2190,1250
2191,4929
2192,2546
2193,4143
2194,76
2195,1602
2196,3384
2197,902
2198,2592
2199,1717
2200,2261
2201,966
2202,
2203,2512
2204,618
2205,2298
2206,2823
2207,2863
2208,953
2209,
2210,1488
2211,978
2212,3635
2213,1136
2214,4553
2215,4814
2216,3317
2217,4352
2218,2974
2219,2884
2220,1171
2221,1543
2222,1871
2223,4863
2224,2768
2225,1739
2226,2557
2227,4568
2228,2310
2229,
2230,4509
2231,
2232,3777
2233,2091
2234,2678
2235,273
2236,
2237,3367
2238,4399
2239,3232
2240,1101
2241,4367
2242,3364
2243,
2244,4839
2245,84
2246,
2247,851
2248,3564
2249,4245
2250,2320
2251,2803
2252,
2253,4894
2254,87
2255,456
2256,3040
2257,3089
2258,4321
2259,447
2260,834
2261,3413
2262,2489
2263,141
2264,1065
2265,2808
2266,3358
2267,4886
2268,2779
2269,1138
2270,
2271,4425
2272,968
2273,4806
2274,3413
2275,46
2276,3653
2277,2216
2278,1513
2279,433
2280,4635
2281,2666
2282,465
2283,2218
2284,569
2285,39
2286,1013
2287,4205
2288,4743
2289,1095
2290,168
2291,1322
2292,2697
2293,1046
2294,3364
2295,530
2296,1551
2297,1284
2298,4259
2299,1454
2300,147
2301,4221
2302,2922
2303,1738
2304,2418
2305,1605
2306,4371
2307,415
2308,4847
2309,921
2310,4458
2311,1177
2312,
2313,4062
2314,75
2315,2875
2316,909
2317,4803
2318,1725
2319,2537
2320,2822
2321,4281
2322,559
2323,2463
2324,2037
2325,675
2326,1454
2327,
2328,1699
2329,805
2330,4986
2331,4198
2332,119
2333,
2334,3185
2335,841
2336,3926
2337,
2338,2693
2339,520
2340,173
2341,3745
2342,3449
2343,3129
2344,
2345,1440
2346,
2347,
2348,2971
2349,2061
2350,1248
2351,2249
2352,3485
2353,1103
2354,4997
2355,1179
2356,4701
2357,4447
2358,3196
2359,607
2360,2797
2361,2015
2362,2110
2363,
2364,3065
2365,1077
2366,
2367,2927
2368,4281
2369,
2370,2022
2371,2751
2372,3497
2373,2457
2374,3144
2375,4331
2376,2320
2377,1570
2378,3081
2379,2577
2380,2033
2381,1272
2382,3944
2383,2576
2384,
2385,3866
2386,2451
2387,3887
2388,1116
2389,
2390,780
2391,
2392,1125
2393,
2394,3817
2395,3360
2396,283
2397,957
2398,
2399,4437
2400,4102
2401,4693
2402,702
2403,2402
2404,2850
2405,2331
2406,3920
2407,4943
2408,879
2409,
2410,3547
2411,1687
2412,3966
2413,3870
2414,3675
2415,1051
2416,2321
2417,4155
2418,1531
2419,
2420,3730
2421,2951
2422,534
2423,
2424,3275
2425,4063
2426,1883
2427,1197
2428,
2429,1110
2430,2436
2431,3900
2432,1035
2433,1481
2434,2879
2435,
2436,1248
2437,151
2438,4
2439,4805
2440,2367
2441,
2442,2295
2443,1940
2444,4036
2445,
2446,1014
2447,
2448,4764
2449,491
2450,6
2451,2302
2452,1305
2453,
2454,3592
2455,1368
2456,1314
2457,3236
2458,4640
2459,4059
2460,2402
2461,4267
2462,1946
2463,
2464,1724
2465,2612
2466,2952
2467,3807
2468,350
2469,2305
2470,4171
2471,
2472,
2473,4238
2474,1998
2475,2025
2476,
2477,951
2478,
2479,
2480,2955
2481,
2482,2598
2483,1573
2484,4747
2485,1371
2486,2747
2487,4963
2488,3639
2489,1339
2490,492
2491,2737
2492,488
2493,
2494,1175
2495,1473
2496,551
2497,1251
2498,4834
2499,1616
2500,339
2501,
2502,505
2503,2030
2504,
2505,3834
2506,
2507,2891
2508,2532
2509,140
2510,4424
2511,1258
2512,703
2513,1823
2514,670
2515,1917
2516,2170
2517,3104
2518,2132
2519,922
2520,1742
2521,3452
2522,3854
2523,2061
2524,521
2525,4928
2526,
2527,3137
2528,3415
2529,1141
2530,2556
2531,663
2532,
2533,
2534,2352
2535,3265
2536,3345
2537,3993
2538,1478
2539,1806
2540,3401
2541,763
2542,
2543,1816
2544,4790
2545,4771
2546,3262
2547,1465
2548,2517
2549,
2550,893
2551,4415
2552,
2553,4595
2554,4748
2555,4950
2556,3951
2557,3817
2558,1465
2559,2171
2560,4468
2561,69
2562,
2563,2430
2564,
2565,453
2566,1923
2567,3583
2568,2993
2569,
2570,995
2571,
2572,2282
2573,3646
2574,
2575,
2576,1497
2577,3630
2578,4672
2579,2791
2580,3134
2581,2400
2582,2575
2583,448
2584,879
2585,2729
2586,2799
2587,1869
2588,4504
2589,
2590,1649
2591,
2592,2948
2593,1459
2594,2980
2595,
2596,4906
2597,4280
2598,1150
2599,2920
2600,1040
2601,
2602,172
2603,547
2604,
2605,4330
2606,
2607,1161
2608,4955
2609,
2610,2781
2611,1033
2612,1483
2613,4367
2614,4028
2615,3667
2616,4046
2617,1317
2618,2526
2619,3204
2620,4078
2621,4092
2622,
2623,1955
2624,1884
2625,3070
2626,4114
2627,4630
2628,3207
2629,441
2630,1719
2631,2726
2632,225
2633,3655
2634,736
2635,3033
2636,880
2637,4444
2638,4821
2639,
2640,
2641,4900
2642,3571
2643,817
2644,1622
2645,4328
2646,
2647,849
2648,2547
2649,1140
2650,4396
2651,4170
2652,
2653,188
2654,4925
2655,1064
2656,4917
2657,2251
2658,4071
2659,293
2660,4980
2661,4269
2662,243
2663,
2664,4350
2665,1594
2666,2969
2667,4574
2668,978
2669,
2670,4580
2671,2723
2672,
2673,2642
2674,1359
2675,581
2676,1723
2677,
2678,3603
2679,2725
2680,971
2681,2787
2682,
2683,4967
2684,586
2685,1162
2686,1575
2687,3414
2688,387
2689,4400
2690,4384
2691,3941
2692,1235
2693,3635
2694,3130
2695,1486
2696,4050
2697,
2698,819
2699,4193
2700,1108
2701,3595
2702,4856
2703,3244
2704,1240
2705,2525
2706,116
