idS,idI
1350,773
91,1662
1905,1352
649,1458
38,2358
535,1138
212,823
2230,1832
2153,75
1159,335
2289,1264
869,34
1615,1947
1032,2009
2486,1525
2086,85
613,370
1336,922
1861,733
2188,1366
222,2483
680,770
2334,1130
1826,2031
1549,582
1884,869
818,676
2395,2345
2406,1299
2145,2394
472,830
597,474
2408,659
2299,404
1707,2223
1846,365
1456,243
1790,1779
2289,1376
2359,238
2171,83
436,418
1648,531
2148,205
2161,1327
311,2301
1557,406
984,1366
970,621
1228,2286
431,2420
1732,305
346,410
1105,289
260,185
2165,1247
2468,2072
1265,2002
840,782
355,382
1631,94
120,1994
1940,1804
2334,2268
1977,1817
1233,886
30,742
2148,393
584,24
714,1597
127,182
1782,2150
1407,2441
1402,852
1395,620
2453,2109
2375,23
404,2488
1477,2200
1365,2113
1641,2441
2036,60
133,287
1447,229
1485,1174
596,934
441,2212
258,1352
678,1919
231,801
1844,1143
2275,209
1671,656
328,1177
1673,1222
300,532
2169,2212
1629,607
1284,1389
553,1902
2169,1010
1121,660
1930,182
1678,550
1492,1055
25,1178
57,1984
731,1614
1623,2359
2434,608
812,708
411,1394
628,829
1138,2165
1558,1345
2279,216
1406,2000
1640,973
734,2352
1030,607
1537,1728
2125,1628
819,1912
378,38
1926,562
2024,224
32,285
1267,589
2345,1315
2443,1567
877,387
1870,2135
1643,687
1240,2264
1608,1170
284,212
880,244
275,1972
1053,2202
843,592
515,2287
2123,2403
1218,210
2329,1974
387,884
1861,585
2099,679
154,1036
1369,993
1263,1737
2026,1215
1389,528
2047,1477
910,394
830,1430
642,411
2220,1924
699,347
931,833
806,1637
2165,1985
1072,856
181,678
696,920
1576,191
2118,135
953,2154
483,800
524,706
1036,523
2393,1558
2134,816
1189,380
434,2379
1990,2133
2214,2222
14,2295
401,2032
2106,428
1007,2041
1787,2326
1837,2005
735,1620
2365,1995
1628,87
1674,2324
2015,408
449,1722
957,168
1823,1728
1825,617
761,1140
672,1289
2056,2187
1214,690
431,1278
2047,1994
1129,584
2076,1525
1193,456
2040,2327
1201,266
1023,899
519,2024
7,46
1981,2006
1802,1926
192,696
1403,866
1990,1952
1811,824
1265,1734
2109,360
1358,2034
298,1936
1999,2271
837,1075
1237,572
785,2497
1166,608
1728,1604
1815,376
2054,1780
1419,150
853,71
164,868
2129,1944
81,1148
1334,678
682,1963
2121,1698
388,913
828,334
1396,2003
231,390
1453,1998
1046,1116
1955,274
1840,592
917,2466
179,2425
2304,992
65,139
823,771
1164,1459
2482,1552
2201,1255
2114,777
583,742
610,2269
1367,930
2090,1222
317,1776
1653,2232
2296,1194
1228,1595
1804,1462
1447,2319
2366,1554
1617,1799
459,743
282,2460
772,968
1775,241
973,869
181,276
314,936
2393,2466
1923,1545
1299,472
1062,1462
1087,201
1208,1330
606,1980
1249,1372
1446,2437
2495,1528
222,337
1094,360
2329,705
1535,1472
940,1002
703,2150
2251,1967
1778,280
701,2331
669,15
2481,977
911,2280
1963,1643
1022,1728
1365,837
291,861
375,1809
358,1273
887,2215
1766,790
1711,1959
1124,854
1615,1363
1979,93
73,129
172,678
1017,1718
719,1465
2046,155
2320,763
1012,254
1552,1646
1704,2039
596,2145
2080,1476
1650,2188
291,191
754,1604
273,998
479,1205
724,358
2331,622
1745,1675
2464,2187
1836,633
2177,277
951,2090
317,107
1020,1220
1498,1132
1420,418
1303,608
1426,2400
1868,1553
375,978
15,1306
2019,2263
807,1061
1688,2491
2160,844
842,2215
1945,561
2475,1972
561,795
1538,2230
2149,119
1618,2085
462,1175
1008,1006
1292,1241
1119,680
427,1869
960,2063
1105,1164
908,1351
1471,1561
838,2228
1813,1440
1735,2038
138,216
63,1893
416,2293
23,1101
1370,430
2019,594
2369,1874
1235,2049
1654,2147
1989,611
1926,1606
991,1955
953,1381
1426,1466
1073,852
76,1753
112,2389
557,665
2221,1329
735,863
1782,1786
426,356
1138,1528
1640,1496
1486,832
1184,1323
2323,1231
1320,1272
2207,1198
2375,890
102,1440
1677,1208
1848,2284
721,85
1912,1672
1459,1057
1591,859
487,1570
904,2033
139,1655
2262,2432
445,1652
478,377
1533,63
2021,1024
1628,1501
1718,1889
2336,1075
2114,214
1412,2231
1238,1352
1772,1473
2016,322
831,482
1007,404
377,1400
636,557
15,2195
1200,611
984,1000
279,1586
127,1844
945,2411
838,2294
1960,1566
1407,423
2335,1471
2117,1138
53,2464
1358,2290
1488,1229
442,970
195,1826
2393,1232
1860,323
989,44
894,847
2325,754
2172,1632
536,1266
1149,429
1340,1677
1125,396
2069,2203
66,2280
1670,1948
453,1753
379,300
2346,968
1963,1433
2178,1719
41,2275
1757,1630
2467,2159
1264,1766
144,1322
50,358
407,1274
1429,352
294,115
1864,2110
1757,1686
295,584
449,1333
498,1538
1418,2001
1123,2177
455,1708
117,2333
1193,2356
48,572
2251,412
901,1814
559,2340
1899,1308
741,1639
577,395
2175,2075
1765,94
965,179
1255,2307
2170,93
626,869
2337,762
1671,1735
2258,1852
1510,1152
1105,635
1361,1710
1099,1739
1237,101
2401,956
2087,2349
864,89
264,349
2498,599
525,1115
1431,316
457,2373
666,2011
1161,1706
1692,594
2419,471
2269,2271
2418,1911
1861,2067
2093,2006
2198,849
1720,1245
44,1099
945,2412
1136,362
1043,1968
1748,9
1722,2198
1710,2062
2313,435
1589,1973
330,1312
678,2417
871,2071
625,1256
511,497
1109,1520
2406,737
69,1254
1558,238
1227,2004
515,548
2330,1111
352,2354
2230,2208
334,740
336,201
582,1371
1786,2421
1808,1836
2165,1710
873,1171
1258,1076
2136,2000
2095,1504
743,1625
655,1183
467,1780
653,834
2220,2033
528,2375
242,1424
1670,1599
158,256
1488,1025
2063,3
1828,2434
954,60
2384,2197
1673,1203
2040,1341
895,971
1644,1957
2388,530
1449,200
747,1674
2005,1123
405,130
1896,876
1963,197
1153,1590
2199,2272
1975,15
1166,972
60,1346
877,1832
646,128
1819,2494
2449,217
1123,1596
981,940
1157,959
1149,911
241,1859
1563,1028
1271,1055
561,1903
657,1684
2151,715
1328,344
2076,207
2152,1860
253,1693
493,656
2476,260
455,1632
1199,2070
352,592
1578,1428
1253,1659
958,1790
449,2274
2044,1890
503,1016
125,342
149,1376
1499,1520
1393,72
1543,2160
2347,321
1466,134
1220,2049
410,199
769,2011
1977,1558
2361,1848
2408,133
1919,547
1543,286
2258,2365
1037,661
325,1279
1425,65
2254,1533
127,594
628,1229
842,424
2337,458
827,2444
2341,1160
2447,2346
1421,1836
319,912
8,375
1643,1347
1118,2045
1936,1678
1577,2375
1233,1759
913,1254
167,2107
2114,1519
1167,1317
2092,2059
228,2421
2106,1543
1207,1850
903,822
232,1204
797,1396
1145,1877
998,2009
1605,2474
425,730
1369,1206
1897,2080
849,1931
831,504
1205,844
1718,513
1423,1550
1250,2128
1326,1221
1680,484
79,1799
2040,1007
1083,1656
51,148
2440,341
1955,1650
841,977
558,806
397,627
1666,1502
699,915
1967,779
479,1900
1360,1949
2136,364
719,1889
1255,375
1983,1271
2046,177
751,1969
1022,1382
1964,248
1094,2474
757,274
65,780
1866,369
1679,2190
948,2100
1467,637
496,461
1444,1813
2223,2102
2441,457
210,596
571,2490
1079,681
1113,1389
1442,193
1801,346
1509,323
1896,1411
1080,1657
1868,2050
344,1295
233,1878
1907,718
2434,397
269,1606
1323,852
1086,444
1817,1864
1984,148
1306,1023
699,2110
1796,1504
1355,243
1008,1794
1421,516
176,2180
1598,428
38,1353
1214,344
918,244
2311,467
535,917
1207,117
566,1724
139,1029
1430,2329
1457,1307
1977,1987
472,1323
284,1803
1030,1339
625,1613
609,2457
1878,1161
1846,2301
74,1170
558,417
602,1470
2161,1424
1829,2255
828,687
1339,1052
814,2312
663,1112
1986,1013
1467,1028
1189,1322
2456,1575
528,1695
1222,711
2428,836
2107,2419
893,1279
1845,1545
1729,2079
349,1561
1281,1801
2107,1755
394,775
1852,1274
325,1614
2212,1732
1972,1276
404,307
719,35
199,1155
19,1400
2270,2054
1430,1004
96,1647
1819,1586
1181,2327
2134,2252
1758,2112
1828,1167
2228,1905
1847,1369
1410,1682
116,2055
842,1826
187,808
821,226
386,235
1211,2251
834,2263
1270,586
1326,2030
453,67
666,1262
2164,1992
1499,1883
1744,2184
1026,46
830,364
192,1486
1089,1234
1757,566
244,8
94,2085
1321,1299
2127,1962
1279,518
1513,1717
1175,1355
1097,894
2212,1738
2481,675
2210,431
1299,1107
2467,1907
41,1169
2240,417
1957,86
801,658
175,1455
1275,235
772,1011
2382,1907
2216,105
534,2361
1509,1581
1590,2282
1331,1622
453,726
801,2126
1127,1075
188,755
49,2044
1151,2281
832,579
2319,2252
1669,1516
1880,1912
1392,523
444,2417
2081,1875
363,1160
1044,1575
857,1835
2388,1042
1338,2355
819,1982
2404,428
25,1314
234,1963
2116,1655
964,1448
839,2011
1114,2114
1383,921
1447,443
687,1273
2459,1231
364,1101
183,199
1763,2432
1008,626
130,1300
1918,1293
786,1200
685,99
267,1517
1588,77
533,1365
1463,1327
2188,1009
313,1009
346,1086
1604,2421
1659,2069
756,357
504,1474
1246,1845
1847,1817
1594,6
2497,720
2181,328
2492,2031
1591,477
1574,201
2361,2134
113,2071
250,2429
1303,1375
772,273
2398,447
1232,1116
31,806
214,1939
175,604
416,1691
2393,773
1589,2008
1425,347
2007,2341
1770,1812
1562,948
1624,1984
178,312
204,1002
247,1162
137,2155
606,2389
2125,1220
778,118
2234,562
2087,1203
1946,1291
896,2493
318,1381
1259,2459
1557,1461
738,2374
826,97
1105,1611
1547,2046
1856,1795
1478,1408
1946,2090
1330,1663
614,1401
136,2184
1338,329
816,2324
948,29
2304,1247
834,1219
1242,1540
1748,2476
952,1147
1301,608
321,1032
1783,2119
2134,2307
1589,122
1887,2070
2109,1848
1346,85
2316,106
749,2366
326,148
712,121
2175,777
1913,1564
2378,1596
1301,2463
50,1681
1944,787
520,997
1917,147
1816,432
8,1669
1733,522
2321,492
242,2187
1662,366
2370,1966
1183,797
594,1365
1280,1391
295,1986
2152,1450
269,1100
2429,257
1749,25
1060,415
946,1028
681,2348
1140,1383
1249,2476
9,2190
812,1949
1278,2256
2452,318
2494,415
1418,2211
1942,2419
53,1953
2163,2308
2163,391
1309,2188
1190,423
1579,862
2140,528
1551,645
707,2243
801,202
1581,2293
28,2182
82,1664
2440,1091
1451,800
1172,2213
1439,48
1076,2146
1382,2261
345,262
2000,732
1952,1899
1713,561
1886,399
1285,506
1178,739
190,1544
69,752
312,1369
448,302
2387,1092
1686,1104
1990,671
1777,749
1019,115
479,2079
525,1834
1049,1188
1278,1457
1193,1481
2377,2267
1560,2051
532,1762
1803,599
1705,1677
992,1023
2145,1316
1797,2048
1935,614
381,2041
619,727
1670,1217
1646,1579
2345,1839
1646,1912
2391,972
2149,1344
997,1429
1904,969
1265,499
1990,647
2262,2301
2099,841
1612,136
248,895
2196,748
1024,1704
1725,2367
776,1228
2454,2084
1637,1046
1057,1639
2157,1343
563,1330
1373,153
1987,2138
326,1313
1527,54
1229,1661
982,1613
99,2396
409,927
1184,217
1874,990
2076,1445
1367,2393
597,877
2186,25
1225,401
1652,389
810,119
1049,507
609,1822
408,528
1434,854
1120,2170
625,2228
619,1360
2364,1398
390,455
72,958
2154,1002
258,175
2315,2104
1194,2467
418,751
1277,1165
1393,1365
1564,526
1580,2184
285,276
799,900
303,1238
856,1478
1575,285
1684,1507
487,147
762,559
667,769
2023,1716
1322,1111
1103,1391
559,201
251,1042
1061,2184
917,1103
1050,756
217,2186
362,1417
911,541
453,1440
1318,209
44,1753
1785,1906
1123,1488
2405,1016
612,2095
193,1775
1138,1991
1351,1218
957,1016
2194,1402
117,1536
1531,223
795,1574
1235,1830
297,246
1111,1358
1343,2116
591,1562
2164,534
2338,1399
102,339
964,1123
1684,1799
1021,2103
2254,2103
961,121
614,2043
653,401
1778,922
1913,1912
639,1052
764,1617
1536,1471
1842,1690
1371,1597
1188,2405
873,2395
553,937
178,1416
1192,810
1392,488
1352,1441
95,953
902,243
1763,1129
1632,1160
2371,1529
139,1140
1515,2026
663,1233
1995,2316
582,1673
1764,1289
1993,1384
680,2114
1668,891
236,392
2428,1437
84,1748
1032,2405
1101,2199
931,310
1003,2139
200,77
295,1678
1601,1577
951,2405
957,103
1140,2409
2268,2039
1589,428
1842,465
1473,1325
2148,297
1829,527
1987,794
1225,1903
1673,2323
1163,1697
1398,610
1119,1837
1365,650
933,1551
594,423
1933,488
2324,2495
897,1163
1725,1856
1397,1837
1736,824
1793,393
1992,370
954,1825
939,12
1623,868
2197,1514
74,2129
109,1979
2150,773
1884,406
2175,2274
1374,908
1500,464
315,384
1627,1714
1313,583
84,1795
2166,2152
2312,1898
15,479
1125,2080
168,500
1398,1926
2033,903
668,254
2291,2408
1563,766
2377,1704
619,2069
1841,2369
218,1798
1485,333
1405,603
1220,728
2175,1526
2353,984
1645,2111
1621,501
944,82
1849,547
409,1162
1699,2187
994,148
1927,473
1741,1204
1471,1831
1198,1948
1987,159
356,1164
1613,128
2487,781
637,63
1647,1063
633,1823
2124,348
1394,754
1748,731
1527,1450
1354,2099
952,1560
2168,1775
1086,1997
497,2137
1102,1457
249,1993
259,1717
968,904
2039,1046
198,247
502,1359
245,1671
220,2044
436,387
320,2455
200,2338
2270,1520
2318,1733
751,1266
2229,1002
1958,253
163,863
2091,2121
966,18
1760,1897
803,627
1435,285
2102,286
1399,2386
1720,1946
2488,637
317,1259
584,1245
2157,1134
1245,2355
943,1409
1863,1765
1783,538
298,1034
1428,517
1314,54
1460,1798
1502,1037
1980,1122
2302,1194
1854,1291
122,1832
2455,1551
359,626
27,675
2303,710
2315,2051
1848,335
1846,1766
2238,1212
204,2039
1461,2264
1196,1155
1155,2326
942,762
1968,260
1773,2147
1644,62
1602,16
181,128
442,1582
1104,2473
825,1289
987,1570
1977,114
1948,420
1118,1614
97,1519
2162,627
1170,1656
1122,2461
1614,1560
772,1131
1797,171
2071,842
976,276
2343,199
160,1212
323,2448
720,1031
868,599
2223,456
163,1652
944,265
1099,739
1959,1327
1928,1323
2168,2265
2384,578
197,1200
553,849
758,275
615,330
1708,1017
2145,808
1271,1189
1654,1331
130,756
1733,2466
528,1448
1075,1550
2481,631
926,1052
1851,1298
1975,1953
463,2481
954,2479
124,2222
1151,485
2211,1212
2413,862
767,1182
1239,283
898,593
908,1827
469,1424
860,2110
454,898
2000,2007
2148,2220
885,767
2247,2081
940,978
403,942
2183,456
1958,1594
2046,1262
2062,372
74,1395
1876,1062
1277,1285
561,2419
1096,1733
1736,957
1593,623
429,664
411,2119
1028,1946
375,196
575,1089
1172,1350
2115,784
1128,2406
45,2052
1964,1030
576,914
1742,2277
1981,1730
1439,413
2391,986
2475,333
682,1634
2452,1532
1358,140
1804,206
1608,1130
1856,2362
1815,367
1917,1594
1211,1815
997,1709
1451,1569
1470,749
1594,1827
1049,307
1910,2266
1300,2229
1403,1996
1933,2493
25,437
314,2202
2262,851
662,1779
1774,1904
1455,837
2062,2142
929,1094
2255,1992
855,1960
892,1184
383,1556
1847,1600
2229,1479
420,1627
23,944
1082,2232
2032,2129
1662,1522
1558,671
410,578
1214,496
368,1798
1635,1665
288,530
355,1079
2390,1485
643,1588
1089,1394
1264,2494
1288,36
122,994
1968,1210
1836,391
1456,1003
596,1811
1393,1455
1889,1293
641,2206
1469,591
353,1470
2004,2085
1357,2352
2032,1138
1330,548
569,570
1193,1076
359,796
1470,2412
1550,231
981,297
1528,803
334,1731
1928,29
2303,778
531,2246
621,1575
1738,1716
409,2055
971,1604
1836,1037
1992,1917
2157,1146
1229,2009
30,44
2072,1132
2258,1838
2361,1687
1709,1980
621,1391
1200,1676
709,1934
1538,1301
2461,2357
494,2398
1389,786
1951,560
502,391
538,2085
151,250
2330,776
2174,1471
1122,2410
1274,545
2344,494
2094,2469
615,546
68,388
2452,348
340,1776
850,2294
451,457
2322,1537
1380,1441
447,566
847,1117
723,1784
898,1057
27,590
1229,2304
1066,244
911,2083
1264,2157
415,92
2238,947
1656,121
1164,1885
1835,2338
1695,1107
2071,1146
901,2382
2450,1047
1328,979
70,134
1392,1641
1951,156
1769,1660
1306,1868
893,2430
183,2037
324,329
1910,654
1290,2400
1609,1290
1757,988
1591,826
1996,1315
712,2449
340,2460
1219,533
777,2207
599,765
2312,440
1674,1808
147,1633
2048,235
1410,1754
940,1021
1384,612
1419,1652
1651,1998
870,1936
2292,1646
1361,2348
626,2418
318,1325
1379,728
1310,1425
2223,568
1286,1424
892,213
1528,862
2026,1748
20,866
982,343
2282,556
2159,696
22,1050
802,1319
816,455
423,2218
124,1592
923,1033
2171,889
853,1960
999,2294
565,2053
1593,1009
1729,50
405,1610
470,250
434,1355
299,368
1003,1123
1772,35
1406,1251
1748,2029
1095,1602
431,1510
1338,1240
2285,2171
1151,143
1800,153
2178,2051
896,2392
2126,2246
1606,48
881,2355
225,252
1614,1524
1140,1483
951,1761
2191,2336
800,1327
1513,720
641,1008
449,1192
508,1899
838,940
677,117
1013,641
894,20
1683,1877
230,2224
188,1330
1467,1060
1741,575
1697,180
562,1316
531,2466
319,978
1901,2313
1748,1186
1399,1034
2411,1889
886,1990
2405,294
1446,619
300,314
888,1151
1774,1863
1133,1694
792,1702
929,475
1299,2444
123,1128
2335,744
260,1112
2428,1305
1403,939
898,454
708,280
1937,138
1073,1439
946,2125
210,1083
2201,1736
1835,1906
973,1312
448,2444
464,708
2267,2483
815,338
2446,2353
1726,1347
1300,468
1183,1810
1612,673
325,1131
1185,1793
2271,699
137,651
1684,1114
195,1111
2496,2313
457,989
1579,43
1559,216
1825,873
1424,2137
2025,2007
1465,821
602,2322
1776,2221
2065,246
2384,698
2067,1083
1381,1781
591,614
1177,1962
312,19
1949,1483
1139,684
1927,1026
404,2477
1953,1702
1740,694
1847,632
1220,862
1752,395
1082,2393
1189,152
2289,1192
2241,316
1999,632
1120,968
1164,1110
1558,40
46,1089
1078,593
1210,64
1775,2185
1388,598
2478,746
89,278
68,1503
1661,1901
2148,1431
1473,2077
269,434
1678,1316
2324,1510
2148,1515
438,2491
546,63
2338,1150
1869,1686
1498,462
2464,1934
1059,1210
1400,1135
1934,1764
1646,2359
547,1717
1931,1865
679,1647
2355,967
1100,2189
233,977
1374,1481
979,792
466,1397
475,1868
2048,1759
2010,666
381,1023
1970,1376
2069,365
924,507
1445,1261
814,2077
1354,371
2189,547
1341,393
2110,596
1019,1157
1580,408
1452,2256
851,495
1279,487
814,248
1486,687
2113,961
2270,1517
494,1547
1219,897
1978,2389
1969,1561
729,172
2249,16
1324,2285
1196,1089
139,623
307,2181
2396,2140
1784,829
638,314
1251,334
206,399
2368,814
645,1997
2309,1242
314,2330
2376,458
519,730
684,2244
502,44
1836,1921
173,1087
2345,1102
550,2351
2026,1019
1527,1722
617,269
573,1749
1050,745
658,472
770,727
663,337
1676,1287
1402,657
1721,962
1932,2117
35,1280
473,1489
1982,2438
647,89
1138,1953
1037,1704
376,2261
919,1499
957,1186
163,1119
204,906
1673,943
1740,1863
1721,2400
1090,997
171,1436
1196,489
548,625
96,2153
454,1726
2068,1178
2070,1196
1891,1371
3,614
85,2081
1879,1639
1851,878
560,9
21,1305
1934,754
2420,895
1597,323
492,116
266,2257
743,1910
1644,1224
300,2308
1576,458
131,2117
1108,2247
1149,1777
2468,2427
2388,2189
351,2
1454,2015
1092,44
2115,598
1596,307
574,926
2455,1091
1296,1259
1493,1358
1085,214
685,68
1827,240
2095,1965
864,710
1114,405
900,1190
1329,861
1709,497
935,1492
1870,1623
1645,2017
2484,2245
1637,445
2079,1125
1822,1795
1089,1915
2200,1893
2170,843
513,208
657,1933
1267,1230
1960,1725
2019,1911
2497,553
1056,1020
1203,1292
1045,961
1476,609
2317,577
1771,1373
192,885
1081,1496
2181,2439
349,181
1375,1035
321,569
2381,1539
59,1951
2367,1397
38,1266
166,1195
1072,84
1241,725
1434,1198
186,1582
1857,1481
1907,2031
407,1410
2074,2145
469,628
892,774
1955,2062
1328,1161
1329,320
2154,1225
1375,2097
1824,2037
1245,667
2457,225
2441,1568
2402,371
2429,939
2443,1143
117,327
2224,494
2348,652
1554,2100
580,575
529,2475
1998,395
1944,1615
1329,219
2298,434
575,1616
712,1138
823,1186
1751,621
14,119
423,1691
205,721
1259,886
1178,563
1262,1381
1460,2337
1410,1041
600,804
1340,2158
1295,1614
1774,679
1525,1739
1416,1374
131,1088
2157,1587
1779,1703
2364,725
917,1509
1227,2091
2335,1275
768,2405
1653,857
2013,665
321,1834
152,818
2477,611
61,2033
2058,1655
1915,292
1008,634
1621,325
1979,520
2306,2142
1940,1663
1316,1023
383,656
1028,2438
1907,566
2350,684
2004,2174
47,557
1304,1009
995,2237
950,1185
1081,533
2033,1494
1764,727
23,2497
756,1216
1982,155
15,1183
417,1441
601,2361
1443,1119
2436,342
29,317
2003,236
152,1122
702,1622
460,1275
572,118
553,994
1648,379
480,1996
1151,22
1814,2161
2066,465
598,1114
2048,2118
2003,1728
170,1420
871,208
901,1505
1212,2195
1853,1920
692,2441
227,547
849,587
1402,840
829,1964
1183,1614
585,912
2031,450
1374,427
705,1272
581,900
65,2254
1531,2347
921,1352
412,561
288,1797
64,789
2113,470
1242,1131
1149,2209
1232,951
1117,1358
110,2400
327,877
2054,1632
426,2473
309,727
1207,1396
1135,1819
1934,2359
828,1620
1886,263
1105,472
1844,2455
1420,807
2391,775
92,773
1009,2481
1777,1695
1989,1398
513,1325
