IdR,IdM
3366,358
4061,1713
973,2706
1627,1237
2620,2955
4194,4729
2846,3210
4628,3595
2011,2156
1901,2125
3741,2392
77,4367
1303,2382
1843,1654
3701,2941
3592,1250
1726,4735
2610,2037
3199,1810
150,379
2897,4823
2941,1654
4958,2175
1125,3423
1135,4907
2699,4451
3432,4660
1968,3489
4153,1701
1651,228
4070,3425
1726,2486
3728,1495
854,1826
3407,895
3432,477
1743,2186
4096,4524
2535,2403
4527,2435
3321,3269
1613,157
3514,4749
2462,3498
1443,3769
4657,2350
809,2153
2293,2024
1843,839
3789,155
4822,3062
4469,4859
4230,3797
2142,3684
3595,2239
3860,1431
1614,2605
4682,1008
779,4417
1315,4979
3110,617
3147,4962
3702,698
1144,1285
1066,1546
2692,2375
3275,3599
3725,4123
4564,4613
3269,4431
4978,3003
2662,4397
2061,1340
65,2228
1613,1357
3407,4266
2000,658
3032,666
3260,3749
85,183
2104,256
1540,3327
1849,3949
1343,3394
2634,1618
232,996
3884,1815
1265,1795
2696,4247
2575,4235
1527,6
1245,4729
1717,2431
3037,4756
1125,2150
2150,4583
1536,490
4028,1692
4711,3823
2798,1882
1273,1279
3777,2136
1668,4713
3781,4783
4363,1047
3229,265
554,4265
4007,4300
739,1530
753,3000
4099,4404
1774,3412
1776,4288
1541,4994
332,2068
1014,4759
2335,3398
276,4482
4236,171
4011,3
515,659
4835,1873
4951,3334
85,1898
4954,3580
1770,1880
3894,1460
913,4559
1929,3362
4985,142
2376,1881
2159,4179
2164,4107
2440,128
599,1424
3975,1170
2138,587
4468,1144
4851,4814
3307,770
201,4839
1120,4683
4435,3568
1571,1957
2487,265
4081,4708
1687,4553
1457,469
2221,3018
1793,282
623,4333
382,4508
2852,2897
2516,994
1525,4184
4581,1975
4616,1513
2020,3756
550,3902
4538,4575
3272,3277
3370,2860
4181,4639
3477,4556
4003,1253
1580,401
187,3915
996,1867
3630,2596
4635,3839
3665,1277
4637,747
2556,3960
4900,1438
750,2604
1141,3985
4216,4346
2421,3452
3139,2045
4995,4381
4944,1924
4245,776
1311,4001
4145,4635
3425,114
1977,4683
3312,4589
3213,4026
1753,3233
4391,2074
688,2493
2550,1411
2953,1222
80,1424
4347,2755
1097,1299
3555,1781
321,4994
3033,1811
3027,2021
3059,4740
1242,1181
4543,3958
2159,4152
2452,1419
938,1692
1499,3090
3213,1424
2858,4887
1844,864
188,3904
3221,4991
4339,4073
572,3934
2592,4032
4508,3209
4590,3720
3287,214
822,4624
4836,1377
4024,69
843,1928
2030,22
1480,3885
3687,3200
2052,115
2031,4592
2836,2486
3285,1387
4691,307
1424,4703
1915,3452
2000,238
1700,999
42,4066
1285,492
3810,2188
3734,4115
1866,4711
2763,2630
587,4025
1229,971
4606,4630
3646,3310
2580,2770
4484,2311
397,4070
1953,2358
223,562
454,3190
4567,4857
2933,896
2542,3744
77,4447
654,1254
3018,2256
1831,3597
2975,987
1073,2419
178,3095
4601,3043
3162,580
43,3031
2752,3267
2143,2451
3198,1349
879,2414
362,2991
3709,1977
411,2701
2090,4000
136,877
1219,395
3019,4492
2664,2275
3684,3955
3274,2969
1992,3121
4113,2786
2002,2108
60,4776
3773,2413
2326,730
227,4173
1656,2595
1741,422
3751,4822
4953,4971
3235,3434
4925,2432
1653,1270
2923,3872
605,3331
3708,4911
461,420
3106,2450
936,3087
1974,4166
2579,3373
3218,4615
3311,3367
1196,4050
2231,3872
998,3701
109,1848
1482,4846
2938,4718
387,3358
847,729
4546,690
3118,3140
4272,1794
3132,4907
4105,2710
2326,3705
4935,2066
2944,406
914,3571
3803,2144
4175,2307
527,4042
3219,2388
3607,3607
4726,1454
1078,3268
4780,4054
2306,2860
104,1190
4024,1978
2013,4367
3941,1467
2011,1401
3628,2685
4956,4052
3366,1135
4608,19
306,1620
3247,2050
4613,258
4070,3614
1834,4734
2711,2029
3410,4206
1443,4958
4188,4512
1826,2494
3157,2413
2730,3533
2533,4812
991,3230
1021,711
1289,2330
224,4877
4951,1826
2402,2562
36,2366
4815,910
3336,3840
1065,2062
106,2951
4804,4416
4571,4939
4415,3699
3012,3718
477,3370
1758,4847
4853,3842
2821,4023
379,2878
1257,612
3169,1572
4268,2724
3050,4453
4225,4120
549,561
3531,1697
4262,4871
520,287
4772,4299
194,2272
1243,2298
918,3455
1626,2567
4952,2154
3030,2168
3151,1114
1416,229
4266,1225
1217,2046
2264,790
3329,1965
3812,837
2481,2952
4713,4396
1825,755
275,247
333,1933
2218,4606
746,4196
2911,3847
2193,4078
2684,457
3497,717
2970,2239
3408,3467
2455,2338
1910,3665
1531,1336
3201,4607
3155,836
4314,4340
281,4024
1471,194
1467,1768
2042,2159
1353,4239
2668,3529
4983,4929
4662,1382
978,3123
2007,2522
3254,4104
816,2223
2461,2680
1119,4860
2771,1853
4126,1749
420,2547
4269,4804
2028,4316
1199,3467
4980,1662
1075,1058
2975,431
1450,3160
2744,2601
3694,1422
1657,1595
530,1710
4026,3301
4157,1555
3925,1188
2796,2765
536,518
903,3082
4933,1390
2591,1601
2257,2612
4968,1309
4392,3611
3449,1705
1371,4791
2488,1705
2144,2707
528,574
32,2689
4322,1839
4996,21
2284,3494
1859,4115
2368,3354
912,4510
3023,4674
2705,1606
1641,143
898,4260
2341,1145
3399,3405
4446,517
2055,1989
4501,3105
3388,2375
770,4319
4773,4723
3501,2491
4469,2667
1389,2959
4139,2332
917,510
3092,1406
4246,3139
2053,679
3856,2299
607,4761
4264,2644
438,960
2221,594
697,739
3486,4586
2858,386
835,2331
1901,4447
686,2306
4648,2618
2566,3150
2865,2526
2340,3703
4983,2754
3499,4615
102,2184
3624,2498
3606,82
4852,2589
3726,4139
4508,622
34,691
3357,355
2036,1269
4611,3349
3227,4102
3693,4237
2495,956
3485,3599
588,3289
3999,1435
1828,4035
2916,1304
590,905
190,2589
1727,4378
218,2721
4754,4519
1539,4371
705,530
4843,2499
90,3699
4365,2210
592,2440
3523,4357
4538,4193
452,4705
208,957
2786,3664
705,4997
215,3716
4205,1925
714,2520
4038,2942
3783,1221
2741,399
1476,4052
4153,142
4664,568
4844,4466
667,3035
1087,2895
1631,621
918,3087
932,4864
2546,4030
4631,1399
4883,4894
2834,67
290,4373
3966,2097
2298,4472
4977,1674
4984,4515
3675,2730
4141,1383
2381,1844
4679,2438
2950,584
2899,2838
3977,1238
1373,1622
1039,1102
3734,4108
4155,2186
1192,2302
2400,495
4607,1916
1095,538
29,3427
1280,678
2571,3567
3959,579
88,721
3631,2499
4470,1130
4534,4199
3499,4500
500,2165
574,4192
3710,2442
4582,3666
3142,628
2991,614
708,3627
1889,767
4301,2841
1887,1563
3139,3757
2876,4650
393,3128
2164,793
3174,2318
590,4573
1784,1371
3758,4907
2572,4882
2612,4570
4127,4939
1709,4897
3486,2083
2282,2605
4629,1790
505,1709
1869,3115
1738,4806
4770,3156
379,2353
3669,3895
4103,531
2639,2707
3507,2385
2873,3341
2635,2481
515,740
3257,359
1737,5000
756,1636
2569,2015
4580,522
862,3457
2884,2607
680,1035
4975,3848
2364,2338
2097,1855
94,141
4753,4227
693,4767
1157,3760
3174,2615
1063,557
1846,2140
3430,3156
4300,1287
1737,3610
1269,1668
3951,3618
2428,3182
2784,2068
69,3297
4744,996
2434,4851
1730,3385
890,1837
4610,1816
1708,2307
1652,1340
117,2367
4812,3625
3593,926
3863,2012
1041,639
3190,4663
1768,1853
1355,4733
2407,3563
25,3774
3454,877
4770,4661
1124,115
1326,881
397,2828
401,2150
1063,928
2077,362
4882,3825
4358,4936
16,734
365,4056
2103,4997
3293,3038
3452,4563
3848,4855
3719,654
410,2332
22,4867
757,4523
1590,4025
2229,4111
1393,2797
4902,179
576,2755
4478,1105
1225,4862
3538,852
1775,1390
573,3325
4194,2481
3179,609
3447,3474
4658,4628
1633,3930
989,1906
4636,1018
2456,2996
999,4183
1158,3375
4671,4867
1483,4395
1133,1562
3027,1560
4546,3582
1342,46
184,849
879,557
2881,2848
3025,1685
480,3930
4556,4993
1955,33
1247,3873
786,4319
524,2764
3945,3249
2047,2442
2219,1274
1632,1368
1946,4127
1652,3857
1639,3582
3732,746
4647,2884
2623,2979
4845,2315
4235,1974
3022,4398
2038,3069
3306,1797
3895,4294
1861,2838
1554,4511
3678,319
1681,810
4440,3173
2106,3277
216,4461
4468,2991
2876,424
921,3149
2444,1708
419,647
1805,3875
1806,3671
2618,3465
1779,2772
3165,3998
461,2123
1802,1809
1328,3792
3043,4320
1048,324
2748,4626
4909,608
3357,2131
3078,3984
4065,967
3943,4582
3893,3925
2450,1372
3363,4492
1648,908
4904,2892
2851,975
2420,901
1765,2583
2318,2557
1828,4560
2348,2159
2174,67
1613,479
4558,40
890,4499
3671,4468
3044,4727
3892,674
4953,4101
4100,4508
82,3657
2490,14
470,1812
59,531
4496,2364
11,1798
539,4264
1762,4825
3033,4588
1000,2531
563,631
99,4079
1135,294
4685,4480
1577,1808
896,666
2595,2263
3685,4441
4818,1684
1562,3216
4991,839
2223,1858
4684,2852
841,244
440,3204
809,940
2541,1891
4510,2958
3244,3303
2859,4168
86,4897
3384,1150
403,1560
1876,3210
408,1230
3855,4824
3208,102
61,1150
1934,4072
4744,1809
2707,3813
3914,1564
3758,3424
4719,457
1258,3787
2838,2500
1520,3757
1532,1028
4500,4486
4455,4478
1630,3269
2154,2348
860,137
700,83
789,756
3564,2579
2714,4809
4152,587
4101,3819
1266,3630
2825,2845
677,3755
3368,1593
295,2989
3763,1559
3223,4032
3251,931
400,198
318,2990
4431,4163
1732,1640
4514,3130
3202,3264
454,2564
4848,4005
1160,1004
3224,461
756,1752
735,3928
991,4036
65,775
4746,2710
3871,12
2686,2073
2783,1168
492,3088
79,628
2041,1329
4091,4987
4322,3792
2315,172
2705,3785
2902,1627
303,3042
656,4182
524,4428
4856,333
1713,4341
2030,567
3084,1797
3295,2143
4335,3471
1549,694
532,2762
4260,1155
4415,2556
2010,4647
4093,4554
3842,4805
655,2769
3751,1484
3053,1616
93,4866
511,2390
4331,1607
1501,3688
1291,4047
1371,268
176,310
4031,2096
3642,1545
1674,1275
1765,1114
1871,3279
1532,2755
1061,3116
3403,3038
3496,1967
3088,153
2684,4314
1345,2723
3821,779
2840,649
4910,3972
4644,503
1176,4672
1685,4589
4703,2170
3714,4763
1540,4702
4720,641
468,4584
12,3544
3652,2091
3957,3939
3802,328
3058,1781
4158,1070
1032,3125
2989,4368
144,4356
3492,360
4804,2186
1608,2048
1417,417
2328,832
730,2241
2628,4324
422,1313
878,4282
2035,1478
946,4586
1197,4744
4264,2610
2401,204
4452,2914
4136,139
3275,2438
1699,1502
1553,4009
2901,467
2019,3026
3479,1666
789,1380
2519,3903
3400,1340
762,3204
1112,2013
3020,3166
3753,2290
926,410
4135,989
3736,2450
4500,2665
641,1013
3627,3788
4558,2222
2028,943
3996,3640
1792,3127
4124,532
1209,3198
2208,2507
1079,2463
1840,2346
3343,1650
399,3127
1825,4737
4693,302
3316,1324
1303,2577
4374,3718
4003,4382
2403,4928
4806,379
3767,613
2314,437
2475,2233
678,766
3364,3453
433,4731
3140,1322
1059,2075
4875,3617
4934,359
1642,1369
1313,2918
3724,579
2970,3528
3422,4019
1671,2925
645,1799
1180,335
1873,4623
2843,4153
2876,4215
4826,3891
214,3782
3234,2418
990,2233
650,4944
3619,4995
1086,2880
1945,2241
2626,1749
2853,808
135,3447
2064,4820
3122,1544
2753,2138
1785,4672
2990,499
184,907
204,603
2753,3452
1813,2517
3384,4380
4467,3519
2494,3798
4344,1449
851,4519
2602,3342
4676,3004
3175,3769
1383,455
374,4966
1622,649
4375,1945
2688,4037
652,4311
1874,1765
4683,2686
701,3513
3145,1607
2089,942
1762,3089
3550,99
3126,4235
511,3477
274,3347
921,85
70,4953
58,4459
344,2501
2480,1663
2069,1392
1391,4037
2397,4276
1972,220
3036,992
3960,1142
337,3527
148,2422
2742,2039
3223,1657
3503,4852
2407,3513
4587,2252
4123,2623
2682,3040
199,2243
2392,3211
1793,1421
1913,3970
1275,4365
909,3095
2610,3677
3503,1293
1383,3505
1262,2672
1312,2174
426,176
803,2535
4801,958
4562,2574
3460,3050
2884,1729
4584,3664
727,4228
3171,4057
913,1002
4636,279
2746,1712
3169,4847
667,1693
1712,4203
3713,4800
1726,3850
1095,3747
4337,4560
1977,2693
4383,647
4981,1326
3803,202
840,3068
4347,3205
3985,873
2634,4255
2233,1302
643,4478
2657,2704
3098,4288
1686,791
782,3249
3561,165
860,4284
1662,2956
4172,4122
1759,3918
4617,3924
336,1944
2856,3865
3881,1780
4621,4043
1059,233
359,2920
1830,1670
1242,41
1757,2540
2818,391
3889,3702
1793,2242
3104,4333
984,2070
1087,749
466,205
1810,1933
4855,3714
3942,1861
4443,3391
3668,259
3287,351
4143,796
1556,1212
1858,4600
1067,4421
4072,3503
577,145
4156,392
794,694
4144,778
2270,1699
1029,406
305,2709
3649,2187
2412,1948
693,3438
1498,6
2802,2057
3924,1784
3779,3093
3812,54
2580,1346
1308,968
1636,4577
4445,151
1982,1056
2024,4147
3555,3651
103,517
2594,1090
1068,3638
3808,3648
2401,2378
1573,2141
2914,493
3778,360
1902,4923
1624,2959
2346,2970
1560,3396
880,3715
389,487
1592,28
3722,2903
1046,2680
3534,3209
3836,788
3452,4329
4641,1724
2827,3398
3901,4634
1883,2109
3624,906
2310,2960
1590,3046
2550,4157
4878,1961
4077,2867
3332,1481
1002,3505
2618,2711
4476,4326
4277,4517
785,1228
4691,4387
4297,1689
2213,3787
195,1928
1007,4260
1969,1206
1610,2719
4902,4337
3875,714
332,449
4676,4057
4917,4010
966,3167
2820,3888
3869,3135
1822,1639
2453,3656
71,2245
3101,2781
3937,4637
410,1840
1420,6
575,3995
3602,4973
3803,3720
3547,449
2564,4003
4816,446
703,896
3232,298
3652,2100
713,123
2762,2217
283,2944
1215,408
1271,950
2971,3505
237,2539
1253,3883
2870,3753
3443,735
268,1954
3672,4470
3509,1583
1855,4651
1611,744
883,507
3390,3326
2237,1496
226,3496
2855,3801
3520,1434
4913,1178
2022,4198
4161,2250
4873,2837
4074,239
462,1190
3469,2076
2454,2908
4268,1998
3237,333
669,2590
2976,3975
545,4931
3719,2197
1325,3728
3428,473
4329,242
3057,905
3223,4966
4804,4217
2680,4445
436,3824
4361,1111
1357,3680
4943,1340
3598,2212
2793,3570
3757,1186
1901,872
1536,3645
3831,3806
2124,192
252,3627
3425,179
729,930
2526,2156
1054,4841
2774,929
2171,2063
4314,1157
4260,2923
1675,2061
3608,1672
1281,1514
1652,2799
3883,3134
930,1200
467,1036
2303,1348
1399,1156
1608,53
900,1932
3740,3204
3200,1375
4720,403
457,2297
4538,2739
3191,4328
3307,3305
2509,3919
4185,3465
1069,3853
3794,1815
4777,4780
1421,1925
1561,1987
1417,177
3404,4789
758,3580
805,3549
4274,464
3452,1875
2731,4912
197,1137
4576,3868
84,4300
2647,2744
4998,2767
2266,2020
2949,1581
2985,837
1055,386
3051,4530
445,3275
4785,500
4457,4413
25,4893
655,391
1486,340
4517,4804
2697,3062
855,966
3723,710
4399,4540
2052,4013
2133,983
3040,1650
2297,4443
3508,684
2125,1856
4063,2897
1437,3170
523,1192
1240,408
3081,2620
1645,2488
4801,4958
801,3101
3752,2734
1008,4855
4343,430
1097,4603
3565,2903
4549,606
2831,1913
2126,4167
2541,4032
1208,265
1334,1120
1684,2563
1719,4672
2579,2941
1938,1039
2092,2218
1751,3653
103,309
2011,3221
1255,4476
3495,58
1657,2818
4755,1545
2859,66
4636,3733
324,1496
704,3425
1595,935
613,1666
3841,3571
3164,2195
1598,3344
2347,863
2823,734
3277,1810
4104,2944
3494,3111
4837,3806
1846,2942
3078,4454
2793,4951
3293,1053
2934,1085
46,2579
1746,3296
3092,4982
790,3420
470,1900
4307,2291
3320,2731
1746,3777
1219,4311
1991,3219
177,1189
3701,4726
2844,1291
4550,534
2634,4066
2043,1353
4569,4221
551,3523
4814,3271
3035,2059
1859,4301
3319,3293
3357,4070
2445,1422
1916,174
4894,1901
1309,3381
693,201
2614,4658
3180,4249
58,3414
1448,3593
2716,4300
4212,4658
983,2679
3147,3949
2258,3608
1428,3886
2100,2020
2397,2403
3667,3913
249,1147
1707,3505
2944,2195
4785,315
4127,363
4695,1363
4538,3779
3203,91
2681,13
1913,607
1146,3331
1244,1226
1307,4810
4979,3555
2159,1831
2583,2372
3042,246
572,4176
1865,569
665,1741
563,334
1072,2316
4001,2465
2476,2801
2429,2931
4134,2031
4990,342
2072,381
796,3050
4157,218
881,1262
2699,3884
3673,1172
4670,3448
2311,3717
1302,4580
2050,654
4961,3682
1736,3938
1056,4259
4793,3610
4126,1793
4287,3809
2560,4975
4696,4709
4191,4478
1692,2115
2087,4339
1574,2413
416,918
1677,4397
3838,504
1295,4236
2397,4612
7,4039
3267,1554
4899,1617
728,758
3910,3377
2772,2594
3533,1635
4989,2769
3096,3928
576,2495
3350,3955
3040,811
1808,3879
125,833
3871,1374
4094,2275
4166,811
3961,1505
3723,2810
898,2577
1486,208
4187,2950
3128,4671
3483,1528
2218,3280
4134,2149
3819,403
2482,2347
1165,4114
1372,4216
2854,4753
2095,2137
3125,1693
1642,1182
1956,1934
3230,1102
707,1494
1354,1481
2921,2019
4255,2973
3350,2496
2135,746
2190,4182
1903,1397
1429,2394
913,2998
3222,4751
3340,769
3480,3402
605,853
2600,1855
4100,1098
4605,2217
333,3654
1054,2916
3872,2128
1161,3888
4448,2294
1213,1563
3226,514
4783,4933
3324,1204
1632,2150
381,4748
155,1889
998,3506
1856,1847
805,909
4262,4928
4595,2108
3507,929
520,2510
4448,4071
4848,1461
1344,1605
3752,3762
3974,3859
2118,2107
667,4127
223,1696
1562,559
422,3566
883,462
4951,3359
2165,4332
4809,3851
4787,371
3974,691
1524,2324
675,3083
4271,647
1610,2495
3676,1662
894,348
1312,3219
4236,3162
2403,3888
2728,4913
639,2008
1003,3250
3751,3281
2963,1615
2571,2663
379,2238
2838,1656
463,1838
512,2243
696,1478
2132,1658
4021,4149
2656,4296
772,4352
163,37
2826,2556
209,1999
1186,4639
1499,1122
2880,827
1479,2567
127,2415
4145,4887
2627,2916
2382,4199
1039,905
1761,2340
540,463
3816,4306
680,4286
1818,2415
43,4996
2537,3527
2102,4358
2477,493
4238,1162
117,1149
2133,4750
823,2076
2190,3148
740,747
3845,343
54,3247
1759,2315
2483,2332
3108,2363
637,2690
1560,2953
4780,2390
1869,4478
330,1855
905,4298
4256,2286
3465,1294
3325,4258
856,4028
3857,681
4266,3089
2572,3606
4670,1422
1590,3482
2359,1286
3351,2008
1174,310
4165,3015
2411,3168
2528,2965
257,2497
3491,1140
1903,3065
2395,1685
1393,4132
4116,4842
4544,3149
569,1493
2724,2157
4351,3607
2854,1
2752,1409
2849,858
4073,917
102,1428
4672,3000
961,4047
2473,352
2224,3435
4922,3346
2861,3825
4860,3069
1332,2573
2626,2314
790,49
536,593
1033,2257
201,3838
4707,3613
3190,2662
4623,3461
3514,4387
1998,3361
1800,559
403,2554
90,2523
208,3941
4034,1188
2424,4323
3125,757
936,3213
4675,3212
3316,555
4971,4608
2961,2012
4177,2578
4690,2384
2919,4829
1627,682
4472,3229
322,977
859,2460
4627,1440
1921,4211
2539,956
2247,3943
1244,1038
1139,225
1533,4497
2943,1780
3459,2158
1507,4967
1507,4344
818,1439
837,3791
305,2537
91,1220
173,2839
3563,96
668,632
3086,4027
1023,3577
4707,4939
4873,3163
3848,1569
516,3222
3743,1642
3205,1254
3973,3984
1710,3101
4704,1948
2261,1434
4006,1868
1035,3069
2327,1512
1237,2442
1311,2920
2245,2936
966,1793
3828,2715
1391,1433
4009,4155
3051,4140
1854,4983
1931,3338
199,4264
3542,2289
118,2245
2968,870
1185,1702
2389,321
1320,111
3431,4299
1247,911
2290,3218
4133,4782
1573,3236
130,1591
3789,4848
4071,1316
3623,679
2045,3904
3242,461
1390,518
1900,58
362,1605
3155,2599
3851,1893
728,2708
3320,1901
487,1942
1705,864
1855,4695
503,1137
1671,123
4871,3044
3958,3641
3839,4846
67,4975
1417,2841
546,4880
2833,2966
1690,3857
3216,863
290,3047
3102,2061
4663,962
631,2938
2196,255
118,9
531,4607
1543,3803
1889,3409
4469,3543
1755,3171
220,1966
2045,3508
4139,3006
654,1226
3387,3245
3916,4866
2401,4211
967,1243
1902,427
321,4209
71,1196
179,3689
3008,233
893,4735
569,3714
2606,2107
656,3909
3087,3651
4245,4743
227,373
1248,650
1806,4326
1796,3111
592,3111
37,2736
2499,1778
1946,4861
2835,4361
2506,774
4503,3515
4988,3607
2213,3713
4210,3539
3689,1888
4489,4195
192,1934
2882,4598
3879,4101
2886,3641
4537,4959
2840,3911
3832,4106
4139,1459
3231,220
224,1264
1377,1188
2003,4616
2885,4031
3781,4685
282,1303
1517,4790
1865,945
4400,4456
771,2862
136,4107
382,3940
2508,1861
403,3469
2581,1222
1588,3831
2845,4404
783,1851
2754,2685
77,1472
1354,4980
3976,2413
1729,2429
3636,844
2647,3980
2175,24
234,1686
2454,1508
4777,1325
1039,4284
3035,1429
3735,1137
1097,840
3474,2577
3420,4746
3025,586
4378,1529
622,4786
1512,2577
870,3454
1062,4242
4327,471
4887,1266
4178,3892
1130,3699
773,1437
4264,1008
4183,4677
3979,2412
3708,3503
4165,1397
1503,4719
2655,2586
2627,353
3644,2945
2672,3606
1413,1617
634,4433
1001,1607
3047,4356
1508,3991
2012,4831
2916,228
3529,1806
3660,1817
1637,546
3564,2525
3329,630
2627,3688
4535,1568
1220,3526
489,527
2378,1669
1296,1631
2119,2689
2467,3886
1431,4231
2075,1025
4809,4575
3253,2605
4314,2195
3639,1267
685,760
123,1626
644,4249
2136,396
4789,4352
3631,4094
2918,4084
657,4483
2895,4269
2962,4499
406,3959
778,4223
4288,3014
4835,1209
745,4979
3015,2176
996,2580
96,3127
2955,4868
4949,3280
4282,4107
4948,3630
765,544
3702,3783
2796,4601
3438,1652
1187,2641
348,3969
1252,2469
1943,2781
3277,2728
3625,2899
4644,392
2253,4577
1617,880
4014,1435
2800,4623
4847,438
760,4454
3454,1643
84,266
1637,1704
958,2923
2948,1584
3780,867
1489,1816
3093,3462
2847,4645
539,188
4075,1923
1210,2898
3339,4291
3153,2474
4860,2597
1201,1104
2267,4855
375,267
2383,3744
392,3266
4758,4577
2761,2719
1484,1838
2898,3835
2354,1758
4804,2655
3072,3456
421,4561
3041,2004
4932,1450
2416,3129
2006,339
26,3794
200,4781
2656,3911
2458,566
2192,4890
3120,1508
4479,4139
3189,416
2477,922
2885,234
4019,3378
2979,3803
2328,814
677,2285
3568,922
3486,160
4326,4484
3848,1180
2056,4137
2729,4236
2538,3818
538,1559
1909,4480
4707,3645
753,1096
3913,1624
4267,4637
1980,4454
3267,4417
1389,3799
2151,2328
1438,1169
4273,1699
2035,3918
618,4980
1096,2783
2249,4609
1842,2375
2148,2084
430,4475
706,2915
4520,3221
2910,2638
2509,690
2916,4153
3433,2612
1133,2370
846,3697
3589,251
2809,1260
3312,2480
4455,4251
626,2708
3208,471
4704,2347
3954,1005
791,4371
1995,3646
2365,856
2288,2960
3587,3026
1149,2934
4257,1885
3859,4374
1564,1559
2903,3874
250,4470
2902,3426
953,3849
3789,196
4029,2374
4803,2006
2107,873
2640,2079
4822,3413
2374,1854
3665,3667
965,3869
449,422
2041,2662
1192,2942
2106,3904
2344,1898
2014,876
3979,3882
4371,916
3469,2834
1077,1578
4527,3761
451,3735
1261,1310
4577,4677
4949,2634
2772,2755
1899,3250
1587,3906
1764,65
1745,1974
1495,3777
355,722
1989,1096
2810,3361
4824,2320
3895,4649
1396,174
4045,1688
3919,212
4583,670
4957,4903
3724,4088
1175,3868
1588,1070
3073,1744
4204,3005
1220,2233
3063,853
2234,3033
4380,3592
2027,1793
210,1667
1551,155
1933,3442
1464,3370
943,1462
1869,477
1204,536
2811,1751
4197,2874
3164,647
1803,2365
4674,4350
2350,3044
2554,6
3860,856
2575,4288
4422,4886
473,4044
2720,4097
4527,305
937,2906
809,4872
3111,4573
1802,233
1401,286
1525,101
1152,865
2448,3411
3771,4774
2627,143
394,2107
3750,1429
200,3615
2614,3046
1446,2803
137,1614
4637,1697
4166,4919
3662,2092
3602,2204
1045,692
834,1141
658,4480
2745,1696
2082,2263
357,46
3487,1194
936,3671
4017,725
1618,2402
4466,3781
3153,80
3463,4146
653,4093
1688,534
4623,4594
2487,2721
1456,280
4449,168
4097,3369
4608,2304
2916,2351
4563,463
1947,1113
546,1553
2801,4808
3840,3078
2670,3290
933,4441
3440,2906
1730,2579
1791,902
449,3711
2264,764
3238,888
20,78
4368,4337
2678,4414
4229,2203
16,314
4814,4863
4698,798
2056,3735
3472,4200
4521,1250
673,815
3436,1471
774,221
3231,101
4056,3122
2181,840
4104,3272
1210,2577
1996,611
790,3687
3723,3222
3989,4362
3078,2245
1141,1115
338,2745
2514,1270
1939,2456
995,2894
3689,2334
3922,3957
3470,523
4007,3578
3803,94
1663,4053
78,3543
2969,1805
3297,3022
4825,4338
2120,4106
1760,4654
1510,1513
732,2767
3970,3631
4032,4180
1903,4829
3759,2836
3917,2911
650,376
880,4269
4749,4700
4862,3449
1993,632
1781,3464
4676,3313
1461,500
3167,3659
932,3459
2370,2948
1440,3689
297,4509
1694,4878
4006,4848
4568,3771
4972,3974
420,1575
4390,4294
559,2877
2501,2657
598,2076
342,584
952,2014
2350,1187
1694,4295
703,4964
3250,764
1064,4122
4800,108
3174,4552
4318,270
