IdE,certificat_entretien,CodeMembre
391,2004-12-24,44305
392,2021-05-24,47622
393,2021-11-08,93791
394,2017-11-18,84765
395,2017-08-13,29230
396,2018-05-20,96415
397,2021-03-13,11135
398,2022-04-25,92965
399,2020-03-17,54792
400,2022-06-19,85913
401,2020-05-10,99411
402,2011-07-28,76996
403,2015-04-05,81614
404,2014-08-03,28840
405,2024-04-22,92458
406,2019-03-28,82130
407,2024-06-25,15247
408,2024-03-21,75579
409,2005-07-22,90903
410,2021-04-05,8097
411,2016-05-04,73501
412,2020-06-14,91243
413,2007-02-11,86785
414,2022-04-10,15123
415,2008-05-29,12631
416,2014-11-12,16041
417,2013-12-18,61708
418,2017-03-08,67744
419,2022-03-10,82772
420,2014-04-21,5069
421,2014-12-05,35012
422,2001-10-08,80717
423,2008-05-01,97489
424,2010-07-12,99662
425,2002-07-08,77854
426,2020-12-22,97742
427,2024-10-23,98845
428,2014-04-22,83627
429,2008-09-06,18004
430,2009-11-27,75945
431,2024-10-29,50964
432,2024-05-15,16366
433,2022-04-08,98473
434,2024-05-18,2054
435,2014-05-31,46051
436,2004-05-30,93226
437,2020-01-28,59567
438,2023-05-04,79597
439,2019-07-29,15275
440,2023-07-06,47982
441,2011-07-25,33149
442,2001-06-08,2505
443,2005-05-22,95855
444,2024-12-11,35833
445,2020-10-17,32057
446,2023-12-22,41690
447,2019-10-24,73556
448,2019-09-08,59542
449,2018-10-28,84512
450,2020-02-24,11452
451,2009-05-23,49413
452,2006-04-07,46267
453,2024-01-12,17992
454,2015-01-08,89725
455,2000-03-17,83308
456,2024-03-22,5531
457,2019-10-26,74776
458,2009-10-23,85748
459,2003-06-03,72442
460,2019-06-01,55717
461,2008-11-16,68386
462,2021-03-28,84621
463,2011-09-23,36926
464,2010-04-22,36482
465,2009-08-01,44831
466,2009-11-20,72657
467,2022-12-31,59369
468,2020-09-28,9807
469,2009-04-25,2786
470,2017-12-23,94368
471,2020-03-26,84828
472,2007-05-07,30352
473,2024-07-12,6107
474,2010-03-13,37106
475,2017-11-20,45302
476,2000-07-21,51476
477,2014-04-29,80543
478,2017-03-29,14919
479,2022-11-07,13555
480,2016-11-26,99795
481,2015-11-28,79874
482,2024-04-16,34869
483,2013-06-20,65450
484,2014-02-09,59448
485,2024-04-07,68177
486,2021-04-03,91644
487,2015-04-22,21834
488,2023-04-19,85728
489,2021-05-15,66350
490,2016-02-01,4231
491,2010-11-06,63209
492,2010-12-01,78367
493,2009-03-29,37565
494,2002-06-26,39363
495,2025-01-21,62684
496,2012-08-07,93093
497,2009-03-06,47465
498,2011-04-12,60035
499,2011-04-30,83644
500,2020-04-18,19482
501,2018-01-24,65732
502,2022-11-10,91339
503,2015-05-07,43954
504,2008-08-19,15403
505,2024-11-27,43327
506,2018-05-08,68956
507,2008-05-21,84651
508,2011-06-21,56345
509,2021-11-12,55745
510,2020-06-21,67891
511,2017-12-29,6904
512,2020-12-03,36576
513,2007-09-20,83895
514,2012-04-16,65197
515,2021-10-29,1689
516,2022-11-20,3576
517,2021-11-21,76304
518,2011-10-22,58193
519,2014-10-21,59622
520,2007-05-10,60723
521,2023-11-30,96348
522,2006-11-25,58113
523,2012-11-06,57252
524,2020-10-23,19186
525,2018-01-26,74822
526,2023-11-17,32327
527,2018-09-07,22509
528,2006-02-21,46882
529,2013-05-17,7205
530,2013-03-09,67493
531,2014-10-09,1716
532,2017-10-04,31109
533,2003-10-23,46792
534,2001-03-05,67076
535,2022-02-24,98821
536,2022-07-19,21317
537,2017-06-30,90470
538,2015-06-27,68318
539,2021-11-06,89431
540,2016-12-16,37360
541,2018-01-08,6772
542,2012-02-13,47545
543,2021-04-22,54275
544,2008-11-02,96790
545,2015-08-10,44177
546,2018-11-24,5685
547,2009-11-28,92497
548,2014-04-27,46292
549,2023-10-09,65106
550,2019-02-28,25668
551,2009-04-02,85066
552,2007-12-22,51232
553,2010-11-04,4390
554,2024-03-28,15836
555,2011-02-10,80595
556,2020-06-01,19696
557,2023-04-25,75716
558,2016-07-18,13954
559,2016-12-27,91644
560,2019-10-28,87143
561,2017-03-24,44010
562,2003-09-26,96750
563,2018-09-21,46262
564,2009-09-13,41999
565,2022-08-04,70856
566,2009-05-12,60130
567,2002-08-23,77456
568,2020-09-15,48632
569,2022-04-03,73567
570,2004-01-05,29913
571,2017-10-18,86577
572,2023-10-21,32991
573,2024-04-03,42708
574,2003-06-22,98724
575,2015-10-17,89472
576,2024-12-17,32196
577,2002-12-18,17427
578,2000-02-14,25016
579,2000-04-23,74575
580,2021-09-30,68170
581,2009-03-05,49618
582,2016-04-30,26755
583,2010-07-08,50987
584,2016-02-22,37536
585,2012-05-16,75498
586,2024-09-13,81711
587,2024-11-18,51879
588,2012-01-19,34537
589,2003-12-24,14650
590,2016-12-06,16492
591,2015-04-28,74765
592,2017-11-18,52510
593,2006-12-13,64693
594,2024-04-14,32572
595,2006-09-24,66673
596,2004-03-22,78918
597,2016-11-01,65919
598,2008-11-28,35716
599,2023-11-28,53279
600,2016-11-11,17099
601,2012-03-31,67267
602,2000-10-13,78493
603,2025-01-14,61879
604,2023-11-04,748
605,2023-03-27,29094
606,2013-02-27,24949
607,2021-11-06,46042
608,2006-08-23,75640
609,2003-04-02,26419
610,2010-05-20,81363
611,2022-12-04,70321
612,2024-11-12,10671
613,2020-03-18,68031
614,2015-11-06,19151
615,2018-04-09,66114
616,2014-05-19,83846
617,2009-11-11,75056
618,2017-08-15,33230
619,2024-04-11,69714
620,2019-12-30,91394
621,2018-04-03,79314
622,2023-10-14,24349
623,2023-04-19,61003
624,2015-11-12,80656
625,2020-03-09,84579
626,2012-06-22,89900
627,2023-03-21,17641
628,2013-08-20,14193
629,2012-11-28,57436
630,2014-09-02,47371
631,2006-10-27,29601
632,2019-11-02,53019
633,2015-04-12,16481
634,2020-12-11,56213
635,2023-01-26,32290
636,2014-10-04,25615
637,2023-10-07,87214
638,2021-11-30,27430
639,2023-02-12,61081
640,2022-12-07,42402
641,2015-08-28,75580
642,2004-12-01,60086
643,2015-03-14,39997
644,2007-07-09,90335
645,2024-05-15,1871
646,2020-04-18,91723
647,2021-02-20,66894
648,2019-06-01,62449
649,2015-03-23,24348
650,2024-06-07,85214
651,2015-05-11,48962
652,2015-07-26,35599
653,2023-04-06,93355
654,2022-05-12,87740
655,2024-04-01,22482
656,2007-09-01,32041
657,2016-04-11,61378
658,2024-11-01,27705
659,2012-06-15,62607
660,2006-04-16,67953
661,2023-07-29,76044
662,2019-05-02,58636
663,2020-07-09,84969
664,2010-04-22,80063
665,2005-10-04,91702
666,2024-04-13,4724
667,2018-05-09,89921
668,2024-05-14,67207
669,2013-01-13,64576
670,2024-12-10,8478
671,2020-04-13,80784
672,2004-03-28,8491
673,2000-09-06,42701
674,2008-11-08,30327
675,2021-09-30,8796
676,2005-06-15,10484
677,2022-11-24,50615
678,2024-04-06,27828
679,2019-09-26,20465
680,2021-12-20,76310
681,2016-10-08,75551
682,2004-10-16,70893
683,2001-07-13,28093
684,2006-10-23,21501
685,2005-07-13,90878
686,2017-09-14,61704
687,2019-11-26,3748
688,2003-03-07,21674
689,2002-04-09,99527
690,2013-12-07,95276
691,2023-04-05,88697
692,2001-09-19,25179
693,2014-12-08,20339
694,2012-11-01,75300
695,2018-02-05,64110
696,2022-11-11,80465
697,2009-03-28,50934
698,2013-11-14,41603
699,2013-07-30,50250
700,2016-11-12,58234
701,2020-04-18,43004
702,2023-04-07,26897
703,2017-11-10,65366
704,2020-09-09,81965
705,2012-12-06,95228
706,2020-05-19,80809
707,2021-10-27,28427
708,2018-11-08,93737
709,2014-03-27,65465
710,2018-12-11,3418
711,2020-01-14,72987
712,2016-04-18,38029
713,2018-05-02,74169
714,2002-08-10,15528
715,2004-06-16,34678
716,2004-02-12,53601
717,2014-02-11,72769
718,2012-05-01,25118
719,2016-07-25,98236
720,2015-05-08,187
721,2023-02-07,94308
722,2005-11-15,92594
723,2016-03-19,11495
724,2009-04-09,33147
725,2023-12-03,24990
726,2008-04-11,30154
727,2021-04-26,68507
728,2024-03-23,30941
729,2023-06-30,30276
730,2018-11-23,27574
731,2008-11-24,20476
732,2003-05-02,16199
733,2022-04-15,81742
734,2021-05-06,15725
735,2015-11-22,72592
736,2011-11-25,15675
737,2023-12-18,4641
738,2001-10-17,33073
739,2020-03-04,59364
740,2024-10-21,52126
741,2004-04-03,31863
742,2015-09-19,77084
743,2023-11-21,34985
744,2008-12-04,60126
745,2020-01-10,96716
746,2017-09-12,40487
747,2020-10-29,26244
748,2002-05-18,98361
749,2022-11-02,69535
750,2015-10-11,15743
751,2009-02-05,68085
752,2024-05-02,79089
753,2013-07-06,26582
754,2020-05-01,85075
755,2012-10-14,19588
756,2011-04-18,52251
757,2021-06-16,69883
758,2001-03-03,81663
759,2021-04-08,84296
760,2022-02-19,57470
761,2017-02-18,36041
762,2020-05-04,27293
763,2014-07-07,80342
764,2014-11-24,95842
765,2023-09-28,7055
766,2017-12-15,32266
767,2011-08-29,66846
768,2025-01-07,4301
769,2010-07-11,84472
770,2002-02-11,3805
771,2023-10-18,7737
772,2002-12-31,72524
773,2005-04-06,60129
774,2020-10-01,49240
775,2022-04-05,90593
776,2014-04-24,10971
777,2021-10-06,17250
778,2021-02-22,16943
779,2013-03-31,91830
780,2021-09-20,33762
781,2013-11-04,13002
782,2014-03-29,41643
783,2012-09-07,88680
784,2018-05-07,40201
785,2025-01-19,69629
786,2003-01-14,30635
787,2009-09-03,90153
788,2024-03-21,60671
789,2013-06-12,1687
790,2007-12-30,63977
791,2021-11-14,1012
792,2023-08-08,64250
793,2015-11-25,34263
794,2013-12-12,32881
795,2001-03-28,59147
796,2024-05-21,31535
797,2007-03-09,79817
798,2007-06-28,14885
799,2008-11-21,86096
800,2022-09-11,30315
801,2021-11-18,22218
802,2005-06-09,72656
803,2009-06-21,33920
804,2017-02-01,50645
805,2021-07-06,59985
806,2018-04-27,63148
807,2002-09-24,60800
808,2015-04-23,69328
809,2001-12-10,17394
810,2022-06-07,92665
811,2023-04-07,19355
812,2021-06-26,38466
813,2020-06-05,56537
814,2024-11-05,63134
815,2023-03-23,59353
816,2003-05-18,67592
817,2004-08-17,68975
818,2023-11-27,92575
819,2014-07-15,91337
820,2006-06-14,47818
821,2013-11-09,29869
822,2022-09-11,12858
823,2017-04-10,45961
824,2008-05-11,63887
825,2023-09-20,1821
826,2022-10-27,14914
827,2012-10-19,17889
828,2023-05-07,41904
829,2020-12-24,96240
830,2015-01-20,26718
831,2015-12-09,50368
832,2021-12-03,15474
833,2014-10-26,19666
834,2013-04-06,48525
835,2002-08-15,60421
836,2010-03-30,43615
837,2001-05-11,5653
838,2021-08-31,72056
839,2020-11-06,7311
840,2018-11-18,57233
841,2001-12-23,55547
842,2022-12-27,92550
843,2016-07-20,17197
844,2024-06-12,65721
845,2009-12-07,53548
846,2025-01-06,49054
847,2000-12-07,67984
848,2011-12-05,3491
849,2008-11-01,98975
850,2023-04-08,25784
851,2017-02-10,29195
852,2002-06-07,21069
853,2021-05-01,74928
854,2003-03-12,91184
855,2007-01-14,51208
856,2022-03-03,21008
857,2020-08-15,42009
858,2014-03-11,43089
859,2011-12-23,93339
860,2013-05-18,15299
861,2014-02-06,95466
862,2008-03-28,19274
863,2020-04-27,95150
864,2021-09-28,61707
865,2020-10-28,31153
866,2001-08-31,49513
867,2024-01-28,87044
868,2019-05-18,71191
869,2007-05-21,28116
870,2007-10-11,71665
871,2022-03-09,51229
872,2024-04-18,30933
873,2019-04-12,84337
874,2004-10-12,29392
875,2009-07-13,3095
876,2000-02-07,75199
877,2023-09-26,91957
878,2022-04-30,45595
879,2021-11-22,96477
880,2020-07-13,29601
881,2008-05-05,34623
882,2018-02-25,81587
883,2007-01-26,54641
884,2010-02-24,52039
885,2023-12-19,29545
886,2013-02-25,56767
887,2017-04-21,95021
888,2018-06-07,83989
889,2001-08-08,72775
890,2023-06-20,84069
891,2020-05-14,26876
892,2010-06-15,69871
893,2019-12-29,279
894,2016-07-21,41370
895,2019-12-14,1113
896,2017-05-13,86966
897,2014-04-22,17291
898,2017-11-24,44822
899,2020-11-20,86165
900,2012-06-02,64422
901,2019-11-04,54352
902,2019-06-09,13649
903,2006-04-30,69703
904,2003-11-24,7442
905,2023-11-20,14354
906,2021-01-17,92998
907,2017-02-27,89418
908,2022-08-03,65300
909,2021-04-15,95406
910,2023-06-26,33941
911,2020-10-15,70367
912,2010-01-05,41218
913,2015-05-06,53032
914,2020-10-15,86527
915,2015-11-04,10794
916,2011-12-25,14439
917,2019-10-22,502
918,2011-04-21,49939
919,2013-06-18,78864
920,2003-04-29,69117
921,2010-10-12,95482
922,2017-10-29,24402
923,2014-03-14,26995
924,2016-11-29,23166
925,2023-11-16,7228
926,2012-11-06,26506
927,2008-12-07,77726
928,2013-06-04,31166
929,2021-11-07,83180
930,2019-12-06,72869
931,2017-09-01,15645
932,2022-04-08,73068
933,2007-09-14,36996
934,2002-11-05,72094
935,2016-07-12,45876
936,2012-07-12,16078
937,2004-11-24,42063
938,2022-10-12,69496
939,2018-09-21,40274
940,2005-12-16,83605
941,2005-02-09,11098
942,2023-04-28,99934
943,2018-12-01,29609
944,2016-12-04,41716
945,2023-07-14,27232
946,2010-01-20,56647
947,2008-05-21,74814
948,2017-04-05,94917
949,2019-11-14,8042
950,2017-04-11,41876
951,2000-04-21,36858
952,2012-12-08,34751
953,2020-11-29,10937
954,2018-08-19,10423
955,2013-05-10,64805
956,2011-05-06,2744
957,2008-01-04,83545
958,2019-07-02,2224
959,2024-11-25,98125
960,2007-11-23,44492
961,2012-08-09,8155
962,2023-12-03,29270
963,2017-04-16,6728
964,2014-04-21,14827
965,2022-04-17,39970
966,2021-11-01,29987
967,2016-03-12,22522
968,2020-04-01,63458
969,2021-12-04,15902
970,2010-11-02,11930
971,2020-06-09,13898
972,2020-04-17,58542
973,2004-11-08,88114
974,2001-06-29,8943
975,2005-01-22,57559
976,2013-11-21,94570
977,2018-09-04,66363
978,2005-08-17,73039
979,2014-10-20,49199
980,2023-07-09,92896
981,2002-01-17,5462
982,2021-11-12,56801
983,2017-10-23,38310
984,2023-12-13,88862
985,2001-06-07,33408
986,2015-01-03,22510
987,2009-10-20,52685
988,2024-11-07,67334
989,2023-07-11,99264
990,2015-09-01,86576
991,2017-08-27,59047
992,2014-11-17,40549
993,2009-07-25,53947
994,2021-04-18,40366
995,2014-05-11,18093
996,2008-11-25,54337
997,2007-10-20,65648
998,2005-04-09,64587
999,2010-06-23,3748
1000,2024-10-15,29623
1001,2012-02-13,20578
1002,2008-05-15,26189
1003,2008-12-06,55140
1004,2021-03-28,21698
1005,2020-10-11,29353
1006,2021-09-18,65063
1007,2024-06-11,39148
1008,2011-05-11,25401
1009,2024-11-26,79420
1010,2012-12-15,50815
1011,2008-06-15,82210
1012,2022-02-04,26105
1013,2011-08-23,89916
1014,2015-03-24,60237
1015,2019-05-08,81949
1016,2019-04-30,52861
1017,2008-11-19,89348
1018,2008-02-23,81363
1019,2018-05-06,63065
1020,2008-08-26,6962
1021,2003-08-27,10387
1022,2016-07-30,1146
1023,2011-11-13,49370
1024,2018-12-09,41782
1025,2018-07-16,90143
1026,2020-03-24,45634
1027,2010-03-01,95311
1028,2016-10-02,46064
1029,2024-02-07,13105
1030,2010-07-06,76402
1031,2010-09-29,74587
1032,2012-04-20,75314
1033,2004-03-13,80872
1034,2014-08-05,91191
1035,2015-08-02,79313
1036,2013-11-11,53458
1037,2006-03-30,26599
1038,2008-06-27,63815
1039,2019-10-11,83955
1040,2023-04-07,53960
1041,2010-03-22,69889
1042,2005-01-28,29812
1043,2022-04-23,97983
1044,2018-03-10,76706
1045,2024-10-29,92679
1046,2020-04-13,71985
1047,2015-07-13,70157
1048,2010-03-24,21341
1049,2005-05-23,94673
1050,2010-10-07,438
1051,2006-10-19,4030
1052,2022-07-02,95414
1053,2021-03-29,3504
1054,2023-11-22,14554
1055,2023-06-10,8679
1056,2022-04-30,85435
1057,2006-11-25,60736
1058,2024-04-05,18355
1059,2020-01-19,48597
1060,2024-02-15,63504
1061,2004-04-20,6884
1062,2001-11-05,82260
1063,2023-12-05,25556
1064,2022-05-17,86390
1065,2003-03-27,40880
1066,2019-04-14,41677
1067,2020-11-14,97272
1068,2016-10-21,26417
1069,2013-11-25,30039
1070,2018-03-25,54995
1071,2013-03-05,24686
1072,2022-12-05,96034
1073,2022-04-20,65643
1074,2024-01-28,25218
1075,2024-03-24,3236
1076,2020-11-08,10817
1077,2021-02-25,43837
1078,2008-04-02,5702
1079,2024-04-20,17120
1080,2010-09-02,34816
1081,2014-08-01,86376
1082,2009-12-15,26131
1083,2016-01-31,26924
1084,2004-12-01,34000
1085,2022-10-22,69532
1086,2017-07-11,20609
1087,2004-01-31,38119
1088,2010-07-10,18133
1089,2004-02-23,69960
1090,2020-11-30,4052
1091,2008-09-18,68229
1092,2021-12-05,90602
1093,2023-04-27,30206
1094,2013-04-30,555
1095,2007-10-04,12403
1096,2010-11-09,20533
1097,2020-10-15,57791
1098,2022-12-07,89738
1099,2012-11-20,23412
1100,2023-05-10,36822
1101,2001-11-14,27047
1102,2017-06-15,13075
1103,2019-04-16,30889
1104,2023-11-02,51462
1105,2012-11-04,45540
1106,2023-12-01,95058
1107,2017-11-24,58235
1108,2019-01-21,34603
1109,2014-06-12,29694
1110,2012-12-11,9638
1111,2015-11-15,55048
1112,2006-04-13,74654
1113,2018-07-02,34474
1114,2018-07-31,83214
1115,2024-07-27,4930
1116,2016-03-08,39887
1117,2002-07-16,46380
1118,2020-11-26,49734
1119,2022-07-07,99961
1120,2015-02-21,64637
1121,2011-03-29,35247
1122,2020-04-25,91853
1123,2009-09-11,42899
1124,2022-05-01,44536
1125,2005-08-28,95011
1126,2004-12-09,7308
1127,2022-04-11,95688
1128,2013-06-18,86481
1129,2020-07-14,1100
1130,2023-10-23,71093
1131,2010-01-19,37952
1132,2018-03-15,73326
1133,2021-03-20,92853
1134,2003-10-22,37500
1135,2010-10-07,86585
1136,2014-12-24,86230
1137,2000-03-21,12360
1138,2023-04-03,72234
1139,2014-10-15,78886
1140,2004-04-12,56063
1141,2010-04-20,4140
1142,2024-11-15,86523
1143,2020-05-24,75804
1144,2002-01-21,20897
1145,2009-10-28,60655
1146,2015-10-01,50999
1147,2021-11-01,30944
1148,2020-03-19,74413
1149,2018-12-25,91832
1150,2015-08-01,20255
1151,2020-11-15,44547
