IdC,type_aliment,nom,allergene
110,Légume,Chou frisé #506,Aucun
111,Céréale,Épeautre #363,"Lupin, Fruits à coque, Soja"
112,Épice,Épices orientales #761,"Céleri, Sulfites"
113,Herbe,Thym sauvage #430,Gluten
114,Fruit,Pomme sauvage #161,"Soja, Fruits à coque, Arachides"
115,Herbe,Thym sauvage #816,"Céleri, Gluten, Sulfites"
116,Herbe,Thym sauvage #237,"Céleri, Sulfites, Gluten"
117,Herbe,Romarin #892,"Sulfites, Céleri, Gluten"
118,Épice,Safran #569,Aucun
119,Épice,Épices orientales #56,"Sulfites, Moutarde"
120,Fruit,Pomme sauvage #837,"Soja, Arachides, Sulfites"
121,Légume,Chou frisé #331,Aucun
122,Légume,Navet confit #627,"Lupin, Sulfites"
123,Fruit,Pomme sauvage #90,Aucun
124,Viande,Canard fumé #350,"Moutarde, Sulfites"
125,Épice,Épices orientales #525,"Gluten, Sésame"
126,Herbe,Romarin #554,"Sulfites, Gluten, Céleri"
127,Viande,Venaison #115,"Céleri, Gluten, Oeufs"
128,Légume,Navet confit #543,Lupin
129,Herbe,Romarin #492,"Sulfites, Gluten, Céleri"
130,Épice,Safran #954,"Céleri, Gluten"
131,Champignon,Truffe noire #416,"Céleri, Sulfites, Gluten"
132,Légume,Chou frisé #130,"Sulfites, Soja"
133,Céréale,Épeautre #398,"Fruits à coque, Gluten"
134,Fruit,Pomme sauvage #385,"Arachides, Soja, Sulfites"
135,Herbe,Romarin #478,Aucun
136,Épice,Safran #925,Aucun
137,Légumineuse,Lentilles du Puy #978,"Arachides, Sulfites, Soja"
138,Viande,Agneau rôti #150,Sulfites
139,Herbe,Romarin #69,Aucun
140,Fruit,Pomme sauvage #69,Aucun
141,Épice,Safran #996,Aucun
142,Épice,Safran #803,"Sulfites, Sésame"
143,Épice,Safran #155,"Gluten, Sulfites"
144,Épice,Safran #108,Aucun
145,Épice,Safran #87,Aucun
146,Épice,Safran #981,Aucun
147,Épice,Poivre long #340,"Sésame, Sulfites"
148,Légume,Chou frisé #657,Sulfites
149,Viande,Canard fumé #722,Moutarde
150,Céréale,Épeautre #865,Aucun
151,Légumineuse,Lentilles du Puy #356,"Sulfites, Lupin"
152,Fruit,Verjus #99,Soja
153,Légumineuse,Lentilles du Puy #92,Céleri
154,Poisson,Carpe dorée #324,"Gluten, Sulfites, Poisson"
155,Viande,Agneau rôti #86,"Gluten, Céleri, Moutarde"
156,Épice,Poivre long #413,Gluten
157,Légumineuse,Lentilles du Puy #180,Lupin
158,Herbe,Romarin #253,"Gluten, Céleri"
159,Céréale,Épeautre #129,Fruits à coque
160,Épice,Poivre long #938,Sulfites
161,Légume,Navet confit #130,"Céleri, Moutarde, Gluten"
162,Poisson,Brochet en gelée #661,Moutarde
163,Légume,Navet confit #738,Lupin
164,Légumineuse,Lentilles du Puy #846,"Soja, Lupin"
165,Épice,Poivre long #464,"Sésame, Sulfites, Moutarde"
166,Épice,Épices orientales #258,"Sulfites, Sésame, Gluten"
167,Viande,Venaison #821,"Oeufs, Gluten"
168,Produit laitier,Fromage affiné #180,"Lactose, Oeufs, Gluten"
169,Légume,Chou frisé #509,"Céleri, Soja"
170,Poisson,Carpe dorée #347,"Moutarde, Poisson, Gluten"
171,Épice,Safran #230,Sulfites
172,Épice,Épices orientales #829,"Céleri, Gluten, Moutarde"
173,Viande,Agneau rôti #878,"Gluten, Céleri, Moutarde"
174,Champignon,Truffe noire #179,"Sulfites, Gluten"
175,Épice,Safran #57,"Gluten, Sulfites, Sésame"
176,Épice,Épices orientales #957,"Sésame, Moutarde, Sulfites"
177,Herbe,Thym sauvage #331,Aucun
178,Légumineuse,Lentilles du Puy #869,"Lupin, Gluten, Soja"
179,Épice,Safran #680,"Sésame, Sulfites"
180,Épice,Poivre long #226,"Sésame, Moutarde, Sulfites"
181,Herbe,Romarin #97,"Sulfites, Gluten"
182,Épice,Safran #525,Aucun
183,Champignon,Truffe noire #263,"Céleri, Gluten"
184,Céréale,Épeautre #406,"Gluten, Soja, Lupin"
185,Herbe,Thym sauvage #747,"Céleri, Sulfites"
186,Épice,Safran #907,"Céleri, Sésame"
187,Épice,Épices orientales #285,Céleri
188,Épice,Safran #114,"Gluten, Céleri"
189,Céréale,Épeautre #145,Aucun
190,Céréale,Épeautre #604,"Soja, Gluten, Fruits à coque"
191,Champignon,Truffe noire #881,Sulfites
192,Épice,Épices orientales #863,Sulfites
193,Épice,Poivre long #309,"Sulfites, Céleri, Gluten"
194,Herbe,Thym sauvage #27,"Céleri, Gluten, Sulfites"
195,Épice,Poivre long #623,"Moutarde, Sésame"
196,Épice,Épices orientales #233,"Céleri, Sulfites, Sésame"
197,Herbe,Romarin #696,"Gluten, Céleri"
198,Viande,Agneau rôti #702,Oeufs
199,Viande,Venaison #112,"Sulfites, Moutarde, Oeufs"
200,Légume,Chou frisé #454,"Soja, Céleri"
201,Viande,Venaison #829,Gluten
202,Viande,Canard fumé #120,"Moutarde, Oeufs, Gluten"
203,Légume,Chou frisé #273,Aucun
204,Fruit,Pomme sauvage #815,Aucun
205,Herbe,Romarin #385,Aucun
206,Légumineuse,Lentilles du Puy #188,Gluten
207,Viande,Canard fumé #90,Oeufs
208,Céréale,Épeautre #903,"Fruits à coque, Lupin"
209,Épice,Safran #800,Aucun
210,Viande,Canard fumé #169,"Moutarde, Gluten"
211,Épice,Épices orientales #524,Aucun
212,Poisson,Carpe dorée #273,"Gluten, Poisson"
213,Viande,Canard fumé #367,"Moutarde, Gluten"
214,Fruit,Pomme sauvage #635,Aucun
215,Fruit,Verjus #876,"Sulfites, Fruits à coque"
216,Épice,Safran #832,Aucun
217,Légume,Chou frisé #593,Gluten
218,Fruit,Verjus #634,"Sulfites, Soja, Arachides"
219,Épice,Safran #570,"Sulfites, Sésame, Gluten"
220,Fruit,Verjus #83,Arachides
221,Céréale,Épeautre #703,"Arachides, Fruits à coque"
222,Légume,Navet confit #361,"Céleri, Moutarde, Lupin"
223,Légumineuse,Lentilles du Puy #71,Sulfites
224,Épice,Poivre long #579,"Moutarde, Gluten, Sulfites"
225,Épice,Safran #724,"Moutarde, Gluten"
226,Herbe,Thym sauvage #134,Aucun
227,Champignon,Truffe noire #32,Aucun
228,Épice,Poivre long #614,Aucun
229,Céréale,Épeautre #853,Fruits à coque
230,Céréale,Épeautre #101,"Fruits à coque, Gluten, Soja"
231,Épice,Safran #76,"Sésame, Gluten, Moutarde"
232,Légumineuse,Lentilles du Puy #371,Sulfites
233,Herbe,Romarin #762,Aucun
234,Viande,Mouton braisé #81,"Sulfites, Oeufs, Céleri"
235,Fruit,Pomme sauvage #758,Fruits à coque
236,Épice,Safran #903,Sulfites
237,Légume,Navet confit #622,"Sulfites, Gluten, Lupin"
238,Herbe,Thym sauvage #554,"Sulfites, Céleri"
239,Champignon,Truffe noire #563,Aucun
240,Épice,Épices orientales #268,Céleri
241,Herbe,Thym sauvage #100,Aucun
242,Légume,Chou frisé #665,"Lupin, Sulfites"
243,Épice,Safran #164,"Sulfites, Sésame, Gluten"
244,Épice,Épices orientales #476,"Gluten, Céleri, Moutarde"
245,Épice,Safran #484,"Gluten, Sulfites, Sésame"
246,Fruit,Verjus #443,"Arachides, Soja"
247,Légumineuse,Lentilles du Puy #969,"Gluten, Sulfites, Céleri"
248,Céréale,Épeautre #433,Aucun
249,Épice,Épices orientales #303,Gluten
250,Légume,Chou frisé #515,"Soja, Gluten, Lupin"
251,Épice,Safran #214,Moutarde
252,Légume,Chou frisé #200,Céleri
253,Légumineuse,Lentilles du Puy #197,"Lupin, Arachides"
254,Légume,Chou frisé #785,Aucun
255,Céréale,Épeautre #53,Fruits à coque
256,Champignon,Truffe noire #336,Aucun
257,Épice,Safran #97,Aucun
258,Herbe,Romarin #469,Aucun
259,Légume,Navet confit #10,"Soja, Lupin, Moutarde"
260,Produit laitier,Fromage affiné #782,"Oeufs, Lactose"
261,Épice,Épices orientales #495,"Céleri, Gluten, Sulfites"
262,Céréale,Épeautre #257,Aucun
263,Herbe,Romarin #834,"Sulfites, Gluten, Céleri"
264,Légume,Chou frisé #91,"Gluten, Céleri, Soja"
265,Épice,Épices orientales #145,Aucun
266,Légumineuse,Lentilles du Puy #135,Aucun
267,Épice,Poivre long #124,"Sulfites, Céleri"
268,Épice,Safran #322,Sésame
269,Champignon,Truffe noire #43,Aucun
270,Produit laitier,Fromage affiné #748,"Lactose, Oeufs"
271,Épice,Safran #94,"Céleri, Moutarde"
272,Poisson,Brochet en gelée #170,Aucun
273,Épice,Épices orientales #539,Céleri
274,Épice,Épices orientales #557,"Céleri, Sésame"
275,Légumineuse,Lentilles du Puy #654,Gluten
276,Légumineuse,Lentilles du Puy #270,Aucun
277,Épice,Épices orientales #921,Céleri
278,Légume,Navet confit #620,Soja
279,Viande,Canard fumé #463,"Gluten, Moutarde, Oeufs"
280,Poisson,Carpe dorée #129,Aucun
281,Légumineuse,Lentilles du Puy #877,Aucun
282,Herbe,Romarin #169,Céleri
283,Céréale,Épeautre #592,Aucun
284,Viande,Venaison #796,Aucun
285,Céréale,Épeautre #233,"Lupin, Fruits à coque"
286,Herbe,Romarin #417,"Céleri, Sulfites, Gluten"
287,Viande,Canard fumé #823,Aucun
288,Herbe,Thym sauvage #425,"Céleri, Sulfites, Gluten"
289,Viande,Agneau rôti #233,Aucun
290,Légumineuse,Lentilles du Puy #824,"Soja, Céleri, Lupin"
291,Céréale,Épeautre #666,"Arachides, Gluten"
292,Champignon,Truffe noire #798,Gluten
293,Herbe,Romarin #734,"Gluten, Céleri"
294,Légume,Navet confit #982,Aucun
295,Viande,Canard fumé #843,"Moutarde, Gluten"
296,Viande,Canard fumé #790,Aucun
297,Herbe,Romarin #428,Aucun
298,Légume,Chou frisé #866,Aucun
299,Herbe,Romarin #482,"Céleri, Sulfites, Gluten"
300,Épice,Épices orientales #215,Gluten
301,Légumineuse,Lentilles du Puy #923,"Arachides, Lupin, Sulfites"
302,Fruit,Verjus #316,Arachides
303,Champignon,Truffe noire #730,Aucun
304,Légume,Navet confit #945,Aucun
305,Viande,Canard fumé #585,"Moutarde, Oeufs"
306,Légumineuse,Lentilles du Puy #200,"Lupin, Céleri, Sulfites"
307,Épice,Poivre long #406,Moutarde
308,Épice,Épices orientales #800,"Céleri, Sulfites, Sésame"
309,Épice,Épices orientales #122,"Sulfites, Céleri, Gluten"
310,Céréale,Épeautre #572,Aucun
311,Céréale,Épeautre #215,"Fruits à coque, Gluten, Arachides"
312,Fruit,Verjus #302,Aucun
313,Épice,Épices orientales #341,"Sulfites, Gluten"
314,Champignon,Truffe noire #770,"Gluten, Sulfites"
315,Légumineuse,Lentilles du Puy #448,Céleri
316,Légume,Navet confit #108,"Gluten, Soja"
317,Herbe,Thym sauvage #635,"Sulfites, Gluten, Céleri"
318,Herbe,Thym sauvage #2,"Gluten, Céleri, Sulfites"
319,Viande,Agneau rôti #582,"Gluten, Sulfites"
320,Herbe,Romarin #465,Aucun
321,Légumineuse,Lentilles du Puy #149,Gluten
322,Céréale,Épeautre #218,Soja
323,Légume,Navet confit #356,Aucun
324,Herbe,Romarin #990,"Gluten, Sulfites"
325,Légumineuse,Lentilles du Puy #236,"Soja, Gluten"
326,Fruit,Pomme sauvage #815,"Soja, Sulfites"
327,Viande,Venaison #966,"Sulfites, Gluten, Moutarde"
328,Herbe,Romarin #179,Aucun
329,Herbe,Romarin #266,Aucun
330,Épice,Épices orientales #825,Aucun
331,Herbe,Thym sauvage #995,"Gluten, Céleri"
332,Légume,Navet confit #608,Soja
333,Viande,Canard fumé #338,Aucun
334,Épice,Épices orientales #876,"Sésame, Céleri, Moutarde"
335,Céréale,Épeautre #971,"Lupin, Soja, Fruits à coque"
336,Poisson,Brochet en gelée #563,Gluten
337,Fruit,Pomme sauvage #642,Aucun
338,Légume,Chou frisé #788,Aucun
339,Herbe,Romarin #796,"Céleri, Gluten, Sulfites"
340,Épice,Épices orientales #299,Aucun
341,Viande,Canard fumé #910,"Céleri, Sulfites"
342,Légumineuse,Lentilles du Puy #306,Aucun
343,Herbe,Thym sauvage #683,"Gluten, Sulfites"
344,Légume,Chou frisé #279,Aucun
345,Légume,Navet confit #935,"Moutarde, Céleri, Gluten"
346,Légumineuse,Lentilles du Puy #124,Gluten
347,Céréale,Épeautre #488,Aucun
348,Herbe,Romarin #892,Gluten
349,Légumineuse,Lentilles du Puy #557,"Soja, Arachides, Céleri"
350,Herbe,Romarin #707,Sulfites
351,Épice,Safran #729,Aucun
352,Champignon,Truffe noire #928,"Gluten, Céleri"
353,Viande,Venaison #789,Aucun
354,Herbe,Thym sauvage #410,"Céleri, Gluten"
355,Légume,Chou frisé #269,"Sulfites, Céleri, Soja"
356,Épice,Safran #837,Gluten
357,Épice,Poivre long #675,Aucun
358,Herbe,Thym sauvage #301,Sulfites
359,Épice,Épices orientales #678,"Sésame, Sulfites, Moutarde"
360,Épice,Épices orientales #364,Aucun
361,Épice,Épices orientales #229,"Céleri, Sulfites"
362,Épice,Poivre long #825,Sésame
363,Légumineuse,Lentilles du Puy #330,"Lupin, Sulfites, Céleri"
364,Herbe,Romarin #55,"Céleri, Sulfites"
365,Légumineuse,Lentilles du Puy #499,"Arachides, Céleri, Soja"
366,Champignon,Truffe noire #80,Aucun
367,Légume,Navet confit #826,"Lupin, Céleri, Moutarde"
368,Épice,Épices orientales #764,"Sésame, Moutarde, Gluten"
369,Légume,Navet confit #67,Moutarde
370,Herbe,Romarin #33,Aucun
371,Légume,Navet confit #411,Soja
372,Épice,Épices orientales #62,Céleri
373,Légumineuse,Lentilles du Puy #208,"Lupin, Soja, Céleri"
374,Céréale,Épeautre #707,Fruits à coque
375,Fruit,Pomme sauvage #2,Aucun
376,Légumineuse,Lentilles du Puy #555,Aucun
377,Céréale,Épeautre #214,Aucun
378,Céréale,Épeautre #640,"Gluten, Soja, Lupin"
379,Herbe,Romarin #372,Sulfites
380,Légume,Navet confit #978,Soja
381,Épice,Poivre long #489,Aucun
382,Herbe,Romarin #348,Gluten
383,Légumineuse,Lentilles du Puy #487,Aucun
384,Légume,Navet confit #578,"Soja, Sulfites, Gluten"
385,Herbe,Thym sauvage #787,Aucun
386,Épice,Safran #708,"Céleri, Moutarde"
387,Champignon,Truffe noire #798,"Gluten, Céleri"
388,Viande,Venaison #515,"Oeufs, Moutarde"
389,Viande,Mouton braisé #667,Aucun
390,Céréale,Épeautre #651,Lupin
391,Légumineuse,Lentilles du Puy #465,"Sulfites, Gluten"
392,Légume,Chou frisé #848,Moutarde
393,Champignon,Truffe noire #420,"Gluten, Céleri, Sulfites"
394,Herbe,Romarin #99,Céleri
395,Céréale,Épeautre #704,"Fruits à coque, Lupin, Gluten"
396,Fruit,Verjus #188,"Sulfites, Arachides"
397,Légumineuse,Lentilles du Puy #933,"Soja, Sulfites, Céleri"
398,Viande,Agneau rôti #511,"Gluten, Moutarde"
399,Légumineuse,Lentilles du Puy #696,Soja
400,Légumineuse,Lentilles du Puy #391,Lupin
401,Épice,Poivre long #369,"Céleri, Sésame"
402,Légumineuse,Lentilles du Puy #450,"Soja, Lupin, Gluten"
403,Herbe,Romarin #197,"Sulfites, Gluten"
404,Herbe,Romarin #289,Gluten
405,Céréale,Épeautre #371,Aucun
406,Céréale,Épeautre #902,Aucun
407,Épice,Poivre long #719,Aucun
408,Épice,Safran #622,Sésame
409,Légumineuse,Lentilles du Puy #890,"Céleri, Arachides"
410,Légumineuse,Lentilles du Puy #547,Céleri
411,Champignon,Truffe noire #20,"Gluten, Céleri, Sulfites"
412,Fruit,Pomme sauvage #142,"Arachides, Fruits à coque, Soja"
413,Fruit,Verjus #922,"Arachides, Soja, Fruits à coque"
414,Fruit,Pomme sauvage #148,"Sulfites, Arachides"
415,Viande,Mouton braisé #737,"Gluten, Moutarde"
416,Légume,Chou frisé #489,"Sulfites, Moutarde"
417,Viande,Venaison #234,"Moutarde, Sulfites, Gluten"
418,Légume,Navet confit #693,"Soja, Lupin"
419,Herbe,Thym sauvage #362,"Sulfites, Céleri"
420,Produit laitier,Fromage affiné #22,Aucun
421,Épice,Épices orientales #828,"Sésame, Sulfites, Céleri"
422,Légume,Navet confit #864,Lupin
423,Légume,Navet confit #422,Céleri
424,Viande,Venaison #358,Aucun
425,Viande,Agneau rôti #569,"Céleri, Gluten, Moutarde"
426,Légumineuse,Lentilles du Puy #643,Céleri
427,Fruit,Pomme sauvage #407,"Sulfites, Arachides"
428,Épice,Poivre long #96,Céleri
429,Herbe,Romarin #868,Aucun
430,Épice,Safran #13,Céleri
431,Légume,Navet confit #553,"Céleri, Gluten, Soja"
432,Fruit,Verjus #311,"Fruits à coque, Soja, Sulfites"
433,Légume,Chou frisé #438,"Soja, Moutarde"
434,Céréale,Épeautre #699,Aucun
435,Champignon,Truffe noire #618,"Gluten, Céleri"
436,Champignon,Truffe noire #323,Sulfites
437,Épice,Safran #674,"Gluten, Céleri, Sulfites"
438,Épice,Épices orientales #227,Aucun
439,Herbe,Thym sauvage #555,"Céleri, Gluten"
440,Épice,Safran #833,Aucun
441,Légumineuse,Lentilles du Puy #848,Aucun
442,Épice,Safran #337,Sésame
443,Épice,Safran #113,Aucun
444,Épice,Poivre long #140,"Gluten, Sulfites, Céleri"
445,Légumineuse,Lentilles du Puy #230,"Arachides, Sulfites"
446,Fruit,Verjus #899,Sulfites
447,Épice,Poivre long #910,Céleri
448,Légume,Navet confit #507,"Sulfites, Céleri, Moutarde"
449,Herbe,Romarin #208,"Gluten, Céleri"
450,Céréale,Épeautre #236,Aucun
451,Légumineuse,Lentilles du Puy #421,"Céleri, Arachides, Sulfites"
452,Herbe,Romarin #258,Aucun
453,Herbe,Romarin #67,Aucun
454,Herbe,Romarin #485,Aucun
455,Légumineuse,Lentilles du Puy #104,Arachides
456,Épice,Poivre long #49,"Sulfites, Sésame"
457,Fruit,Pomme sauvage #35,"Soja, Arachides, Fruits à coque"
458,Céréale,Épeautre #193,Aucun
459,Légume,Chou frisé #43,"Soja, Moutarde, Sulfites"
460,Viande,Agneau rôti #882,Moutarde
461,Légume,Chou frisé #54,Aucun
462,Épice,Épices orientales #535,"Moutarde, Céleri"
463,Légume,Navet confit #643,"Lupin, Gluten, Céleri"
464,Herbe,Romarin #544,Aucun
465,Viande,Venaison #463,Sulfites
466,Herbe,Romarin #90,Céleri
467,Céréale,Épeautre #551,"Gluten, Fruits à coque"
468,Épice,Épices orientales #480,"Sésame, Céleri"
469,Légumineuse,Lentilles du Puy #506,"Lupin, Gluten"
470,Légumineuse,Lentilles du Puy #802,Aucun
471,Produit laitier,Fromage affiné #405,"Oeufs, Lactose, Gluten"
472,Herbe,Thym sauvage #604,Gluten
473,Fruit,Pomme sauvage #990,Aucun
474,Céréale,Épeautre #791,Aucun
475,Épice,Épices orientales #336,Aucun
476,Épice,Poivre long #962,Aucun
477,Légume,Navet confit #140,Sulfites
478,Herbe,Thym sauvage #9,Sulfites
479,Herbe,Thym sauvage #609,"Céleri, Gluten"
480,Légume,Chou frisé #520,Soja
481,Épice,Épices orientales #163,"Sulfites, Moutarde, Céleri"
482,Herbe,Thym sauvage #719,"Céleri, Sulfites, Gluten"
483,Épice,Épices orientales #298,Céleri
484,Viande,Agneau rôti #803,"Moutarde, Oeufs"
485,Épice,Épices orientales #518,"Sulfites, Moutarde"
486,Épice,Poivre long #428,"Sulfites, Céleri"
487,Légume,Chou frisé #431,"Sulfites, Gluten"
488,Herbe,Thym sauvage #42,Aucun
489,Épice,Safran #721,Aucun
490,Épice,Safran #580,Aucun
491,Légume,Chou frisé #922,Céleri
492,Épice,Épices orientales #418,"Sulfites, Céleri, Sésame"
493,Épice,Safran #6,"Sulfites, Moutarde"
494,Légume,Chou frisé #797,Céleri
495,Céréale,Épeautre #344,"Soja, Gluten"
496,Céréale,Épeautre #471,"Fruits à coque, Gluten, Arachides"
497,Épice,Épices orientales #240,Aucun
498,Viande,Agneau rôti #524,"Céleri, Oeufs, Gluten"
499,Épice,Safran #299,"Céleri, Moutarde"
500,Épice,Safran #848,"Moutarde, Sulfites, Céleri"
501,Poisson,Carpe dorée #596,Poisson
502,Viande,Venaison #746,Aucun
503,Céréale,Épeautre #590,"Gluten, Fruits à coque"
504,Viande,Canard fumé #859,"Gluten, Sulfites, Oeufs"
505,Herbe,Romarin #23,"Sulfites, Céleri"
506,Herbe,Thym sauvage #945,"Gluten, Sulfites, Céleri"
507,Légumineuse,Lentilles du Puy #217,"Arachides, Soja"
508,Épice,Poivre long #34,Aucun
509,Viande,Mouton braisé #47,Aucun
510,Viande,Mouton braisé #33,Moutarde
511,Épice,Poivre long #911,"Céleri, Sésame, Gluten"
512,Épice,Safran #194,"Moutarde, Sésame, Gluten"
513,Légume,Navet confit #221,"Lupin, Moutarde"
514,Herbe,Romarin #418,"Gluten, Céleri, Sulfites"
515,Céréale,Épeautre #783,Aucun
516,Épice,Épices orientales #325,Sésame
517,Légume,Chou frisé #214,Aucun
518,Épice,Safran #481,"Sulfites, Sésame, Céleri"
519,Céréale,Épeautre #138,Aucun
520,Fruit,Pomme sauvage #410,"Arachides, Sulfites"
521,Céréale,Épeautre #19,"Arachides, Lupin"
522,Herbe,Romarin #936,Gluten
523,Viande,Mouton braisé #971,"Sulfites, Oeufs, Céleri"
524,Viande,Venaison #671,"Céleri, Sulfites"
525,Légume,Navet confit #615,Aucun
526,Champignon,Truffe noire #851,Aucun
527,Légumineuse,Lentilles du Puy #8,Céleri
528,Fruit,Pomme sauvage #834,Aucun
529,Herbe,Romarin #85,Céleri
530,Légume,Chou frisé #111,Aucun
531,Viande,Mouton braisé #473,Oeufs
532,Légume,Chou frisé #156,Aucun
533,Herbe,Thym sauvage #938,Céleri
534,Légumineuse,Lentilles du Puy #146,Aucun
535,Poisson,Carpe dorée #700,"Céleri, Poisson"
536,Herbe,Thym sauvage #907,"Gluten, Sulfites, Céleri"
537,Légume,Navet confit #116,Moutarde
538,Viande,Venaison #85,"Céleri, Moutarde"
539,Herbe,Thym sauvage #278,Aucun
540,Légume,Chou frisé #492,Céleri
