IdM,IdMo
2964,2838
1225,2160
102,381
4110,80
744,4120
3897,2166
2313,1361
793,4605
795,3438
2814,3420
2246,368
3755,2189
2239,3128
219,464
3025,2723
1961,3020
857,3677
1684,3777
4579,4946
2827,4915
2513,4485
90,2370
857,3779
289,915
1597,4615
1393,1310
27,1435
4074,4750
3601,833
1164,1646
3776,409
4741,1687
4170,767
3256,2378
1153,859
1256,4038
1709,3771
1121,3256
2522,1661
1992,2959
3231,2184
1519,865
464,2826
1445,3016
4841,1447
96,3932
1885,23
4196,4700
1438,294
3322,901
3916,4295
3538,289
4419,1799
1003,862
1364,4793
1718,3352
755,1747
2701,670
1043,1357
4623,4771
3346,3753
2657,1795
301,1856
4380,575
2831,4907
891,663
283,2302
2200,4836
3284,1746
1062,290
1578,4942
3003,668
3511,4498
2921,4444
2485,2764
678,1280
1184,4401
4229,1009
2250,2112
38,4141
3157,4485
2812,4112
594,4728
3738,3053
2398,39
2829,3221
2026,1108
597,1881
1193,2055
2266,457
2291,1281
1243,2970
3473,3842
3011,4902
4378,840
2329,4170
2202,2267
3652,4439
3222,2796
1309,4249
1419,806
4008,4535
4412,4093
3948,2030
572,3607
2672,811
3933,3206
4877,708
1428,4933
1717,104
2519,3511
1113,389
2146,2733
3853,3599
2954,3075
839,1042
1707,3322
2785,4347
273,39
1360,4808
1803,4008
2859,4619
2154,2989
4437,2196
4261,1389
4353,3646
1934,1855
1173,4063
3774,2977
452,763
3152,2417
3872,1408
375,1032
1177,3391
1240,4191
4915,1619
171,4154
4164,3500
3450,2505
1049,905
1284,2502
1288,1696
3462,227
2013,198
2280,2204
37,3746
252,1939
1730,2556
3052,1446
2141,3789
2029,3343
1697,3980
4467,4753
698,330
2063,592
2978,231
4145,2913
4111,602
3330,4941
1498,3975
2373,4787
2664,3196
798,614
2995,4817
1664,3729
3651,3047
1497,1853
3003,2317
4076,4600
1888,3395
1152,1558
4180,4921
3217,4498
3283,386
2248,3391
4800,1254
4926,4694
4999,2104
2535,1694
4314,1912
4370,530
214,2751
4658,3621
3138,2202
2187,4403
2169,3494
2854,1759
4644,4183
2688,1756
4215,2096
746,822
846,2006
2251,1932
1372,4088
1205,3051
2180,4064
2631,3174
3725,392
4885,410
1088,576
4621,3731
4798,3108
4672,1022
1308,4783
546,958
119,3226
4915,2104
2095,1013
2661,2136
3434,2666
4854,4601
2967,3925
2734,1104
4741,826
3312,1450
4249,2117
1134,3664
4411,1571
4785,4196
2360,2673
132,1843
4416,1006
3903,359
4174,81
1219,636
1753,1340
84,156
1329,55
1931,4510
1627,395
944,892
2207,677
1378,743
1765,4568
3260,2722
2189,853
3276,2363
4148,4037
3410,4089
1744,2225
1582,3135
2478,4658
3940,1118
840,3563
3472,3559
237,1448
406,4373
91,4849
615,998
2047,3955
4297,2163
4946,399
3169,1270
4084,2424
1415,774
697,1511
1079,1088
1985,3749
1290,2672
514,1220
2294,817
1780,1991
1735,4795
4769,3310
4119,238
374,1580
4573,3582
2759,155
4429,1491
1977,4077
1361,3109
1802,1301
766,4739
2312,2083
3338,616
1395,1578
3489,4375
1811,1549
4322,4434
517,1540
522,175
4666,614
446,3390
4926,3730
4359,4310
4607,2343
3280,2064
421,4374
842,2971
1122,2986
2397,1310
3841,3189
3707,828
1405,3787
3857,479
3186,2326
2055,559
855,625
3632,600
2132,2050
3724,2328
3983,3922
3520,13
3474,1996
1686,1285
3291,12
2879,3319
4890,4762
110,4260
3209,3725
867,1720
3194,2167
1061,2088
66,3383
4410,2322
2759,1476
3053,1077
4041,3293
3283,138
1401,2862
3486,2157
1311,1250
1547,3648
286,2892
416,2270
4793,4935
436,3543
2283,3437
4574,2639
4410,1784
3072,991
4643,1511
1450,3412
3193,3931
4726,4528
2044,1166
4864,2297
2297,4442
1347,4223
492,2932
2688,3556
39,4933
2173,1246
4740,1390
1378,2137
4274,178
3848,611
1807,5
553,2042
3627,3784
2120,3777
3814,2736
953,3209
3562,931
2850,148
4724,2580
27,670
3362,2082
3225,4340
1432,4562
1125,4241
1933,3107
2389,2978
3384,1732
4856,3697
594,4359
1120,4343
4435,4577
3685,297
2073,3444
2352,3445
409,4201
4876,3445
4444,1447
3881,2282
3875,3317
358,2738
4857,1783
1583,1298
534,1362
1096,2046
785,2651
1508,2826
1660,473
16,935
1093,1154
1014,3731
2085,4642
4989,1363
832,1850
4166,2045
2996,3348
1398,2617
1278,4197
3508,2352
2360,4377
1219,1236
666,4647
3320,2717
2040,4371
834,4558
3424,3319
3235,2304
4640,2315
2704,3264
373,2054
910,4113
505,1982
4572,2408
3679,3993
4339,2081
3916,2812
3946,2882
4653,3140
1261,2251
620,4363
4488,267
3112,2952
4122,521
1972,3955
351,2050
91,3826
4183,2831
3235,1006
3416,4255
4647,618
3324,3396
2734,1453
2871,3418
767,1542
4264,1772
2597,463
3574,2919
4999,3463
4978,518
1452,2003
453,1841
1968,1651
4619,872
3734,493
4776,1296
4082,4351
3857,4592
1287,4386
1748,3079
2299,3545
1738,2907
980,643
4083,2853
4413,1145
4428,4110
3361,476
3718,1844
841,999
4788,968
2818,2763
2767,4238
1810,2586
1130,4102
1355,295
4561,3555
276,1179
2499,1249
2984,2527
590,2275
3267,4247
1391,2285
3065,604
103,2850
4264,3772
1974,690
4121,2193
3412,902
1109,773
3413,3616
2028,1907
1172,1559
2771,575
3348,3174
2150,175
125,1296
3495,1343
3744,3562
3760,2592
3208,4522
3787,1827
283,659
3475,2336
4355,633
892,3699
3887,4468
611,1586
2014,3283
4067,440
4203,1565
243,3736
1374,2641
321,752
3685,1755
2141,4894
2512,3309
3273,2004
2966,3882
483,2003
2439,4687
2662,856
2220,3654
3188,4482
312,4629
3785,2174
2033,3880
4822,4088
1509,4267
704,100
3945,1880
3812,1099
3931,4472
722,3391
721,2234
332,3505
3867,3026
2951,4511
3049,4800
3980,4219
1363,2051
2093,4640
429,353
2223,4583
3912,171
3788,4635
3527,3589
617,4833
3788,4956
1234,2877
2413,2968
1363,1039
3567,4857
4747,1630
4859,4780
1068,1758
3788,3303
3333,1584
421,2800
4599,777
2867,1634
4260,3606
306,4726
3093,4036
4011,4240
1202,1338
439,2352
4005,2605
4810,663
2301,2489
2697,3596
3346,884
3712,4705
2367,346
243,1281
1191,3481
3357,3114
655,4802
1346,4040
3389,410
228,1931
584,2556
4246,2822
2709,2563
4072,3611
1337,4725
3673,4475
3668,3974
3250,654
4111,107
2846,1520
4671,1837
1338,4134
4508,587
1520,1780
2381,635
1052,3186
504,2212
2239,324
3033,2246
1428,390
1563,1584
4573,677
4140,2969
1902,3985
145,2864
4727,395
1918,4589
778,4134
1048,2295
3094,2656
4111,3845
1405,4301
3897,4678
185,1701
3728,1728
2853,251
1033,2825
4009,1856
4161,4329
2054,4494
4643,752
609,2237
4993,4024
4139,4986
2453,3806
460,188
2856,585
4168,93
4941,4045
3197,4477
1531,4290
3476,4437
224,3481
2140,2038
1697,2577
3136,2699
858,4849
875,1827
6,4192
2545,4300
773,89
3919,713
560,2183
3373,3904
3089,4375
1857,456
344,247
2077,656
2596,1300
2430,3535
4852,2291
1575,245
3307,4810
1077,1629
1848,3987
3592,3746
4455,169
1680,1794
3418,400
2452,513
1238,4237
4359,522
4840,3292
1992,1489
4947,1288
2740,1922
1934,4805
2235,4393
4087,1576
4636,2352
2516,2754
946,794
3287,2325
709,884
1547,4643
2928,552
3525,2799
1366,940
4377,3845
503,3468
858,452
3143,4501
38,1313
1186,3092
1636,986
1315,3631
129,2421
326,222
3489,1655
3850,2137
3188,162
3602,2811
1002,3220
4194,4932
2382,1994
278,4148
4878,3371
1857,2296
415,3367
4366,4493
621,1757
3994,1715
1172,822
3481,2917
1501,786
366,2961
714,3265
4844,936
2423,972
3853,2561
1335,4091
3022,4074
2529,2707
3800,929
4368,524
1796,3433
4148,267
3239,3351
3751,1660
3523,3749
722,4648
3408,3624
4012,2569
4578,3892
2072,2139
642,4334
2545,4752
690,1163
1993,1699
3747,1777
1984,535
4601,4621
413,863
410,281
1980,99
4250,428
3791,4220
2215,3580
4969,1622
917,1182
3332,2010
1377,4701
2548,4132
4301,1607
4867,51
4918,1803
60,4132
1387,4802
832,4862
1413,770
1510,3715
4115,4118
343,1739
4997,3077
4239,4831
2210,25
2236,1181
4466,3790
2281,3179
404,1849
2520,3299
2216,2996
1650,4046
1210,4568
3868,2986
4836,2408
4195,3409
1852,3324
4024,4113
4562,1528
4638,3961
3628,3438
2126,1646
1688,4943
2158,1936
3717,3167
150,3056
1155,765
207,88
3658,2810
1337,4311
2883,1191
684,4463
3851,2413
3677,4329
250,3927
3867,1614
4088,3013
2578,1205
4505,313
3618,1549
2132,1937
2038,3853
1953,3085
2240,1507
3836,1619
3440,3445
2992,3103
2064,1579
1064,3714
4099,2798
568,2305
1503,3778
1265,3424
3761,561
2552,1216
1137,3879
2507,4193
3658,4548
2257,137
703,1101
416,1241
1722,414
870,2521
2895,1601
3724,1577
2153,696
1153,1988
3421,4041
494,3165
2264,4423
597,1774
1513,2684
1866,2258
616,4160
404,1179
3005,3542
3096,4920
3246,2629
1538,4319
3618,2962
668,559
3869,353
2463,740
3732,1914
4650,4089
1450,2859
3438,339
946,41
4907,559
294,3557
660,4886
2311,2091
2823,140
4699,363
4619,3129
795,1142
2868,1799
3035,2912
3766,2424
3703,1902
3365,4159
2638,3671
1369,4085
397,359
2666,4546
393,3255
4802,1914
4355,2464
1313,2785
1814,3668
3806,4558
3091,153
4176,2547
140,4479
4856,2076
4812,80
3824,1719
2405,4201
1650,895
1095,3179
864,1283
338,3548
1076,2649
3472,987
2977,3022
3278,4985
225,4061
3273,4976
4256,3447
83,4771
1326,107
53,2797
1551,3187
3396,4239
3667,4762
688,2431
909,1295
4823,3686
907,4971
4728,1547
1022,3757
3274,4099
2447,85
2596,119
4186,1151
1355,1970
4143,4886
2736,3643
3832,3104
2136,4179
1325,3007
2240,446
2316,2323
1121,4378
4881,46
1147,2706
3961,4289
2051,2701
2183,1583
3563,4878
1910,4310
3352,3119
4770,1725
1860,2785
1935,4439
2403,1952
4946,2383
3068,926
1743,1673
196,4498
866,357
3707,2189
60,2525
1768,2054
4002,2943
3515,3234
1508,2626
4323,1289
1959,3990
2707,1335
4044,954
3447,2934
1567,2839
2697,972
2333,940
3045,4040
1446,3364
4652,1312
2142,2794
1729,213
4772,3944
618,321
3475,1591
1945,3350
1809,3026
3603,3071
730,3122
3089,517
3627,3137
4319,4354
2226,339
4205,1734
4040,3729
2904,4429
4710,3106
3230,4996
4018,1692
5000,3233
4765,3200
2434,380
820,196
451,4380
4954,288
2064,6
3223,1023
2356,2370
4447,2581
1261,2595
1356,4418
4508,2112
2267,3943
1012,934
2456,1484
39,1268
106,542
2076,175
927,646
917,4239
3205,3395
75,4416
3839,1435
4310,4693
3863,3161
158,938
2348,3595
4533,724
3921,3775
114,2461
487,2843
4487,1139
2333,2980
4458,2378
173,1194
1832,2584
1848,2230
3548,1967
4054,1084
2238,1892
4193,350
4432,4711
472,3
4497,1329
4792,1164
3831,3771
1188,4582
2630,1336
4821,2164
171,971
2679,1785
70,1484
2052,4394
559,3807
3542,4036
292,3153
988,1671
1565,1262
3728,2231
1606,402
586,1345
478,1662
76,4784
4636,3987
4278,1997
566,2509
3364,2586
185,199
4941,2687
396,2734
4640,4152
331,1935
3795,4346
4255,152
3162,4738
520,4813
1936,2456
1457,1729
4574,1110
113,3599
235,225
989,4139
2857,4538
1857,424
4836,294
4911,1414
2558,4897
1453,2596
3134,530
4196,3368
4391,145
1109,4575
4166,2134
2446,848
1418,2570
2338,305
2660,3113
68,1732
1110,4974
256,2376
2900,3903
4371,399
2728,1416
1795,4549
3436,4101
2328,5
3059,3808
3147,1422
4439,268
640,2003
4906,1648
904,3951
2193,490
870,4534
4028,4221
2642,4283
592,4987
3236,481
1623,2591
2949,3886
3713,2856
1151,150
4796,4375
971,1570
3076,1259
2519,4362
2711,2551
4474,3380
717,77
3393,48
1363,4698
3134,3814
1254,917
2088,3528
4276,11
3404,1510
217,1186
1952,4426
4946,4048
2843,4402
4850,2157
609,4962
874,1049
3877,4539
2620,3851
4280,874
1727,1573
2538,2785
1965,3871
1355,3803
2660,1963
4379,3815
2898,275
3545,3342
2775,2571
2948,2057
2458,451
3512,3484
3724,3453
3573,664
4717,409
4938,1786
3282,1008
1677,2012
3314,1570
1589,3842
4678,4311
552,4535
1438,862
3336,1776
3373,3625
1024,520
1239,4537
2069,370
3947,4524
2545,3943
1757,492
1748,4637
3306,3423
1180,2694
4304,1817
3995,489
3017,3426
710,3165
3412,2978
327,2005
1238,131
49,2985
4208,3247
2626,2073
672,3510
1647,2794
159,2722
2271,359
3561,277
2476,2561
3463,1775
1687,3944
3568,643
451,4625
2957,1566
1064,4034
1872,977
2327,1533
3121,229
3188,4469
248,2641
2489,2042
823,3440
4373,4701
1162,1951
546,3833
3577,4869
281,424
4131,3128
4839,3208
2460,3901
1449,3981
2050,4767
2973,4911
3142,314
2996,856
4364,4978
3028,2576
3309,3042
3401,3499
1580,3699
4752,1223
1844,2123
4547,2514
2408,4732
4028,4707
1423,3778
643,4192
2575,1013
4592,1930
790,278
1905,3100
2651,4838
2956,1583
1102,177
2504,269
3075,3242
2448,2709
414,652
4945,2848
1556,207
437,139
301,1391
151,2252
1268,3926
2933,4433
2586,1255
4852,3806
4853,2577
4191,1173
613,848
3643,4158
1750,208
1154,740
3157,2372
2218,2399
1151,1514
1190,4452
1453,3363
4734,4008
4550,4117
1055,1275
2602,1143
4680,2804
612,2208
2968,4563
2530,4368
2965,2702
1043,43
1993,4698
2903,385
2799,3862
4239,554
3348,1913
2146,1139
4591,1970
1995,1745
3263,1697
1254,4451
4725,3582
1842,1577
663,2166
3412,4726
2315,3703
314,1001
633,821
1519,2244
3037,4549
4046,2248
104,1248
3761,2858
1078,655
3327,1813
2140,3520
4916,3719
2691,3475
3924,4956
721,3318
3914,1701
3996,4380
3954,2440
3840,3908
631,4021
3771,2500
1614,2403
2155,4798
2474,3597
4928,2693
2078,4342
3308,1355
814,1042
3249,2690
1670,1613
1560,2584
1461,1764
2958,3476
4806,3573
1009,1266
4688,1773
4954,3352
3832,2250
955,4456
2071,301
4620,1341
4732,4719
2535,4045
2571,2530
232,2491
369,4422
2433,1308
3699,1990
2648,437
108,855
3826,937
1868,3066
4549,4292
4598,3185
2125,2531
1968,4040
1527,3590
1384,2059
3838,2711
2330,3104
3026,3533
3147,2349
226,3730
2658,3817
2417,1215
856,626
3892,3059
1062,1451
4655,2998
411,1787
3184,4431
3390,1398
4027,3904
4749,862
960,716
4796,4963
2615,1831
3228,1421
1486,4506
2485,2033
108,2567
29,2158
2148,1000
217,4088
2379,2653
2982,480
1471,918
2749,2878
4473,2165
272,2943
1433,3417
785,3715
826,4215
4287,4607
2022,2036
4778,2703
2404,3182
4982,1446
93,1746
969,4067
123,1313
1397,1544
2535,4614
1784,4898
1022,4112
1067,1484
1310,2603
1209,4037
2460,4150
4410,3906
789,913
99,2049
349,2219
4610,4423
4576,4052
4199,385
3898,87
4212,2635
162,3366
2097,666
478,1971
238,1061
1907,4922
3402,4988
2044,513
331,1214
1293,4977
4259,772
4647,227
1213,4416
2304,3768
3844,3057
3754,4000
3308,1205
651,4936
3444,164
4483,3848
1581,2286
535,3043
618,1124
3466,4757
4309,4338
386,4601
4897,4660
1210,649
3261,4379
4663,2427
4403,263
4059,281
4785,1652
1312,4631
4458,4886
4089,327
2411,1921
2474,1573
160,772
3090,4197
3341,2440
3212,1397
120,4374
3738,3944
4472,624
442,1576
4930,4504
1944,3964
35,1445
4333,1946
3575,894
4778,4930
1868,2185
356,2962
1304,3477
3543,909
3847,2183
3729,2706
3923,2191
3296,1598
1686,2646
47,3383
1778,3629
2919,1397
4095,1703
2312,4976
1824,3682
691,1220
3407,3288
4704,3241
2779,4006
1643,2057
725,1862
1281,938
1358,285
524,4102
2315,2650
2421,3982
4487,3222
716,4908
4776,3484
1557,3497
1725,919
1155,108
900,2755
4430,413
2463,1133
3361,2823
2935,1826
1499,431
2071,2396
1837,4204
4664,1705
2263,3034
3047,3446
1152,1220
404,3823
620,125
719,4953
2617,2460
892,2910
2300,4525
2267,3999
4106,3485
3856,4486
2879,1515
4658,3961
4499,3519
416,2121
538,829
898,450
3731,2482
1632,4032
2946,208
1051,1099
2712,4476
229,4413
1403,4034
2319,1524
1856,4031
3902,3196
39,3262
2032,4154
1476,2385
250,491
2092,4894
1841,1090
2015,910
1000,3733
2274,2377
1544,1098
3706,1760
3351,3763
1830,3168
4785,2232
2702,2085
2977,2988
4764,862
932,1890
1211,2545
4828,1196
3974,4999
2820,4730
4065,1845
4325,3406
3414,3048
2725,1408
4849,1729
561,4893
23,4790
4765,3692
4558,2096
1611,4652
2980,714
4372,1962
961,825
2701,1619
1483,1558
2548,3084
699,4941
3663,3280
1416,1038
3721,3641
4546,84
1057,2748
4968,268
2409,3713
1598,4827
2884,2841
1769,456
1308,4514
4500,1653
2513,4631
1688,1951
807,781
1820,1630
1569,655
2966,2303
1185,915
1988,429
86,4101
85,1999
1534,1239
3238,4102
746,4687
635,3814
228,813
3221,3474
69,3341
3172,205
1597,4293
505,4429
988,1614
568,3402
1354,4790
2795,3311
3267,4151
4970,1094
157,1598
632,3408
2672,2346
2899,4142
178,4479
4369,2628
4480,3556
3562,3907
4609,2210
1051,4312
3307,1853
4876,4737
1142,2899
2512,2124
1881,1077
997,1686
4394,643
4784,882
4649,384
2975,1141
3191,1578
754,3867
3104,4814
3300,1314
2526,2300
1082,4729
4339,1599
3154,175
3225,272
1969,2949
4882,3962
4609,523
4788,2476
4701,1135
4735,4737
753,4276
3285,1135
3612,1387
3979,1946
747,3461
3986,1340
4432,601
2104,3633
991,3422
4718,2674
2701,2109
513,1902
3077,1431
1117,3279
2444,3578
2636,3956
2097,1304
1682,3396
3626,361
1288,2731
847,493
1097,1243
3836,328
518,3057
502,3912
1165,1489
4260,895
2393,4981
4645,1709
1602,4303
901,3847
3197,4028
1653,2744
4038,927
1952,927
2717,1147
321,1729
4413,4430
4542,1479
115,1003
2859,4720
2027,737
2382,1832
189,2201
2188,3928
3458,4761
2606,3357
3632,4020
3413,1289
4291,1721
642,887
4197,233
2388,4948
1225,3416
1184,713
4290,3559
4280,3024
4327,4905
1251,1368
213,35
2529,1814
3280,4647
4120,1747
704,576
4493,3480
4536,2839
2199,1478
1108,3295
3337,4253
4666,4838
1057,1336
3874,3057
4291,457
3041,1243
3960,2092
3293,163
958,4495
1194,2294
597,1013
1612,1988
2984,662
865,4838
4715,4794
2957,3891
3466,565
147,2830
2426,1187
799,2245
594,2971
2058,1368
2006,3835
2634,2178
2041,1887
4167,3897
4319,2977
2854,3207
4667,263
227,2750
863,4323
1902,566
4927,2989
3792,3343
3395,3405
4207,4542
1024,4214
948,543
2349,3926
3555,3964
997,4076
4956,1200
4315,2487
2743,4850
4228,3560
470,1564
1953,2202
991,4961
4279,2301
3395,3172
34,4574
1138,902
2301,222
1885,2132
581,997
493,2084
1667,1947
2850,1743
1810,4706
2719,1459
2202,2360
4001,4719
1159,2410
3760,3829
4067,4087
4795,3420
4943,3977
2198,2173
402,2357
4319,4423
4245,208
2378,954
4061,2832
2747,3608
3367,2751
2157,1200
4874,2269
2038,3115
1238,2984
2690,2110
1119,520
1103,632
2796,3555
3894,1239
2724,3167
2755,251
298,1781
2186,2710
3932,3222
4769,669
2178,1519
2339,3974
291,2135
4129,2119
1618,1889
3642,4487
1495,633
69,987
4550,2563
2956,646
3628,507
488,2582
1107,349
4693,4003
2132,4172
2277,964
1861,4152
1153,139
4496,3230
3466,2644
3357,4394
3070,4824
3514,2014
3038,4771
4319,3017
4207,555
3359,3168
1039,2519
2971,432
542,3139
1687,2228
4593,4483
2812,1834
2595,34
2571,3704
4025,2255
3762,1305
3224,1927
1508,1710
1623,2796
569,1044
3189,4619
2050,2368
1056,4115
539,3592
1112,676
4968,1623
2824,2375
1842,3946
1519,3983
466,3811
155,4471
963,1872
470,1087
323,4220
493,1501
475,4256
2991,1518
4324,3279
4429,3687
373,1875
2878,2025
4295,1887
3520,4672
886,3242
4089,1934
295,786
1261,282
2839,677
4407,4423
71,4434
4654,4849
2291,3641
3954,3836
1337,4580
3415,3299
4145,3518
4279,1693
769,2304
4410,2460
2876,269
3677,3829
3741,3370
4525,4149
2013,1442
3076,4554
1239,2292
3159,1373
4828,963
276,962
936,898
3268,2831
2998,2230
1662,1423
1360,4365
4094,3631
309,2328
1724,1290
199,4275
352,3194
4163,4707
1387,2737
2467,1198
3187,4882
2635,1201
4970,1578
4733,336
3516,2624
1880,1122
3582,4901
2013,713
2122,1547
188,4962
2202,1760
2210,263
1596,2577
4504,841
751,1596
4249,189
1134,2096
1312,3778
1299,3173
2280,2799
1662,1607
445,3911
4836,1526
3294,2527
4133,1819
3427,1938
3248,2513
994,4482
4204,3457
284,3759
4653,822
1674,719
1993,1978
2490,1608
1841,411
1282,508
1389,3872
2232,2668
3121,4654
2493,67
362,1536
834,2677
2731,1771
2222,3134
4215,916
2986,2139
1187,2496
1217,1065
593,391
2316,1704
2441,3854
2535,4502
2576,203
832,1351
2941,476
3731,3640
4005,3198
4530,661
1404,4446
2221,3660
3202,279
1524,2157
2976,1366
1856,4354
1870,1752
3358,559
6,2055
3665,172
2592,2540
3522,3335
3439,4771
3256,1135
129,591
1869,870
2379,3003
4918,3250
1557,986
748,4880
2228,2193
3577,4574
110,1863
2730,2510
2831,4741
1832,4561
3850,2777
2386,1792
1971,1903
3371,16
3700,1501
1120,1744
4152,4388
4940,2186
3088,4041
2944,3381
3676,711
27,1762
3317,1189
2621,2123
4428,4884
1462,632
272,295
4701,854
154,7
2831,4389
2019,1620
2795,1514
3442,922
3876,3092
1543,2163
2473,1637
3223,82
2319,2233
3695,1999
4062,2880
1809,2402
4087,3488
836,1461
38,3485
3259,2626
1467,3271
673,416
3829,1944
3554,4909
1942,1344
1387,4925
4561,4398
614,2825
1076,83
4726,1696
797,3522
3004,3700
3004,1705
2267,4101
1653,2570
156,3615
4824,1104
3129,4692
1862,4475
2207,2068
3745,2462
