IdC,type_aliment,nom,allergene
77,Poisson,Navet confit #783,"Mollusques, Sésame"
78,Champignon,Thym sauvage #296,Aucun
79,Viande,Venaison #508,Œufs
80,Produit laitier,Pomme sauvage #860,Aucun
81,Produit laitier,Fromage affiné #762,Poisson
82,Fruit,Truffe noire #655,Aucun
83,Épice,Mouton braisé #380,Aucun
84,Légume,Agneau rôti #696,"Arachides, Fruits à coque, Mollusques"
85,Fruit,Pomme sauvage #622,Aucun
86,Viande,Romarin #984,"Crustacés, Arachides, Moutarde"
87,Poisson,Brochet en gelée #136,"Crustacés, Mollusques"
88,Céréale,Truffe noire #555,Aucun
89,Épice,Pomme sauvage #754,Aucun
90,Herbe,Lentilles du Puy #627,"Moutarde, Gluten, Sésame"
91,Légume,Mouton braisé #422,"Céleri, Soja, Poisson"
92,Épice,Mouton braisé #930,Œufs
93,Céréale,Romarin #168,Aucun
94,Légumineuse,Poivre long #704,"Céleri, Fruits à coque, Gluten"
95,Champignon,Romarin #810,Aucun
96,Champignon,Safran #243,Œufs
97,Légumineuse,Truffe noire #112,"Sésame, Lupin, Fruits à coque"
98,Herbe,Thym sauvage #474,Lactose
99,Légumineuse,Truffe noire #774,"Poisson, Gluten, Fruits à coque"
100,Épice,Carpe dorée #679,"Lactose, Lupin"
101,Champignon,Safran #749,"Lactose, Poisson, Soja"
102,Céréale,Épeautre #157,Poisson
103,Légume,Navet confit #237,Aucun
104,Fruit,Truffe noire #238,"Sulfites, Moutarde"
105,Champignon,Épeautre #486,Aucun
106,Légume,Brochet en gelée #281,Gluten
107,Herbe,Poivre long #303,"Moutarde, Œufs, Sulfites"
108,Viande,Épices orientales #607,"Arachides, Crustacés, Œufs"
109,Viande,Fromage affiné #418,"Crustacés, Moutarde"
110,Épice,Agneau rôti #428,Mollusques
111,Champignon,Canard fumé #592,"Moutarde, Poisson"
112,Champignon,Lentilles du Puy #79,"Sésame, Moutarde, Lactose"
113,Viande,Verjus #968,Aucun
114,Produit laitier,Mouton braisé #729,"Lactose, Sésame, Gluten"
115,Fruit,Pomme sauvage #261,Lupin
116,Légumineuse,Venaison #273,Aucun
117,Poisson,Brochet en gelée #532,"Lupin, Sulfites"
118,Céréale,Navet confit #872,Aucun
119,Légume,Canard fumé #39,Sulfites
120,Légume,Agneau rôti #477,Moutarde
121,Produit laitier,Agneau rôti #779,Fruits à coque
122,Champignon,Pomme sauvage #415,Lactose
123,Herbe,Lentilles du Puy #814,Aucun
124,Champignon,Navet confit #814,"Œufs, Crustacés"
125,Fruit,Brochet en gelée #893,"Céleri, Crustacés, Sésame"
126,Viande,Thym sauvage #885,"Céleri, Mollusques"
127,Légumineuse,Chou frisé #719,Aucun
128,Herbe,Romarin #801,"Œufs, Poisson, Arachides"
129,Poisson,Thym sauvage #851,Aucun
130,Légume,Épeautre #512,Aucun
131,Champignon,Épices orientales #108,"Gluten, Arachides, Mollusques"
132,Céréale,Chou frisé #750,Poisson
133,Poisson,Romarin #216,Mollusques
134,Légume,Safran #176,Céleri
135,Légume,Safran #786,"Crustacés, Fruits à coque"
136,Produit laitier,Poivre long #683,"Lupin, Moutarde"
137,Légumineuse,Chou frisé #521,Céleri
138,Céréale,Carpe dorée #993,"Sulfites, Poisson, Crustacés"
139,Céréale,Truffe noire #839,"Lactose, Gluten"
140,Légume,Chou frisé #182,Gluten
141,Épice,Lentilles du Puy #505,Arachides
142,Produit laitier,Brochet en gelée #609,"Soja, Moutarde, Fruits à coque"
143,Céréale,Venaison #569,Aucun
144,Produit laitier,Poivre long #623,Aucun
145,Légume,Pomme sauvage #712,Aucun
146,Herbe,Pomme sauvage #475,Soja
147,Champignon,Mouton braisé #723,Aucun
148,Champignon,Épices orientales #823,"Arachides, Sulfites, Céleri"
149,Champignon,Safran #671,"Poisson, Œufs, Crustacés"
150,Produit laitier,Épeautre #694,"Sulfites, Arachides, Moutarde"
151,Fruit,Venaison #140,Lupin
152,Produit laitier,Thym sauvage #205,Moutarde
153,Champignon,Fromage affiné #345,Aucun
154,Produit laitier,Fromage affiné #171,"Gluten, Lupin, Crustacés"
155,Poisson,Canard fumé #495,"Soja, Lactose"
156,Fruit,Lentilles du Puy #389,"Poisson, Céleri, Sulfites"
157,Herbe,Thym sauvage #905,"Sulfites, Arachides, Moutarde"
158,Herbe,Épeautre #846,"Fruits à coque, Sésame"
159,Champignon,Navet confit #770,Aucun
160,Céréale,Truffe noire #788,"Sésame, Moutarde, Poisson"
161,Herbe,Agneau rôti #43,"Œufs, Moutarde"
162,Herbe,Canard fumé #480,Fruits à coque
163,Épice,Romarin #397,Sulfites
164,Légumineuse,Carpe dorée #516,"Arachides, Soja, Sulfites"
165,Légumineuse,Safran #912,Lactose
166,Légume,Venaison #126,Aucun
167,Poisson,Venaison #578,Moutarde
168,Épice,Carpe dorée #79,Gluten
169,Herbe,Mouton braisé #566,"Soja, Crustacés"
170,Épice,Romarin #280,"Sulfites, Céleri, Soja"
171,Légume,Safran #542,"Crustacés, Arachides, Soja"
172,Poisson,Poivre long #703,Sésame
173,Poisson,Poivre long #413,"Soja, Crustacés, Moutarde"
174,Viande,Fromage affiné #46,Aucun
175,Produit laitier,Fromage affiné #854,Crustacés
176,Champignon,Carpe dorée #563,"Lupin, Arachides, Céleri"
177,Épice,Agneau rôti #307,"Fruits à coque, Sésame"
178,Produit laitier,Thym sauvage #203,"Gluten, Mollusques"
179,Poisson,Fromage affiné #986,"Arachides, Crustacés"
180,Épice,Venaison #161,Arachides
181,Céréale,Poivre long #762,"Lactose, Lupin"
182,Légume,Lentilles du Puy #362,Aucun
183,Légume,Mouton braisé #878,"Mollusques, Crustacés, Lupin"
184,Légumineuse,Épices orientales #372,"Lupin, Lactose"
185,Viande,Carpe dorée #226,Aucun
186,Légume,Fromage affiné #701,"Crustacés, Lupin, Soja"
187,Céréale,Épeautre #292,Lactose
188,Viande,Canard fumé #829,"Sésame, Lupin"
189,Légume,Safran #62,"Arachides, Lactose, Fruits à coque"
190,Produit laitier,Navet confit #950,"Mollusques, Arachides"
191,Céréale,Romarin #203,Sésame
192,Produit laitier,Lentilles du Puy #546,Aucun
193,Champignon,Brochet en gelée #921,"Soja, Moutarde"
194,Herbe,Carpe dorée #441,"Sulfites, Crustacés, Soja"
195,Poisson,Romarin #750,"Lactose, Gluten"
196,Poisson,Navet confit #610,"Céleri, Sulfites"
197,Fruit,Mouton braisé #935,Crustacés
198,Produit laitier,Poivre long #347,"Lactose, Arachides"
199,Herbe,Épeautre #296,"Mollusques, Moutarde"
200,Produit laitier,Épeautre #196,Aucun
201,Épice,Mouton braisé #756,Aucun
202,Produit laitier,Safran #40,"Fruits à coque, Œufs, Sulfites"
203,Champignon,Venaison #994,"Sulfites, Soja, Moutarde"
204,Fruit,Truffe noire #73,Crustacés
205,Fruit,Brochet en gelée #691,"Poisson, Soja"
206,Céréale,Romarin #861,Sésame
207,Produit laitier,Venaison #261,"Soja, Crustacés, Poisson"
208,Produit laitier,Épeautre #824,Aucun
209,Viande,Chou frisé #90,"Sésame, Moutarde, Œufs"
210,Poisson,Poivre long #808,"Céleri, Poisson"
211,Légumineuse,Lentilles du Puy #259,"Sulfites, Arachides, Céleri"
212,Céréale,Safran #45,Aucun
213,Produit laitier,Romarin #534,Aucun
214,Légumineuse,Épeautre #713,Aucun
215,Viande,Venaison #868,"Crustacés, Lactose"
216,Champignon,Épeautre #177,Gluten
217,Produit laitier,Poivre long #372,Aucun
218,Légumineuse,Canard fumé #87,Lupin
219,Légume,Chou frisé #682,"Sésame, Fruits à coque"
220,Herbe,Mouton braisé #762,"Céleri, Fruits à coque"
221,Viande,Brochet en gelée #961,"Fruits à coque, Crustacés, Gluten"
222,Viande,Canard fumé #51,"Œufs, Mollusques"
223,Épice,Épices orientales #511,"Lupin, Arachides"
224,Viande,Safran #802,Aucun
225,Fruit,Venaison #609,"Fruits à coque, Arachides"
226,Champignon,Lentilles du Puy #361,"Mollusques, Sésame, Poisson"
227,Fruit,Carpe dorée #672,"Sésame, Lupin"
228,Légumineuse,Venaison #7,"Moutarde, Poisson"
229,Poisson,Brochet en gelée #368,"Crustacés, Sésame, Moutarde"
230,Légumineuse,Épeautre #458,"Gluten, Lupin"
231,Champignon,Poivre long #653,Sulfites
232,Légumineuse,Safran #367,"Crustacés, Fruits à coque, Sésame"
233,Céréale,Agneau rôti #180,"Œufs, Lactose"
234,Épice,Verjus #191,Œufs
235,Poisson,Canard fumé #470,Aucun
236,Herbe,Mouton braisé #769,"Arachides, Œufs, Lactose"
237,Fruit,Pomme sauvage #792,Aucun
238,Légumineuse,Poivre long #973,Aucun
239,Poisson,Lentilles du Puy #311,Gluten
240,Légumineuse,Épices orientales #166,Arachides
241,Épice,Mouton braisé #673,Sésame
242,Produit laitier,Mouton braisé #358,Poisson
243,Viande,Safran #146,"Céleri, Arachides, Œufs"
244,Champignon,Truffe noire #123,Aucun
245,Légume,Épices orientales #276,Aucun
246,Champignon,Navet confit #675,Aucun
247,Herbe,Truffe noire #484,Crustacés
248,Poisson,Romarin #827,"Sésame, Sulfites"
249,Herbe,Carpe dorée #165,Aucun
250,Légume,Chou frisé #980,Sulfites
251,Céréale,Carpe dorée #355,Œufs
252,Produit laitier,Canard fumé #863,"Soja, Œufs, Mollusques"
253,Champignon,Safran #259,"Lupin, Céleri, Fruits à coque"
254,Produit laitier,Truffe noire #438,"Mollusques, Moutarde"
255,Céréale,Épeautre #70,"Soja, Gluten, Mollusques"
256,Herbe,Poivre long #127,Aucun
257,Légume,Épeautre #207,Aucun
258,Champignon,Épeautre #313,Œufs
259,Viande,Épices orientales #607,Aucun
260,Herbe,Mouton braisé #676,Lactose
261,Viande,Mouton braisé #51,"Soja, Poisson, Mollusques"
262,Herbe,Mouton braisé #957,"Céleri, Sulfites, Poisson"
263,Champignon,Épices orientales #790,Aucun
264,Herbe,Canard fumé #787,"Gluten, Œufs"
265,Céréale,Carpe dorée #134,"Moutarde, Sésame"
266,Épice,Navet confit #24,Gluten
267,Céréale,Lentilles du Puy #681,"Crustacés, Soja"
268,Épice,Brochet en gelée #470,Aucun
269,Poisson,Épices orientales #568,"Arachides, Céleri, Gluten"
270,Fruit,Romarin #516,Arachides
271,Épice,Verjus #623,"Soja, Crustacés, Lupin"
272,Herbe,Pomme sauvage #879,Lactose
273,Champignon,Lentilles du Puy #194,Poisson
274,Herbe,Fromage affiné #368,"Moutarde, Œufs, Mollusques"
275,Épice,Mouton braisé #361,"Œufs, Soja, Céleri"
276,Herbe,Thym sauvage #33,"Lupin, Soja, Fruits à coque"
277,Fruit,Épeautre #961,Soja
278,Légume,Romarin #655,Aucun
279,Fruit,Poivre long #165,"Moutarde, Soja"
280,Produit laitier,Poivre long #378,Aucun
281,Viande,Brochet en gelée #940,Aucun
282,Légumineuse,Chou frisé #589,Soja
283,Fruit,Canard fumé #843,"Sésame, Mollusques, Soja"
284,Légume,Verjus #678,Aucun
285,Produit laitier,Canard fumé #710,Fruits à coque
286,Légumineuse,Brochet en gelée #545,"Crustacés, Lupin"
287,Céréale,Agneau rôti #456,Aucun
288,Viande,Agneau rôti #718,"Poisson, Crustacés"
289,Épice,Venaison #601,"Poisson, Crustacés, Sésame"
290,Épice,Épeautre #724,"Lactose, Gluten"
291,Fruit,Lentilles du Puy #265,"Crustacés, Poisson, Œufs"
292,Produit laitier,Romarin #921,Œufs
293,Épice,Épeautre #539,Lactose
294,Produit laitier,Fromage affiné #680,Aucun
295,Viande,Poivre long #773,Aucun
296,Légumineuse,Mouton braisé #669,"Céleri, Œufs"
297,Épice,Poivre long #54,Gluten
298,Épice,Verjus #884,Aucun
299,Fruit,Navet confit #72,"Poisson, Œufs"
300,Légumineuse,Chou frisé #962,"Moutarde, Arachides, Poisson"
301,Herbe,Épeautre #980,"Soja, Gluten"
302,Produit laitier,Lentilles du Puy #585,"Lactose, Lupin"
303,Épice,Romarin #118,"Fruits à coque, Poisson"
304,Légumineuse,Thym sauvage #873,Céleri
305,Céréale,Fromage affiné #714,"Crustacés, Lupin, Céleri"
306,Viande,Brochet en gelée #522,"Fruits à coque, Moutarde"
307,Poisson,Venaison #322,Aucun
308,Épice,Safran #736,Moutarde
309,Céréale,Navet confit #780,Aucun
310,Produit laitier,Épeautre #532,Mollusques
311,Herbe,Fromage affiné #772,"Mollusques, Poisson"
312,Fruit,Thym sauvage #804,Aucun
313,Produit laitier,Canard fumé #406,"Œufs, Lupin, Crustacés"
314,Épice,Navet confit #431,Aucun
315,Épice,Verjus #984,Aucun
316,Légume,Venaison #203,"Céleri, Arachides"
317,Viande,Lentilles du Puy #186,Fruits à coque
318,Céréale,Romarin #33,"Lupin, Crustacés, Soja"
319,Produit laitier,Thym sauvage #968,"Fruits à coque, Arachides"
320,Poisson,Verjus #204,"Mollusques, Fruits à coque"
321,Champignon,Verjus #329,"Arachides, Mollusques, Fruits à coque"
322,Épice,Brochet en gelée #717,"Lactose, Sulfites"
323,Champignon,Truffe noire #818,Aucun
324,Viande,Lentilles du Puy #305,Aucun
325,Viande,Verjus #685,"Poisson, Sulfites, Œufs"
326,Épice,Lentilles du Puy #97,Œufs
327,Légumineuse,Thym sauvage #445,Fruits à coque
328,Céréale,Safran #603,Aucun
329,Légumineuse,Thym sauvage #94,"Lactose, Gluten"
330,Épice,Agneau rôti #636,Crustacés
331,Viande,Poivre long #534,"Fruits à coque, Arachides"
332,Fruit,Pomme sauvage #241,Aucun
333,Légumineuse,Truffe noire #285,Aucun
334,Fruit,Pomme sauvage #328,"Poisson, Mollusques"
335,Légumineuse,Romarin #565,Aucun
336,Épice,Truffe noire #739,"Fruits à coque, Gluten"
337,Herbe,Agneau rôti #576,"Sésame, Fruits à coque, Poisson"
338,Céréale,Épices orientales #435,"Sésame, Mollusques"
339,Légumineuse,Lentilles du Puy #293,Aucun
340,Légume,Thym sauvage #305,"Sésame, Moutarde"
341,Céréale,Chou frisé #260,"Gluten, Moutarde, Fruits à coque"
342,Céréale,Poivre long #250,Aucun
343,Légume,Carpe dorée #625,"Mollusques, Céleri"
344,Produit laitier,Canard fumé #59,"Fruits à coque, Sulfites, Poisson"
345,Viande,Brochet en gelée #647,Lupin
346,Herbe,Venaison #483,Sulfites
347,Céréale,Mouton braisé #295,"Sésame, Crustacés, Mollusques"
348,Céréale,Pomme sauvage #163,Lupin
349,Champignon,Verjus #344,"Gluten, Crustacés, Mollusques"
350,Céréale,Lentilles du Puy #361,"Mollusques, Sulfites"
351,Épice,Épices orientales #770,"Poisson, Mollusques"
352,Légume,Verjus #333,Céleri
353,Fruit,Mouton braisé #476,Aucun
354,Épice,Canard fumé #186,"Arachides, Gluten"
355,Champignon,Pomme sauvage #610,"Lactose, Mollusques, Moutarde"
356,Épice,Carpe dorée #316,Aucun
357,Fruit,Épeautre #720,"Œufs, Céleri"
358,Légumineuse,Carpe dorée #215,"Moutarde, Sésame"
359,Herbe,Safran #906,"Gluten, Crustacés"
360,Légume,Navet confit #786,"Sésame, Œufs, Poisson"
361,Légumineuse,Pomme sauvage #229,Crustacés
362,Viande,Romarin #277,"Sésame, Soja"
363,Champignon,Lentilles du Puy #963,Aucun
364,Champignon,Navet confit #9,"Soja, Fruits à coque"
365,Champignon,Agneau rôti #650,"Mollusques, Œufs, Céleri"
366,Champignon,Mouton braisé #96,"Moutarde, Fruits à coque, Poisson"
367,Céréale,Brochet en gelée #880,"Sulfites, Œufs, Moutarde"
368,Produit laitier,Carpe dorée #10,"Lupin, Céleri, Arachides"
369,Céréale,Venaison #478,"Arachides, Moutarde, Sulfites"
370,Fruit,Verjus #961,"Soja, Lactose, Fruits à coque"
371,Légume,Pomme sauvage #355,"Soja, Lactose, Gluten"
372,Poisson,Mouton braisé #641,Céleri
373,Poisson,Canard fumé #101,Aucun
374,Champignon,Safran #406,"Sulfites, Œufs"
375,Produit laitier,Venaison #438,"Céleri, Œufs"
376,Légume,Truffe noire #721,"Poisson, Mollusques"
377,Céréale,Poivre long #927,Aucun
378,Légume,Thym sauvage #940,"Poisson, Lupin"
379,Produit laitier,Fromage affiné #960,Gluten
380,Herbe,Mouton braisé #260,"Poisson, Sulfites"
381,Poisson,Thym sauvage #472,"Moutarde, Sésame"
382,Champignon,Canard fumé #981,"Lactose, Poisson"
383,Viande,Mouton braisé #204,"Poisson, Sésame"
384,Épice,Chou frisé #923,Sulfites
385,Herbe,Carpe dorée #565,Sulfites
386,Fruit,Poivre long #689,Aucun
387,Céréale,Épices orientales #649,Aucun
388,Épice,Chou frisé #270,"Fruits à coque, Lactose"
389,Poisson,Pomme sauvage #823,"Céleri, Œufs, Soja"
390,Légume,Fromage affiné #929,"Mollusques, Gluten, Fruits à coque"
391,Viande,Brochet en gelée #874,"Arachides, Fruits à coque"
392,Champignon,Navet confit #414,Aucun
393,Épice,Romarin #794,"Crustacés, Lactose, Soja"
394,Viande,Carpe dorée #514,"Gluten, Fruits à coque, Soja"
395,Fruit,Pomme sauvage #524,Aucun
396,Herbe,Pomme sauvage #935,"Sésame, Crustacés, Fruits à coque"
397,Poisson,Romarin #488,Aucun
398,Viande,Fromage affiné #692,"Lactose, Fruits à coque, Lupin"
399,Légumineuse,Pomme sauvage #412,Aucun
400,Légumineuse,Épeautre #972,"Poisson, Moutarde"
401,Produit laitier,Fromage affiné #572,"Moutarde, Œufs, Sulfites"
402,Épice,Brochet en gelée #52,Moutarde
403,Herbe,Mouton braisé #297,"Arachides, Lupin"
404,Viande,Pomme sauvage #885,Gluten
405,Légume,Épeautre #778,Aucun
406,Viande,Verjus #296,"Poisson, Céleri"
407,Légumineuse,Venaison #607,"Sésame, Céleri"
408,Viande,Safran #20,Aucun
409,Épice,Verjus #211,"Lupin, Gluten"
410,Viande,Mouton braisé #696,Aucun
411,Produit laitier,Venaison #941,Aucun
412,Poisson,Mouton braisé #53,Fruits à coque
413,Viande,Navet confit #743,"Sésame, Soja, Arachides"
414,Poisson,Épeautre #900,"Sésame, Lupin, Céleri"
415,Herbe,Truffe noire #188,"Sulfites, Crustacés"
416,Poisson,Pomme sauvage #599,Mollusques
417,Champignon,Poivre long #573,Aucun
418,Viande,Thym sauvage #352,Aucun
419,Viande,Fromage affiné #652,"Mollusques, Arachides"
420,Céréale,Fromage affiné #612,Fruits à coque
421,Légumineuse,Canard fumé #931,Soja
422,Céréale,Poivre long #537,Fruits à coque
423,Céréale,Épices orientales #495,Sésame
424,Viande,Mouton braisé #367,"Céleri, Poisson, Arachides"
425,Épice,Épices orientales #354,Gluten
426,Fruit,Canard fumé #366,"Sésame, Lupin, Gluten"
427,Épice,Canard fumé #792,Poisson
428,Légumineuse,Chou frisé #205,Poisson
429,Poisson,Poivre long #43,"Mollusques, Céleri, Sésame"
430,Herbe,Verjus #399,"Sésame, Arachides, Fruits à coque"
431,Produit laitier,Poivre long #301,Poisson
432,Produit laitier,Chou frisé #426,"Mollusques, Sulfites, Fruits à coque"
433,Céréale,Thym sauvage #928,Aucun
434,Fruit,Venaison #766,Soja
435,Poisson,Pomme sauvage #709,Aucun
436,Poisson,Poivre long #764,Aucun
437,Produit laitier,Navet confit #632,Soja
438,Légume,Pomme sauvage #867,Aucun
439,Légumineuse,Navet confit #233,Soja
440,Poisson,Chou frisé #858,"Soja, Poisson, Lupin"
441,Épice,Fromage affiné #795,"Mollusques, Gluten, Sésame"
442,Céréale,Fromage affiné #776,"Arachides, Sulfites"
443,Légume,Canard fumé #347,Lupin
444,Champignon,Carpe dorée #621,"Lactose, Œufs, Soja"
445,Fruit,Thym sauvage #546,"Lupin, Crustacés, Œufs"
446,Légume,Épeautre #359,Arachides
447,Poisson,Safran #933,Aucun
448,Fruit,Fromage affiné #180,Crustacés
449,Légumineuse,Lentilles du Puy #570,Sulfites
450,Produit laitier,Truffe noire #320,"Fruits à coque, Sulfites, Mollusques"
451,Épice,Navet confit #584,Aucun
452,Légume,Agneau rôti #479,"Gluten, Céleri, Moutarde"
453,Légume,Carpe dorée #934,Œufs
454,Épice,Mouton braisé #448,Œufs
455,Céréale,Truffe noire #693,Arachides
456,Poisson,Mouton braisé #661,"Moutarde, Gluten, Arachides"
457,Légumineuse,Lentilles du Puy #430,Aucun
458,Herbe,Fromage affiné #214,"Lupin, Soja"
459,Herbe,Venaison #837,"Lupin, Arachides"
460,Produit laitier,Navet confit #90,"Œufs, Sulfites, Fruits à coque"
461,Produit laitier,Fromage affiné #797,Aucun
462,Herbe,Mouton braisé #937,Aucun
463,Légume,Navet confit #463,Sulfites
464,Viande,Venaison #37,"Gluten, Moutarde"
465,Épice,Carpe dorée #473,"Fruits à coque, Soja"
466,Légume,Épices orientales #304,"Lactose, Lupin"
467,Légumineuse,Brochet en gelée #208,"Sulfites, Mollusques"
468,Légumineuse,Romarin #861,Aucun
469,Légumineuse,Safran #101,Céleri
470,Fruit,Carpe dorée #496,Aucun
471,Viande,Verjus #177,Crustacés
472,Produit laitier,Venaison #795,Sulfites
473,Produit laitier,Mouton braisé #809,"Fruits à coque, Sésame"
474,Céréale,Safran #361,"Moutarde, Arachides, Lactose"
475,Légume,Épices orientales #769,Poisson
476,Herbe,Thym sauvage #588,"Céleri, Lactose"
477,Épice,Canard fumé #437,"Sulfites, Œufs, Sésame"
478,Céréale,Poivre long #771,Aucun
479,Viande,Venaison #28,"Arachides, Œufs"
480,Poisson,Pomme sauvage #54,"Gluten, Mollusques, Sulfites"
481,Champignon,Épices orientales #416,Aucun
482,Épice,Pomme sauvage #351,Aucun
483,Épice,Chou frisé #631,"Gluten, Arachides"
484,Légume,Verjus #305,"Lupin, Moutarde, Gluten"
485,Céréale,Thym sauvage #769,Lactose
486,Légumineuse,Épices orientales #916,Sésame
487,Légume,Agneau rôti #254,Aucun
488,Fruit,Verjus #251,Aucun
489,Fruit,Pomme sauvage #75,Aucun
490,Légumineuse,Navet confit #345,"Arachides, Gluten"
491,Herbe,Thym sauvage #351,Aucun
492,Épice,Agneau rôti #209,Céleri
493,Produit laitier,Safran #681,Œufs
494,Produit laitier,Truffe noire #285,"Soja, Crustacés"
495,Champignon,Agneau rôti #368,"Gluten, Sésame, Œufs"
496,Légumineuse,Fromage affiné #681,Mollusques
497,Légumineuse,Fromage affiné #134,Sésame
498,Herbe,Romarin #276,Aucun
499,Épice,Épices orientales #812,Aucun
500,Produit laitier,Truffe noire #891,"Lactose, Arachides"
501,Champignon,Lentilles du Puy #220,"Sésame, Fruits à coque, Poisson"
502,Viande,Verjus #557,"Gluten, Mollusques, Sulfites"
503,Fruit,Venaison #608,"Crustacés, Poisson, Moutarde"
504,Céréale,Mouton braisé #803,"Poisson, Lupin, Fruits à coque"
505,Herbe,Truffe noire #420,"Gluten, Œufs"
506,Céréale,Brochet en gelée #501,Aucun
507,Champignon,Poivre long #918,Céleri
508,Légume,Navet confit #471,"Sésame, Poisson"
509,Poisson,Agneau rôti #654,Aucun
510,Fruit,Romarin #974,"Lupin, Crustacés"
511,Poisson,Romarin #883,Aucun
512,Champignon,Poivre long #2,Aucun
513,Légumineuse,Verjus #52,"Sulfites, Sésame"
514,Viande,Brochet en gelée #626,Aucun
515,Herbe,Thym sauvage #728,"Gluten, Poisson"
516,Épice,Mouton braisé #1,"Arachides, Gluten, Lupin"
517,Épice,Carpe dorée #902,"Mollusques, Soja, Gluten"
518,Épice,Agneau rôti #219,"Moutarde, Lupin"
519,Herbe,Verjus #389,"Mollusques, Céleri"
520,Épice,Brochet en gelée #181,"Poisson, Soja"
521,Épice,Épices orientales #703,"Gluten, Crustacés"
522,Viande,Agneau rôti #544,"Fruits à coque, Gluten, Crustacés"
523,Viande,Venaison #991,Œufs
